DateTime,AddedIPs,RemovedIPs
1455022803,183,0
1455044402,62,162
1455066002,32,0
1455087603,52,0
1455109203,32,0
1455130803,24,228
1455152403,34,0
1455174003,59,0
1455195603,55,0
1455217203,47,1626
1455303603,178,197
1455325202,38,0
1455346802,40,0
1455368403,478,0
1455390002,36,198
1455411603,31,0
1455433202,38,0
1455454802,16,0
1455476402,31,204
1455498002,41,0
1455519602,45,0
1455541203,164,0
1455562802,86,231
1455584402,80,0
1455606002,77,0
1455627603,38,0
1455649202,56,203
1455670803,55,0
1455692402,50,0
1455714002,66,0
1455735603,61,210
1455757202,53,0
1455778802,46,0
1455800402,36,0
1455822003,32,217
1455843603,36,0
1455865203,55,0
1455886802,32,0
1455908402,48,258
1455930002,36,0
1455951603,50,0
1455973203,46,0
1455994803,38,204
1456016402,51,0
1456038003,35,0
1456059602,39,0
1456081202,55,207
1456102803,37,0
1456124402,457,0
1456146002,52,0
1456167602,42,176
1456189202,49,0
1456210802,45,0
1456232402,35,0
1456254002,18,356
1456275603,40,0
1456297202,57,0
1456318802,39,0
1456340402,64,222
1456362002,53,0
1456383603,56,0
1456405202,45,0
1456426802,50,213
1456448402,35,0
1456470002,36,0
1456491603,51,0
1456513202,37,150
1456534802,48,0
1456556403,45,0
1456578002,40,0
1456599603,41,163
1456621202,49,0
1456642802,52,0
1456664402,45,0
1456686003,27,147
1456707602,38,0
1456729203,36,0
1456750803,36,0
1456772402,268,166
1456794002,29,0
1456815602,76,0
1456837202,48,0
1456858803,39,132
1456880403,30,0
1456902003,32,0
1456923602,86,0
1456945202,52,152
1456966802,33,0
1456988402,112,0
1457010002,34,0
1457031602,25,331
1457053203,19,0
1457074802,16,0
1457096403,12,0
1457118003,10,141
1457139602,12,0
1457161203,108,0
1457182802,39,0
1457204403,32,107
1457226002,25,0
1457247603,23,0
1457269202,57,0
1457290802,37,690
1457312402,32,0
1457334002,31,0
1457355602,148,0
1457388002,159,139
1457409602,23,0
1457431202,17,0
1457452802,22,0
1457474403,47,257
1457496002,36,0
1457517602,38,0
1457539202,43,0
1457560802,46,200
1457582402,81,0
1457604002,67,0
1457625602,41,0
1457647202,42,209
1457668802,34,0
1457690402,237,0
1457712002,78,0
1457733602,43,183
1457755202,38,0
1457776802,25,0
1457798402,60,0
1457820002,22,173
1457841602,61,0
1457863202,198,0
1457884802,43,0
1457906403,38,425
1457928002,141,0
1457949603,40,0
1457971202,37,0
1457992802,33,308
1458014402,50,0
1458036003,37,0
1458057602,35,0
1458079202,39,311
1458100802,25,0
1458122402,49,0
1458144002,60,0
1458165602,35,261
1458187202,35,0
1458208802,25,0
1458230402,27,0
1458252002,34,283
1458273602,37,0
1458295202,16,0
1458316802,30,0
1458338402,32,218
1458360002,249,0
1458381602,36,0
1458403202,43,0
1458424802,38,255
1458446402,49,0
1458468003,48,0
1458489602,31,0
1458511202,40,476
1458532803,14,0
1458554403,47,0
1458576002,48,0
1458597602,82,125
1458619202,44,0
1458640803,337,0
1458662402,38,0
1458684002,50,265
1458705603,56,0
