DateTime,AddedIPs,RemovedIPs
1459123543,4,0
1459209939,5,0
1459296340,5,0
1459382740,4,0
1459469141,6,0
1459555544,3,0
1459641938,4,0
1459728341,3,4
1459814746,5,7
1459987544,4,9
1460073950,4,9
1460246756,5,1
1460333160,5,12
1460505964,4,0
1460592345,4,0
1460765149,10,3
1460937950,5,10
1461024341,5,0
1461197145,8,15
1461283542,5,0
1461369941,1,0
1461456341,6,9
1461542747,4,0
1461801945,5,11
1461974735,3,15
1462061139,5,3
1462147538,2,0
1462233944,5,4
1462320339,2,0
1462493142,4,2
1462665937,2,9
1462752342,4,3
1462838753,4,0
1462925147,5,3
1463011541,7,0
1463097935,1,0
1463184340,2,5
1463270741,1,0
1463357133,4,5
1463443536,1,5
1463529932,2,3
1463616335,6,6
1463702737,5,0
1463789140,4,0
1463875534,2,6
1463961940,2,0
1464048335,3,5
1464134741,6,0
1464307536,5,15
1464393934,2,3
1464480342,3,0
1464566741,6,2
1464653138,4,4
1464739540,2,6
1464912337,5,3
1465085144,3,12
1465257956,3,6
1465344351,3,0
1465517152,5,8
1465603564,5,0
1465689976,4,4
