DateTime,AddedIPs,RemovedIPs
1459123543,4,4
1459209939,5,5
1459296340,5,5
1459382740,4,4
1459469141,7,7
1459555544,5,5
1459641938,5,5
1459728341,3,3
1459814746,7,7
1459987544,6,6
1460073950,5,5
1460246756,6,6
1460333160,5,5
1460505964,5,5
1460592345,5,5
1460765149,10,10
1460937950,10,10
1461024341,5,5
1461197145,8,8
1461283542,7,7
1461369941,2,2
1461456341,6,6
1461542747,4,4
1461801945,5,5
1461974735,4,4
1462061139,5,5
1462147538,5,5
1462233944,5,5
1462320339,2,2
1462493142,5,5
1462665937,6,6
1462752342,5,5
1462838753,5,5
1462925147,6,6
1463011541,7,7
1463097935,4,4
1463184340,3,3
1463270741,3,3
1463357133,5,5
1463443536,3,3
1463529932,4,4
1463616335,8,8
1463702737,8,8
1463789140,6,6
1463875534,3,3
1463961940,3,3
1464048335,4,4
1464134741,7,7
1464307536,7,7
1464393934,4,4
1464480342,5,5
1464566741,7,7
1464653138,6,6
1464739540,4,4
1464912337,6,6
1465085144,4,4
1465257956,5,5
1465344351,4,4
1465517152,5,5
1465603564,5,5
1465689976,6,6
