DateTime,AddedIPs,RemovedIPs
1459123891,3,3
1459210286,6,6
1459296691,8,8
1459383060,5,5
1459469472,4,4
1459555896,4,4
1459642294,5,5
1459728664,6,6
1459815118,3,3
1459901537,5,5
1459987930,7,7
1460074377,4,4
1460247159,5,5
1460333572,6,6
1460506389,5,5
1460592741,8,8
1460679145,4,4
1460765552,7,7
1460851923,3,3
1460938338,3,3
1461024711,6,6
1461111116,4,4
1461197553,7,7
1461283933,7,7
1461370321,9,9
1461456698,8,8
1461543110,7,7
1461715955,7,7
1461802297,5,5
1461888745,4,4
1461975085,5,5
1462061530,7,7
1462147870,5,5
1462234278,5,5
1462320647,7,7
1462407112,6,6
1462493496,6,6
1462579929,5,5
1462666278,5,5
1462752671,5,5
1462839093,5,5
1462925451,5,5
1463011861,7,7
1463098240,8,8
1463184661,7,7
1463271061,6,6
1463357450,5,5
1463443879,4,4
1463530269,5,5
1463616650,8,8
1463703100,7,7
1463789472,6,6
1463875855,3,3
1463962292,3,3
1464048687,6,6
1464135064,6,6
1464221643,7,7
1464308029,8,8
1464394243,8,8
1464480718,6,6
1464567109,7,7
1464653530,3,3
1464739955,5,5
1464912842,5,5
1464999261,8,8
1465085681,7,7
1465172148,5,5
1465258583,4,4
1465345034,4,4
1465517970,7,7
1465690980,6,6
