DateTime,Entries,UniqueIPs
1459037369,10,10
1459123782,11,11
1459296580,12,12
1459382954,11,11
1459469375,12,12
1459642173,11,11
1459728563,12,12
1459814995,13,13
1459901405,10,10
1460074228,11,11
1460247011,10,10
1460333435,11,11
1460506239,10,10
1460592592,11,11
1460851795,11,11
1460938212,10,10
1461024583,11,11
1461110997,12,12
1461197419,11,11
1461283795,11,11
1461370200,11,11
1461456581,12,12
1461542992,11,11
1461715807,16,16
1461802184,12,12
1461888614,11,11
1462147776,10,10
1462234177,11,11
1462320560,13,13
1462407001,14,14
1462493380,13,13
1462579824,11,11
1462666184,11,11
1462752572,19,19
1462838985,25,26
1462925364,22,23
1463011767,13,13
1463098146,20,20
1463184566,18,18
1463270972,10,10
1463357358,12,12
1463443769,15,15
1463530164,17,17
1463616551,21,21
1463702976,18,18
1463789373,17,17
1463875763,13,13
1463962199,14,14
1464048561,15,15
1464134981,23,23
1464221479,22,22
1464307873,14,14
1464394154,12,12
1464480607,14,14
1464567004,16,16
1464653413,17,17
1464739825,20,20
1464912692,10,10
1464999114,16,16
1465085515,20,21
1465258395,10,10
1465431399,10,10
1465604258,13,13
