DateTime,AddedIPs,RemovedIPs
1459123782,1,0
1459296580,2,0
1459642173,1,0
1459728563,1,0
1459814995,2,0
1459987782,0,2
1460247011,2,2
1460333435,1,2
1460592592,1,0
1460679006,0,2
1460851795,1,0
1460938212,0,1
1461024583,1,1
1461110997,1,0
1461283795,1,1
1461370200,1,0
1461456581,1,1
1461715807,6,2
1461802184,2,1
1461888614,1,0
1461974973,0,1
1462061408,0,1
1462147776,0,6
1462320560,2,2
1462407001,2,0
1462752572,8,0
1462838985,8,1
1462925364,5,1
1463011767,2,1
1463098146,7,1
1463184566,1,0
1463270972,0,1
1463357358,1,7
1463443769,3,13
1463530164,7,3
1463616551,3,0
1463702976,3,7
1463789373,4,0
1463962199,1,4
1464048561,5,4
1464134981,8,0
1464221479,4,4
1464307873,3,7
1464394154,1,3
1464480607,1,0
1464567004,3,5
1464653413,7,6
1464739825,3,3
1464912692,5,6
1464999114,6,0
1465085515,5,6
1465258395,6,8
1465431399,3,7
1465604258,3,10
