DateTime,AddedIPs,RemovedIPs
1459123782,1,1
1459296580,2,2
1459382954,1,1
1459469375,2,2
1459642173,1,1
1459728563,2,2
1459814995,3,3
1460074228,1,1
1460247011,2,2
1460333435,1,1
1460506239,1,1
1460592592,1,1
1460679006,1,1
1460851795,1,1
1461024583,1,1
1461110997,1,1
1461283795,1,1
1461370200,1,1
1461456581,1,1
1461542992,1,1
1461715807,6,6
1461802184,2,2
1461888614,1,1
1462061408,1,1
1462234177,1,1
1462320560,2,2
1462407001,2,2
1462493380,1,1
1462666184,1,1
1462752572,8,8
1462838985,8,8
1462925364,5,5
1463011767,3,3
1463098146,7,7
1463184566,1,1
1463357358,2,2
1463443769,3,3
1463530164,7,7
1463616551,5,5
1463702976,3,3
1463789373,4,4
1463875763,3,3
1463962199,1,1
1464048561,5,5
1464134981,8,8
1464221479,4,4
1464307873,4,4
1464394154,2,2
1464480607,2,2
1464567004,4,4
1464653413,7,7
1464739825,3,3
1464912692,7,7
1464999114,6,6
1465085515,5,5
1465258395,6,6
1465431399,4,4
1465604258,3,3
