DateTime,AddedIPs,RemovedIPs
1459123821,7,7
1459210209,7,7
1459296619,5,5
1459382997,5,5
1459469414,6,6
1459555828,5,5
1459642218,6,6
1459728610,5,5
1459815046,6,6
1459901460,8,8
1459987850,6,6
1460074293,7,7
1460247068,6,6
1460333498,6,6
1460506302,9,9
1460592648,7,7
1460679062,6,6
1460765468,6,6
1460851847,7,7
1460938263,7,7
1461024632,7,7
1461111048,7,7
1461197472,8,8
1461283849,8,8
1461370257,7,7
1461456636,7,7
1461543046,6,6
1461715858,10,10
1461802235,9,9
1461888667,9,9
1461975022,8,8
1462061454,6,6
1462147817,7,7
1462234219,7,7
1462320598,8,8
1462407039,7,7
1462493432,9,9
1462579864,7,7
1462666217,9,9
1462752609,8,8
1462839029,8,8
1462925399,8,8
1463011812,9,9
1463098186,7,7
1463184611,7,7
1463271010,7,7
1463357394,8,8
1463443814,2,2
1463530209,9,9
1463616589,10,10
1463703020,9,9
1463789416,7,7
1463875802,5,5
1463962237,3,3
1464048622,8,8
1464135010,8,8
1464221552,9,9
1464307939,6,6
1464394198,6,6
1464480655,5,5
1464567047,6,6
1464653465,5,5
1464739875,5,5
1464912752,9,9
1464999179,5,5
1465085590,3,3
1465258474,7,7
1465344888,5,5
1465517781,8,8
1465690743,10,10
