DateTime,AddedIPs,RemovedIPs
1463908583,3,2
1463912117,3,1
1463915738,4,6
1463919406,5,2
1463922953,6,2
1463926571,3,1
1463930136,1,5
1463933856,1,2
1463937338,1,3
1463941020,5,2
1463944562,4,9
1463948142,4,1
1463951750,4,2
1463955435,4,5
1463958937,4,2
1463962616,13,2
1463966196,2,6
1463970088,5,4
1463973386,5,20
1463977040,4,4
1463980638,1,2
1463984137,4,6
1463987766,6,3
1463991300,4,1
1463994823,1,4
1463998549,3,2
1464002126,2,1
1464005818,3,3
1464009362,1,5
1464012954,3,2
1464016525,4,4
1464020178,4,2
1464023786,2,2
1464027321,6,3
1464031083,3,4
1464034500,2,3
1464038143,5,1
1464041879,2,9
1464045361,6,2
1464049120,20,2
1464052528,4,2
1464056320,0,4
1464059755,3,19
1464063427,1,2
1464067165,2,3
1464074161,6,0
1464077749,3,1
1464081334,3,4
1464084983,2,3
1464088619,1,6
1464092160,1,5
1464095738,3,5
1464099575,4,3
1464103018,2,1
1464106650,4,0
1464110275,0,1
1464113777,5,0
1464117292,2,1
1464121003,2,4
1464124529,5,3
1464128235,4,3
1464131772,3,2
1464135362,21,1
1464139046,1,5
1464142703,2,1
1464146097,1,21
1464149748,2,2
1464153512,22,0
1464157047,1,3
1464160671,4,3
1464164277,0,4
1464167833,3,2
1464171440,2,3
1464175098,20,1
1464178697,2,0
1464182282,0,3
1464185844,1,3
1464189523,1,4
1464193100,1,3
1464196660,5,2
1464200309,5,1
1464203871,5,0
1464207684,1,1
1464211118,1,6
1464214663,2,7
1464218232,4,1
1464221865,24,6
1464225393,5,2
1464229094,2,6
1464232609,3,18
1464236335,3,6
1464239841,0,1
1464243493,4,0
1464247110,3,2
1464250712,0,2
1464254294,1,4
1464257860,7,7
1464261587,3,1
1464265050,0,4
1464268645,4,2
1464272161,2,3
1464275880,1,2
1464279482,5,1
1464283022,4,1
1464286739,2,4
1464290242,3,2
1464293873,3,2
1464297526,0,5
1464301357,2,0
1464304621,1,7
1464308277,26,3
1464315452,2,3
1464319115,7,23
1464322754,4,4
1464326362,4,0
1464329860,1,3
1464333619,6,3
1464337102,3,4
1464340739,3,4
1464344314,2,4
1464347919,3,8
1464351511,4,1
1464355153,3,3
1464358684,4,3
1464362341,5,2
1464365909,4,3
1464369485,1,7
1464373089,5,3
1464376758,1,2
1464380313,1,4
1464383956,2,1
1464387485,3,6
1464391064,4,1
1464394626,18,1
1464398237,3,3
1464402050,2,2
1464405386,1,24
1464409111,3,4
1464412610,2,1
1464416210,5,1
1464419847,2,1
1464423460,1,1
1464427042,1,0
1464430725,6,7
1464434245,3,0
1464437881,1,5
1464441490,3,2
1464445079,3,5
1464448722,3,1
1464452270,3,2
1464455846,2,3
1464459530,2,2
1464463094,3,0
1464466654,3,2
1464470284,2,2
1464473881,2,3
1464477511,1,2
1464481302,31,3
1464484692,5,1
1464488552,2,3
1464491822,0,19
1464495506,3,6
1464499094,2,4
1464502713,1,1
1464506240,1,0
1464509827,0,3
1464513508,3,4
1464517068,7,2
1464520662,3,2
1464524269,1,4
1464527950,3,5
1464531477,5,3
1464535222,2,2
1464538686,4,3
1464542306,2,8
1464545882,6,3
1464549530,4,1
1464553254,0,1
1464556775,4,4
1464560323,3,5
1464563850,3,4
1464567464,19,1
1464571091,5,4
1464574696,2,4
1464578257,3,21
1464581874,2,0
1464589928,2,4
1464593564,2,6
1464597169,2,10
1464600745,3,3
1464604370,5,4
1464607933,8,4
1464610584,7,3
1464614306,5,0
1464617851,0,3
1464621445,2,3
1464625038,1,2
1464628688,0,2
1464632300,1,3
1464635819,2,1
1464639475,6,1
1464642990,1,0
1464646687,3,4
1464650202,4,3
1464653750,2,6
1464657450,30,1
1464661063,2,1
1464664622,1,10
1464668226,3,16
1464671855,0,9
1464675288,2,1
1464678971,4,5
1464682650,7,2
1464686251,1,1
1464689828,1,1
1464693448,2,3
1464697060,2,4
1464700683,2,1
1464704228,2,4
1464707799,2,3
1464711363,2,1
1464715066,4,4
1464718637,1,4
1464722281,2,2
1464725883,2,1
1464729465,1,5
1464733046,3,1
1464736628,1,3
1464740414,18,3
1464743834,2,0
1464747462,2,5
1464750997,5,19
1464754646,1,6
1464758289,2,4
1464761807,4,4
1464765479,2,6
1464769020,3,2
1464772660,3,2
1464776288,3,4
1464779837,3,1
1464783420,5,2
1464787065,3,0
1464790714,1,2
1464794274,3,4
1464797894,6,4
1464801467,2,5
1464805033,3,2
1464808706,5,2
1464812157,5,2
1464815841,1,1
1464819515,3,1
1464823017,0,2
1464826667,37,5
1464830256,9,5
1464834093,8,4
1464837455,4,18
1464841094,4,3
1464844669,2,8
1464848303,0,5
1464851803,5,12
1464855468,10,1
1464859029,2,1
1464862646,5,4
1464866281,2,3
1464869887,1,4
1464873410,2,0
1464877042,2,1
1464880658,6,2
1464884207,4,4
1464887851,6,3
1464891491,7,6
1464895040,3,4
1464898616,0,4
1464902193,2,4
1464905830,4,2
1464909423,6,5
1464913158,31,2
1464916649,4,4
1464920340,6,4
1464923801,2,25
1464927382,2,3
1464931075,4,2
1464934624,4,7
1464938191,1,2
1464941890,7,1
1464945406,3,1
1464949025,2,6
1464952601,4,1
1464956212,0,9
1464959817,5,7
1464963445,3,4
1464967074,3,3
