DateTime,Entries,UniqueIPs
1464081334,216,216
1464084983,215,215
1464088619,210,210
1464092160,206,206
1464095738,204,204
1464099575,205,205
1464103018,206,206
1464106650,210,210
1464110275,209,209
1464113777,214,214
1464117292,215,215
1464121003,213,213
1464124529,215,215
1464128235,216,216
1464131772,217,217
1464135362,237,237
1464139046,233,233
1464142703,234,234
1464146097,214,214
1464149748,214,214
1464153512,236,236
1464157047,234,234
1464160671,235,235
1464164277,231,231
1464167833,232,232
1464171440,231,231
1464175098,250,250
1464178697,252,252
1464182282,249,249
1464185844,247,247
1464189523,244,244
1464193100,242,242
1464196660,245,245
1464200309,249,249
1464203871,254,254
1464207684,254,254
1464211118,249,249
1464214663,244,244
1464218232,247,247
1464221865,265,265
1464225393,268,268
1464229094,264,264
1464232609,249,249
1464236335,246,246
1464239841,245,245
1464243493,249,249
1464247110,250,250
1464250712,248,248
1464254294,245,245
1464257860,245,245
1464261587,247,247
1464265050,243,243
1464268645,245,245
1464272161,244,244
1464275880,243,243
1464279482,247,247
1464283022,250,250
1464286739,248,248
1464290242,249,249
1464293873,250,250
1464297526,245,245
1464301357,247,247
1464304621,241,241
1464308277,264,264
1464315452,263,263
1464319115,247,247
1464322754,247,247
1464326362,251,251
1464329860,249,249
1464333619,252,252
1464337102,251,251
1464340739,250,250
1464344314,248,248
1464347919,243,243
1464351511,246,246
1464355153,246,246
1464358684,247,247
1464362341,250,250
1464365909,251,251
1464369485,245,245
1464373089,247,247
1464376758,246,246
1464380313,243,243
1464383956,244,244
1464387485,241,241
1464391064,244,244
1464394626,261,261
1464398237,261,261
1464402050,261,261
1464405386,238,238
1464409111,237,237
1464412610,238,238
1464416210,242,242
1464419847,243,243
1464423460,243,243
1464427042,244,244
1464430725,243,243
1464434245,246,246
1464437881,242,242
1464441490,243,243
1464445079,241,241
1464448722,243,243
1464452270,244,244
1464455846,243,243
1464459530,243,243
1464463094,246,246
1464466654,247,247
1464470284,247,247
1464473881,246,246
1464477511,245,245
1464481302,273,273
1464484692,277,277
1464488552,276,276
1464491822,257,257
1464495506,254,254
1464499094,252,252
1464502713,252,252
1464506240,253,253
1464509827,250,250
1464513508,249,249
1464517068,254,254
1464520662,255,255
1464524269,252,252
1464527950,250,250
1464531477,252,252
1464535222,252,252
1464538686,253,253
1464542306,247,247
1464545882,250,250
1464549530,253,253
1464553254,252,252
1464556775,252,252
1464560323,250,250
1464563850,249,249
1464567464,267,267
1464571091,268,268
1464574696,266,266
1464578257,248,248
1464581874,250,250
1464589928,248,248
1464593564,244,244
1464597169,236,236
1464600745,236,236
1464604370,237,237
1464607933,241,241
1464610584,245,245
1464614306,250,250
1464617851,247,247
1464621445,246,246
1464625038,245,245
1464628688,243,243
1464632300,241,241
1464635819,242,242
1464639475,247,247
1464642990,248,248
1464646687,247,247
1464650202,248,248
1464653750,244,244
1464657450,273,273
1464661063,274,274
1464664622,265,265
1464668226,252,252
1464671855,243,243
1464675288,244,244
1464678971,243,243
1464682650,248,248
1464686251,248,248
1464689828,248,248
1464693448,247,247
1464697060,245,245
1464700683,246,246
1464704228,244,244
1464707799,243,243
1464711363,244,244
1464715066,244,244
1464718637,241,241
1464722281,241,241
1464725883,242,242
1464729465,238,238
1464733046,240,240
1464736628,238,238
1464740414,253,253
1464743834,255,255
1464747462,252,252
1464750997,238,238
1464754646,233,233
1464758289,231,231
1464761807,231,231
1464765479,227,227
1464769020,228,228
1464772660,229,229
1464776288,228,228
1464779837,230,230
1464783420,233,233
1464787065,236,236
1464790714,235,235
1464794274,234,234
1464797894,236,236
1464801467,233,233
