DateTime,AddedIPs,RemovedIPs
1450127306,1,0
1450141705,0,1
1450314532,0,2
1450743000,1,0
1451002251,1,0
1451192941,0,1
1451261431,1,0
1451444950,0,1
1451520687,1,0
1451704206,0,1
1451779758,1,0
1451794204,0,1
1451898538,1,0
1451952684,1,0
1451963936,0,1
1452039001,1,0
1452082133,0,1
1452129010,1,0
1452143331,0,1
1452395414,0,1
1452471042,1,0
1452481791,0,1
1452913727,0,1
1452989348,2,0
1453086716,2,0
1453090142,2,0
1453432196,0,2
1454112657,1,0
1454555452,0,1
1454944085,2,0
1454954934,0,1
1454976638,1,0
1455063012,1,0
1455073734,1,0
1455322091,2,0
1455332989,0,1
1455343722,1,0
1455408620,1,0
1455419574,0,1
1455505704,0,2
1455581371,1,0
1455761295,0,1
1455764933,0,1
1455851450,0,1
1455930545,1,0
1456024421,0,1
1456045710,0,1
1456056512,1,0
1456103429,2,0
1456186128,2,0
1456254468,0,1
1456261707,1,0
1456272621,1,0
1456283558,0,1
1456286905,1,1
1456290506,1,0
1456304910,0,1
1456315692,1,0
1456362573,1,0
1456369811,0,1
1456384166,0,1
1456387754,1,0
1456405761,0,1
1456409313,1,0
1456499296,0,1
1456502907,1,0
1456531786,1,0
1456542542,0,2
1456625295,0,2
1456708100,0,1
1456801855,0,1
1456974905,0,1
1457007985,1,0
1457309325,1,0
1457313025,1,0
1457407094,0,1
1457482485,1,0
1457493902,0,1
1457568921,2,0
1457741568,1,0
1457753561,0,1
1457914177,2,0
1457925046,0,1
1458000558,1,0
1458011456,0,2
1458176902,1,0
1458184245,0,1
1458292142,0,1
1458357159,0,1
1458443385,0,1
1458518942,1,0
1458551305,1,0
1458616258,0,1
1458630533,0,1
1458637695,1,0
1458691759,1,0
1458734916,0,1
1458781705,1,0
1458961996,0,1
1459037366,1,0
1459044751,1,0
1459062502,0,1
1459069702,1,0
1459123750,0,1
1459134502,0,1
1459148904,1,0
1459159694,0,1
1459163349,0,1
1459166943,2,0
1459170509,0,1
1459177716,1,0
1459195715,0,1
1459199305,0,1
1459203011,1,0
1459206523,1,0
1459210164,1,0
1459217482,0,1
1459220913,1,1
1459274914,0,1
1459282132,1,0
1459296582,1,0
1459325354,0,1
1459328914,1,1
1459336110,1,0
1459383012,1,1
1459386522,1,0
1459390164,0,1
1459393697,1,0
1459397336,0,1
1459401053,0,1
1459404500,1,0
1459408101,1,0
1459418906,0,1
1459422551,1,0
1459429726,0,1
1459451347,1,0
1459472949,0,1
1459476549,0,1
1459555864,5,0
1459570182,0,1
1459642126,1,0
1459652905,0,1
1459656505,0,2
1459660219,1,0
1459714195,1,0
1459732224,1,0
1459739303,0,1
1459746535,0,1
1459822146,1,0
1459825696,0,1
1459836561,0,1
1459908632,1,0
1459922911,0,1
1459998501,1,4
1460012907,0,1
1460102944,1,0
1460160564,1,0
1460250532,1,0
1460290143,0,1
1460293801,0,1
1460300902,1,0
1460344102,0,1
1460408915,0,1
1460412538,1,0
1460448514,0,1
1460462949,1,0
1460567309,0,1
1460570942,1,0
1460603296,0,1
1460617700,0,1
1460621351,1,0
1460686171,0,1
1460689705,1,0
1460772594,1,0
1460938090,1,0
1460945403,0,1
1460948909,1,0
1460988544,0,1
1460992143,1,0
1461056950,0,1
1461060554,1,0
1461103753,0,2
1461107286,2,0
1461110987,1,0
1461121777,0,1
1461204661,0,1
1461323308,0,1
1461326912,1,0
1461370181,1,0
1461380896,0,1
1461456548,1,0
1461470966,0,1
1461485296,1,0
1461499707,0,2
1461503330,1,0
1461521340,1,0
1461539495,0,1
1461543005,1,0
1461546556,0,1
1461553727,0,1
1461557362,1,0
1461571762,0,1
1461582636,0,1
1461586119,0,1
1461589708,2,0
1461593316,1,0
1461607757,0,1
1461614952,1,0
1461618586,0,1
1461625733,1,1
1461629428,1,1
1461632979,2,0
1461647372,0,1
1461650946,1,0
1461665304,0,1
1461672560,1,0
1461686922,0,1
1461708590,1,0
1461737349,0,1
1461744502,1,0
1461758919,0,1
1461780520,1,0
1461794952,0,1
1461798515,0,1
1461802149,1,0
1461809436,1,1
1461812940,1,1
1461823728,0,1
1461827377,1,0
1461856750,0,1
1461859967,0,1
1461867735,1,1
1461871444,0,1
1461875155,1,0
1461877940,1,0
1461928658,0,1
1461935837,1,0
1461942581,0,1
1461946183,1,0
1461989583,0,1
1461996688,1,1
1462004007,1,0
1462021925,0,1
1462025415,1,0
1462072115,0,1
1462075794,0,1
1462079398,1,0
1462119003,0,1
1462122516,1,0
1462306261,0,1
1462309774,0,1
1462313387,2,0
1462320570,1,0
1462352964,0,1
1462360143,1,0
1462410563,0,1
1462414402,0,1
1462421525,2,0
1462435717,0,1
1462439372,1,0
1462446537,0,1
1462453809,1,0
1462479075,0,1
1462482669,1,0
1462547408,0,1
1462550951,1,0
1462569183,0,2
1462572560,1,0
1462583342,1,0
1462590564,0,1
1462619333,1,0
1462669856,0,1
1462677083,1,0
1462698656,0,1
1462702143,1,0
1462741923,0,1
1462749111,1,0
1462760033,0,1
1462763525,0,1
1462777806,1,0
1462939729,0,1
1462951237,1,0
1462982978,0,1
1462990121,1,1
1462997372,1,0
1463022538,0,1
1463047690,1,0
1463062118,0,1
1463072985,1,0
1463091000,0,1
1463098265,3,0
1463112595,0,1
1463116139,1,0
1463141386,0,1
1463152158,1,0
1463173753,0,1
1463177349,1,0
1463216936,0,1
1463238560,1,0
1463263778,0,1
1463274521,1,0
1463289007,0,1
1463296132,1,0
1463314132,0,1
1463317732,1,0
1463353722,0,1
1463357395,1,0
1463432893,0,1
1463436557,1,0
1463447435,1,0
1463458149,0,1
1463472557,0,1
1463487004,0,1
1463490526,1,0
1463497742,0,1
1463512140,1,0
1463526587,0,1
1463540988,0,1
1463648953,0,1
1463666950,1,0
1463699375,0,1
1463706601,1,1
1463731808,1,0
1463746256,1,0
1463771336,0,2
1463775028,1,0
1463785806,1,0
1463793107,0,1
1463796718,1,0
1463803898,0,1
1463810934,1,1
1463814640,1,0
1463818214,0,1
1463821758,1,0
1463900941,1,0
1463915339,0,2
1463919012,1,0
1463922541,1,0
1463936958,0,1
1463940596,1,0
1463954987,0,1
1463958550,1,0
1463965804,0,1
1463987359,1,0
1463994528,0,1
1464001736,1,0
1464008982,0,1
1464019784,1,0
1464073729,1,0
1464080937,0,1
1464084568,1,1
1464091777,0,2
1464095385,1,0
1464149398,0,1
1464153040,1,0
1464160192,1,0
1464167359,0,1
1464203368,2,0
1464228638,0,2
1464242975,2,0
1464264564,0,2
1464282547,2,0
1464286223,0,1
1464297026,0,2
1464300872,2,0
1464314959,0,2
1464318555,3,0
1464329336,1,0
1464343762,0,1
1464347388,0,3
1464361770,2,0
1464372569,1,0
1464386960,0,3
1464390544,1,0
1464401482,0,1
1464408599,1,0
1464480822,0,1
1464495020,1,0
1464538194,0,1
1464541776,1,0
1464570553,0,1
1464577745,1,0
1464610181,0,1
1464620926,1,0
1464639004,0,1
1464646176,1,0
1464703753,0,1
1464721795,1,0
1464736144,0,2
1464747007,2,0
1464761342,0,1
1464764996,0,1
1464782950,1,1
1464786563,1,0
1464790194,1,0
1464811742,0,1
1464826174,1,0
1464829776,1,0
1464833603,0,1
1464844185,0,1
1464851339,1,0
1464854973,1,0
1464865761,0,1
1464876570,1,0
1464880159,0,1
1464890982,1,0
1464912664,1,0
1464926933,0,1
1464930607,1,0
1464962941,0,1
1464970124,1,0
1465002592,1,0
1465006234,0,1
1465016949,1,1
1465085284,1,0
1465088960,1,0
1465099762,0,1
1465103394,1,0
1465106962,0,2
1465110598,1,1
1465114135,2,0
1465121343,1,1
1465124954,1,0
1465139329,0,1
1465157351,0,2
1465168190,0,1
1465171766,1,0
1465175342,0,1
1465179002,1,0
1465186184,1,2
1465193380,0,1
1465196959,1,0
1465200545,1,1
1465204144,1,0
1465207748,1,0
1465211357,0,1
1465214979,3,1
1465218526,1,1
1465222151,1,0
1465229364,0,1
1465232929,0,1
1465236614,1,1
1465243770,0,2
1465250953,1,1
1465254596,1,0
1465258165,1,0
1465265400,0,1
1465268942,1,2
1465276135,0,1
1465279758,1,0
1465283365,0,1
1465290530,1,0
1465304968,0,1
1465315802,2,0
1465330174,0,1
1465337344,0,1
1465344554,2,0
1465348190,1,1
1465352030,1,0
1465366146,0,1
1465369760,0,1
1465373413,0,1
1465380557,1,0
1465391432,0,1
1465394937,0,1
1465398561,2,0
1465402199,1,0
1465405776,0,1
1465413083,2,1
1465416621,1,0
1465427366,0,1
1465431014,0,2
1465448965,1,0
1465452552,1,0
1465456202,1,0
1465466936,0,1
1465474140,1,1
1465477750,1,1
1465488559,0,1
1465506560,1,0
1465517473,1,0
1465521195,0,1
1465607349,0,1
1465611143,1,0
1465780155,0,1
1465787346,1,0
1465805369,0,1
1465809043,0,1
1465812568,1,0
1465819807,0,1
1465823395,1,0
1465830570,1,0
1465841428,0,1
1465845047,1,1
1465848555,1,1
1465852189,1,0
1465866575,0,2
1465870409,1,0
1465877424,1,0
1465891722,0,1
