DateTime,Entries,UniqueIPs
1453594135,4,4
1453597765,4,4
1453601318,4,4
1453605176,4,4
1453608614,4,4
1453612257,4,4
1453615744,4,4
1453619381,4,4
1453622950,4,4
1453626587,4,4
1453630109,4,4
1453633840,4,4
1453637379,4,4
1453641011,4,4
1453644527,4,4
1453648220,4,4
1453651801,4,4
1453655345,4,4
1453658913,4,4
1453662529,4,4
1453666194,4,4
1453669785,4,4
1453673298,4,4
1453676993,4,4
1453680648,4,4
1453684157,4,4
1453687739,4,4
1453691454,4,4
1453695003,4,4
1453698530,4,4
1453702162,4,4
1453705746,4,4
1453709348,4,4
1453712956,4,4
1453716538,4,4
1453720176,4,4
1453723718,4,4
1453727349,4,4
1453730932,4,4
1453734509,4,4
1453738156,4,4
1453741725,4,4
1453745376,4,4
1454112657,5,5
1454555452,4,4
1454944085,6,6
1454954934,5,5
1454976638,6,6
1455063012,7,7
1455073734,8,8
1455322091,10,10
1455332989,9,9
1455343722,10,10
1455408620,11,11
1455419574,10,10
1455505704,8,8
1455581371,9,9
1455761295,8,8
1455764933,7,7
1455851450,6,6
1455930545,7,7
1456024421,6,6
1456045710,5,5
1456056512,6,6
1456103429,8,8
1456186128,10,10
1456254468,9,9
1456261707,10,10
1456272621,11,11
1456283558,10,10
1456286905,10,10
1456290506,11,11
1456304910,10,10
1456315692,11,11
1456362573,12,12
1456369811,11,11
1456384166,10,10
1456387754,11,11
1456405761,10,10
1456409313,11,11
1456499296,10,10
1456502907,11,11
1456531786,12,12
1456542542,10,10
1456625295,8,8
1456708100,7,7
1456801855,6,6
1456974905,5,5
1457007985,6,6
1457309325,7,7
1457313025,8,8
1457407094,7,7
1457482485,8,8
1457493902,7,7
1457568921,9,9
1457741568,10,10
1457753561,9,9
1457914177,11,11
1457925046,10,10
1458000558,11,11
1458011456,9,9
1458176902,10,10
1458184245,9,9
1458292142,8,8
1458357159,7,7
1458443385,6,6
1458518942,7,7
1458551305,8,8
1458616258,7,7
1458630533,6,6
1458637695,7,7
1458691759,8,8
1458734916,7,7
1458781705,8,8
1458961996,7,7
1459037366,8,8
1459044751,9,9
1459062502,8,8
1459069702,9,9
1459123750,8,8
1459134502,7,7
1459148904,8,8
1459159694,7,7
1459163349,6,6
1459166943,8,8
1459170509,7,7
1459177716,8,8
1459195715,7,7
1459199305,6,6
1459203011,7,7
1459206523,8,8
1459210164,9,9
1459217482,8,8
1459220913,8,8
1459274914,7,7
1459282132,8,8
1459296582,9,9
1459325354,8,8
1459328914,8,8
1459336110,9,9
1459383012,9,9
1459386522,10,10
1459390164,9,9
1459393697,10,10
1459397336,9,9
1459401053,8,8
1459404500,9,9
1459408101,10,10
1459418906,9,9
1459422551,10,10
1459429726,9,9
1459451347,10,10
1459472949,9,9
1459476549,8,8
1459555864,13,13
1459570182,12,12
1459642126,13,13
1459652905,12,12
1459656505,10,10
1459660219,11,11
1459714195,12,12
1459732224,13,13
1459739303,12,12
1459746535,11,11
1459822146,12,12
1459825696,11,11
1459836561,10,10
1459908632,11,11
1459922911,10,10
1459998501,7,7
1460012907,6,6
1460102944,7,7
1460160564,8,8
1460250532,9,9
1460290143,8,8
1460293801,7,7
1460300902,8,8
1460344102,7,7
1460408915,6,6
