DateTime,Entries,UniqueIPs
1463778139,19,19
1463781741,17,17
1463788878,16,16
1463792631,16,16
1463796140,17,17
1463799740,18,18
1463803294,19,19
1463806884,15,15
1463810496,17,17
1463814156,18,18
1463817707,16,16
1463824941,16,16
1463828507,18,18
1463832141,13,13
1463835819,14,14
1463839281,14,14
1463842909,15,15
1463846494,13,13
1463850088,13,13
1463853741,14,14
1463857339,17,17
1463860900,17,17
1463864539,18,18
1463868087,18,18
1463871708,15,15
1463875281,17,17
1463882515,17,17
1463886094,18,18
1463889684,17,17
1463893436,16,16
1463897006,15,15
1463900495,12,12
1463904110,11,11
1463907740,12,12
1463914910,14,14
1463918510,15,15
1463922098,17,17
1463925740,18,18
1463929280,15,15
1463932941,16,16
1463936492,15,15
1463940110,17,17
1463943708,14,14
1463947294,13,13
1463950881,14,14
1463954549,15,15
1463958080,16,16
1463961736,19,19
1463965339,18,18
1463968909,16,16
1463972535,20,20
1463976199,19,19
1463983291,18,18
1463986902,19,19
1463994078,18,18
1463997703,18,18
1464001286,17,17
1464004934,16,16
1464008516,15,15
1464012087,16,16
1464015698,16,16
1464019294,16,16
1464022936,17,17
1464026479,20,20
1464030150,21,21
1464033702,19,19
1464041007,16,16
1464044487,17,17
1464048135,16,16
1464051702,17,17
1464055333,15,15
1464058903,16,16
1464062598,16,16
1464066079,14,14
1464069703,15,15
1464073303,19,19
1464076888,20,20
1464080503,19,19
1464084103,18,18
1464087733,15,15
1464091275,13,13
1464094879,12,12
1464098599,10,10
1464102087,12,12
1464105726,14,14
1464109431,13,13
1464112841,16,16
1464116446,17,17
1464120047,18,18
1464123640,20,20
1464127368,20,20
1464130850,18,18
1464134517,19,19
1464138141,18,18
1464141823,19,19
1464145293,19,19
1464148909,20,20
1464152585,21,21
1464156139,19,19
1464159741,16,16
1464163340,15,15
1464166907,17,17
1464170489,19,19
1464174141,20,20
1464177706,21,21
1464181278,18,18
1464184889,16,16
1464188508,15,15
1464192088,15,15
1464195740,18,18
1464199309,20,20
1464202881,21,21
1464206476,20,20
1464210140,18,18
1464213682,15,15
1464217280,16,16
1464220881,17,17
1464224492,17,17
1464228112,16,16
1464231682,15,15
1464235404,17,17
1464238892,18,18
1464242507,18,18
1464246110,17,17
1464256893,16,16
1464260606,18,18
1464264108,19,19
1464267678,22,22
1464271281,20,20
1464274908,19,19
1464278540,18,18
1464282093,18,18
1464285741,21,21
1464289280,19,19
1464292893,20,20
1464296540,19,19
1464300219,17,17
1464303687,14,14
1464307294,13,13
1464310910,13,13
1464318109,13,13
1464321710,16,16
1464325291,18,18
1464328892,17,17
1464332487,18,18
1464336084,17,17
1464339743,16,16
1464346940,16,16
1464350539,18,18
1464354139,16,16
1464357707,17,17
1464361309,15,15
1464364906,19,19
1464368482,15,15
1464372112,17,17
1464379309,13,13
1464382942,16,16
1464386485,18,18
1464390097,18,18
1464397308,15,15
1464401012,14,14
1464404479,13,13
1464408079,14,14
1464411695,16,16
1464415286,16,16
1464418883,18,18
1464426100,19,19
1464429707,16,16
1464433308,19,19
1464436880,20,20
1464440491,18,18
1464444113,16,16
1464447740,18,18
1464451288,16,16
1464454882,15,15
1464458483,15,15
1464462138,17,17
1464465683,18,18
1464469287,18,18
1464472940,16,16
1464476479,17,17
1464480218,15,15
1464483743,19,19
1464487535,18,18
1464494489,16,16
1464498085,15,15
1464501744,16,16
1464508887,14,14
1464512514,15,15
1464516098,20,20
1464519688,18,18
1464523306,15,15
1464526912,13,13
1464530496,16,16
1464534207,15,15
1464537693,18,18
1464541303,15,15
1464544887,17,17
1464548546,16,16
1464552111,15,15
1464555744,16,16
1464559343,16,16
1464562886,16,16
1464566484,17,17
1464570085,18,18
1464573693,18,18
1464577289,18,18
1464580939,20,20
1464584731,17,17
1464588329,17,17
1464591931,18,18
1464595530,14,14
1464599132,13,13
1464602732,12,12
1464606332,17,17
1464609739,17,17
1464613283,18,18
1464616887,15,15
1464620486,14,14
1464627707,14,14
1464631307,12,12
1464634879,15,15
1464638509,16,16
1464642091,16,16
1464645683,18,18
1464649307,18,18
1464652880,18,18
1464656479,18,18
1464660112,17,17
1464663691,14,14
1464667307,17,17
1464670888,16,16
1464674478,16,16
1464678086,15,15
1464681708,19,19
1464688885,20,20
1464692508,20,20
1464696093,16,16
1464699708,16,16
1464703283,17,17
1464706881,16,16
1464710480,16,16
1464714080,15,15
1464717708,15,15
1464724915,15,15
1464728487,12,12
1464732094,11,11
1464735694,12,12
1464739327,16,16
1464742909,19,19
1464746540,19,19
1464753682,15,15
1464757340,12,12
1464760878,15,15
1464764508,13,13
1464768079,14,14
1464775309,13,13
1464782488,14,14
1464796907,13,13
1464800539,10,10
1464804109,11,11
1464807708,16,16
1464811292,17,17
1464822109,15,15
1464825692,13,13
1464829305,18,18
1464833003,16,16
1464836484,16,16
1464840097,19,19
1464843711,19,19
1464850896,15,15
1464854495,14,14
1464861709,13,13
1464865308,13,13
1464868941,15,15
1464879695,18,18
1464883280,19,19
1464886895,20,20
1464890508,19,19
1464894081,16,16
1464897696,15,15
1464901308,14,14
1464904940,15,15
1464908507,17,17
1464912135,16,16
1464915735,19,19
1464919335,21,21
1464922876,19,19
1464926477,19,19
1464930136,19,19
1464933702,18,18
1464940902,20,20
1464948104,21,21
1464951681,22,22
1464955303,19,19
