DateTime,Entries,UniqueIPs
1438159314,14636,14636
1438159314,14636,14636
1438159314,14636,14636
1438159314,14636,14636
1438159314,14636,14636
1440014578,14635,14635
1440014578,14635,14635
1440014578,14635,14635
1442872722,0,0
1443553346,13387,13387
1445940189,15127,15127
1446423879,8683,8683
1446461144,8829,8829
1446571075,8828,8828
1446628520,8997,8997
1447289071,8686,8686
1448304810,8685,8685
1450209686,13283,13283
1450210486,13320,13320
1452223010,9645,9645
1452231011,9690,9690
1454366922,20613,20613
1454453593,20645,20645
1454497598,21425,21425
1454671471,21351,21351
1454697074,21623,21623
1454871021,22800,22800
1454926227,23482,23482
1456930052,7,7
1456942054,20103,20103
1459209725,27235,27235
1459296752,28291,28291
1459383782,29525,29525
1459470508,30440,30440
1459557533,31325,31325
1459644264,32265,32265
1459731294,33113,33113
1459818324,34071,34071
1459905649,34862,34862
1459992680,35660,35660
1460079412,36463,36463
1460166439,37483,37483
1460253477,38372,38372
1460340509,39160,39160
1460427243,39919,39919
1460514277,41025,41025
1460601310,41898,41898
1460688340,42751,42751
1460775676,43579,43579
1460862714,44448,44448
1460949752,45219,45219
1461036801,46154,46154
1461123831,47082,47082
1461210867,47854,47854
1461297913,48717,48717
1461384983,49574,49574
1461472061,50560,50560
1461559097,36946,36946
1461646134,37959,37959
1461733179,38942,38942
1461820206,18996,18996
1461907231,20010,20010
1461994558,21026,21026
1462081584,22098,22098
1462168610,1,1
1462255638,19311,19311
1462342662,18005,18005
1462429690,18890,18890
1462516717,19047,19047
1462603745,18865,18865
1462690772,17884,17884
1462777802,19260,19260
1462864528,14,14
1462951555,18354,18354
1463038581,19545,19545
1463125590,19253,19253
1463212616,20250,20250
1463299641,21216,21216
1463386667,140,140
1463473693,18301,18301
1463560717,20242,20242
1463647741,19476,19476
1463734764,18621,18621
1463822090,19308,19308
1463909117,18905,18905
1463996142,19110,19110
1464083169,20560,20560
1464169895,21611,21611
1464256921,19373,19373
1464343647,19822,19822
1464430673,19664,19664
1464517697,20795,20795
1464604723,20056,20056
1464691749,19764,19764
1464778775,21260,21260
1464866102,20508,20508
1464953126,20072,20072
1465040151,21083,21083
1465127177,22076,22076
1465213901,23060,23060
1465300926,24028,24028
1465387950,24947,24947
1465474973,26392,26392
1465561697,21531,21531
1465648724,22604,22604
1465735748,21157,21157
