DateTime,AddedIPs,RemovedIPs
1464756256,14,6
1464758199,11,9
1464760104,22,17
1464762035,9,18
1464763944,19,12
1464765861,14,16
1464767779,14,8
1464769730,11,59
1464771663,16,17
1464773602,18,12
1464775503,11,7
1464777434,13,12
1464779338,15,14
1464781555,21,16
1464783407,9,21
1464785329,18,18
1464787242,12,15
1464789179,11,225
1464791075,2,13
1464793005,13,17
1464794926,9,17
1464796860,12,5
1464798781,10,22
1464800665,12,19
1464802603,10,12
1464804538,10,12
1464806444,16,11
1464808395,10,9
1464810291,16,10
1464812213,12,10
1464814123,13,6
1464816041,8,12
1464817962,10,11
1464819877,10,11
1464821807,15,11
1464823724,5,14
1464825673,12,13
1464827709,12,14
1464829730,8,13
1464831642,14,8
1464833568,11,14
1464835473,6,4
1464837426,9,9
1464839335,13,8
1464841231,6,5
1464843186,8,10
1464845079,6,14
1464847009,17,13
1464848941,6,11
1464850868,23,7
1464852784,18,11
1464854985,7,64
1464856817,18,13
1464858739,9,12
1464860662,14,14
1464862590,6,9
1464864510,10,18
1464866393,10,9
1464868351,10,6
1464870263,13,18
1464872197,10,10
1464874124,6,9
1464876057,8,5
1464877963,17,5
1464879864,5,11
1464881794,15,9
1464883714,12,11
1464885645,11,8
1464887557,17,7
1464889716,13,11
1464891636,5,18
1464893591,10,7
1464895501,11,16
1464897400,20,13
1464899354,10,15
1464901258,12,10
1464903174,17,9
1464905137,3,7
1464907116,11,12
1464908931,4,7
1464910836,16,9
1464912765,5,9
1464914767,19,12
1464916613,6,15
1464918520,13,12
1464920625,10,9
1464922630,13,8
1464924543,8,7
1464926501,14,14
1464928380,24,6
1464930296,7,12
1464932209,13,11
1464934150,10,4
1464936061,14,11
1464937976,7,10
1464939896,11,10
1464941828,13,46
1464943733,12,11
1464945660,12,12
1464947597,11,14
1464949507,10,7
1464951419,12,9
1464953342,14,13
1464955292,18,8
1464957448,15,9
1464959353,7,6
1464961248,9,7
1464963497,8,13
1464965302,13,9
1464967223,6,13
1464969184,16,8
1464971056,7,16
1464972972,18,11
1464974911,15,11
1464976826,20,10
1464978747,13,12
1464980651,3,6
1464982576,16,17
1464984501,11,11
1464986416,836,10
1464988362,4,13
1464990250,15,8
1464992181,5,10
1464994207,14,8
1464996027,7,6
1464997953,15,10
1464999877,3,10
1465001783,12,9
1465003722,6,10
1465005654,15,8
1465007577,20,14
1465009478,6,8
1465011639,11,14
1465013564,6,15
1465015482,9,10
1465017635,6,8
1465019557,8,8
1465021462,5,8
1465023409,13,11
1465025333,8,8
1465027242,9,19
1465029155,3,27
1465031065,7,12
1465033004,10,10
1465034933,9,8
1465036835,8,7
1465039030,12,19
1465040934,8,11
1465042848,4,14
1465044792,14,10
1465046673,4,5
1465048600,11,10
1465050531,3,11
1465052713,10,11
1465054609,13,8
1465056528,9,8
1465058455,12,12
1465060365,8,10
1465062271,17,10
1465064231,3,19
1465066117,15,7
1465068048,10,13
1465069960,12,20
1465072093,8,776
1465074038,10,12
1465075972,14,16
1465077952,7,6
1465079796,11,13
1465081730,8,14
1465083636,13,15
1465085577,7,9
1465087465,10,10
1465089443,6,17
1465091337,16,9
1465093250,6,11
1465095170,10,17
1465097077,13,12
1465099011,8,8
1465100927,5,7
1465102878,15,12
1465104765,11,10
1465106998,10,9
1465108845,13,9
1465110766,6,9
1465112676,13,5
1465114640,12,97
1465116540,18,6
1465118455,7,9
1465120384,11,3
1465122348,5,8
1465124201,8,6
1465126142,9,9
1465128075,8,6
1465130009,14,11
1465131898,11,12
1465134070,21,14
1465135984,5,12
1465137903,14,50
1465139844,6,15
1465141757,14,19
1465143679,5,13
1465145594,14,6
1465147494,6,12
1465149427,47,7
1465151348,5,5
1465153316,10,12
1465155200,15,8
1465157101,4,6
1465159020,12,23
1465160958,17,6
1465162864,10,8
1465164800,5,11
1465166703,5,12
1465168622,9,7
1465170563,16,9
1465172457,8,7
1465174641,21,9
1465176541,6,21
1465178518,10,10
1465180380,9,11
1465182307,7,7
1465184229,420,5
1465186152,3,5
1465188071,11,7
1465190006,3,4
1465191889,12,11
1465193828,6,8
1465195738,9,8
1465197560,6,9
1465199553,6,9
1465201452,12,8
1465203378,14,6
1465205298,5,12
1465207258,11,2
1465209167,8,5
1465211065,9,5
1465212984,10,8
1465214910,10,6
1465216830,10,9
1465218762,3,15
1465220668,15,11
1465222593,7,6
1465224515,14,12
1465226427,10,7
1465228353,11,9
1465230264,9,7
1465232088,17,9
1465234133,3,10
1465236087,13,6
1465237977,9,5
1465239876,12,9
1465241801,11,6
1465243735,8,8
1465245633,28,5
1465247581,3,14
1465249481,9,10
1465251415,4,3
1465253339,16,8
1465255235,3,8
1465257167,8,7
1465259075,11,9
1465261016,7,9
1465262935,8,7
1465265139,10,5
1465266987,10,5
1465268912,9,76
1465270813,9,396
1465272744,7,5
1465274656,12,8
1465276577,5,8
1465278508,13,15
1465280417,8,12
1465282336,9,9
1465284252,12,12
1465286176,11,10
1465288094,10,8
1465290036,17,9
1465291957,10,10
1465293857,11,12
1465295772,15,9
1465297701,18,11
1465299623,10,14
1465301557,6,14
1465303458,13,10
1465305411,13,11
1465307302,10,20
1465309221,5,13
1465311140,19,5
1465313061,6,10
1465314973,13,15
1465316909,4,7
1465318869,21,7
1465320753,9,5
1465322651,7,9
1465324596,10,14
1465326504,12,14
1465328429,21,9
1465330357,7,10
1465332260,14,15
1465334452,10,6
1465336342,6,8
1465338274,8,9
1465340183,14,5
1465342376,10,4
1465344280,7,12
1465346198,6,8
1465348122,10,6
1465350036,4,13
1465352266,8,15
1465354099,11,8
1465356021,11,14
1465357947,14,12
1465359855,9,5
1465361781,10,15
1465363734,8,4
1465365676,11,12
1465367588,8,7
1465369767,12,9
1465371627,11,15
1465373552,8,55
1465375462,20,10
1465377392,9,12
1465379300,7,17
1465381222,11,10
1465383143,17,16
1465385056,7,33
1465386883,7,12
1465388913,12,10
1465390953,14,11
1465392755,20,8
1465394658,8,9
1465396588,13,12
1465398496,6,13
1465400422,14,8
1465402365,9,10
1465404257,10,16
1465406211,7,13
1465408112,18,6
1465410016,10,11
1465411949,5,10
1465413862,11,14
1465415779,9,11
1465417715,8,17
1465419644,19,9
1465421558,14,10
1465423464,4,10
1465425415,11,8
1465427300,3,14
1465429235,12,6
1465431413,9,8
1465433522,8,10
1465435473,7,18
1465437383,18,13
1465439327,8,9
1465441240,9,10
1465443163,7,15
1465445076,10,14
1465447237,18,54
1465449166,6,13
1465451073,7,12
1465453013,14,8
1465454923,9,9
1465456853,21,13
1465458770,6,12
1465460966,8,16
1465462842,12,12
1465464754,11,13
1465466665,9,13
1465468585,7,11
1465470532,7,12
1465472426,14,8
1465474400,8,10
1465476252,11,10
1465478053,4,10
1465479854,12,15
1465481804,18,9
1465483700,26,10
