DateTime,Entries,UniqueIPs
1454755248,2166,2166
1454777288,2167,2167
1454799162,2166,2166
1454821215,2181,2181
1454843067,2210,2210
1454865145,2197,2197
1454886990,2191,2191
1454909050,2202,2202
1454930893,2206,2206
1454952771,2222,2222
1454974822,2209,2209
1454996908,2198,2198
1455018978,2187,2187
1455040826,2182,2182
1455063336,2183,2183
1455085211,2284,2284
1455107099,2271,2271
1455129162,2282,2282
1455151357,2306,2306
1455173292,2309,2309
1455195164,2292,2292
1455217219,2285,2285
1455239322,2289,2289
1455261168,2291,2291
1455283015,2284,2284
1455305104,2281,2281
1455326968,2283,2283
1455348971,2298,2298
1455370830,2289,2289
1455392677,2290,2290
1455414738,2289,2289
1455436589,2275,2275
1455458666,2273,2273
1455480739,2243,2243
1455502597,2265,2265
1455524442,2271,2271
1455546534,2377,2377
1455568600,2690,2690
1455590681,2801,2801
1455612752,2789,2789
1455634848,2774,2774
1455656931,2806,2806
1455678905,2692,2692
1455700831,2695,2695
1455722904,2965,2965
1455745012,2952,2952
1455767046,2957,2957
1455788907,2950,2950
1455810753,2949,2949
1455832813,2941,2941
1455854724,2939,2939
1455876747,2933,2933
1455898602,2942,2942
1455920452,2929,2929
1455942513,2916,2916
1455964605,2935,2935
1455986660,2934,2934
1456008517,2920,2920
1456030595,2910,2910
1456052438,2916,2916
1456074523,2924,2924
1456096611,2931,2931
1456118645,2916,2916
1456140495,2913,2913
1456162616,2786,2786
1456184920,2626,2626
1456206970,2530,2530
1456228840,2521,2521
1456251100,2515,2515
1456273009,2509,2509
1456295057,2495,2495
1456316901,2169,2169
1456338781,2010,2010
1456360825,2040,2040
1456382669,2076,2076
1456404570,2077,2077
1456426573,2062,2062
1456448425,2076,2076
1456470511,2094,2094
1456492636,2263,2263
1456514668,2363,2363
1456536745,2389,2389
1456558665,2396,2396
1456580682,2390,2390
1456602736,2391,2391
1456624607,2445,2445
1456646462,2447,2447
1456668566,2421,2421
1456690596,2430,2430
1456712661,2444,2444
1456734753,2452,2452
1456756817,2581,2581
1456778673,2605,2605
1456800940,2615,2615
1456822822,2626,2626
1456844679,2646,2646
1456866555,2645,2645
1456888593,2651,2651
1456910693,2651,2651
1456932740,2678,2678
1456954603,2655,2655
1456976465,2633,2633
1456998508,2633,2633
1457020381,2643,2643
1457042223,2652,2652
1457064255,2649,2649
1457086118,2642,2642
1457108182,2426,2426
1457130066,6267,6267
1457152134,7800,7800
1457174193,10718,10718
1457196286,14316,14316
1457218363,16103,16103
1457240220,16135,16135
1457262260,16204,16204
1457284135,16293,16293
1457306183,16345,16345
1457328217,16373,16373
1457350118,16338,16338
1457372527,16321,16321
1457394554,16332,16332
1457416576,16350,16350
1457438462,16395,16395
1457460499,16476,16476
1457482411,16474,16474
1457504410,16479,16479
1457526271,16498,16498
1457548359,16547,16547
1457570437,16603,16603
1457592292,16643,16643
1457614362,16681,16681
1457636453,16774,16774
1457658556,16822,16822
1457680597,16849,16849
1457702438,16908,16908
1457724495,16984,16984
1457746343,14538,14538
1457768411,9356,9356
1457790272,7278,7278
1457812344,3608,3608
1457834429,3618,3618
1457856547,3618,3618
1457878574,3568,3568
1457900440,3414,3414
1457922332,3432,3432
1457944354,3431,3431
1457966429,4648,4648
1457988493,4676,4676
1458010351,4687,4687
1458032203,4698,4698
1458054262,4740,4740
1458076115,4867,4867
1458098176,5174,5174
1458120257,5185,5185
1458143104,5269,5269
1458165136,5305,5305
1458187266,5264,5264
1458209314,5256,5256
1458231398,5262,5262
1458253456,5296,5296
1458275308,5321,5321
1458297161,5351,5351
1458319041,5395,5395
1458341076,5339,5339
1458363156,5351,5351
1458385219,5347,5347
1458407085,5363,5363
1458428956,5389,5389
1458450984,5394,5394
1458473065,5408,5408
1458494934,5410,5410
1458516980,5421,5421
1458538825,5420,5420
1458560866,5397,5397
1458582749,5417,5417
1458604605,5351,5351
1458626457,5373,5373
1458648541,5374,5374
1458670617,5409,5409
1458692660,5122,5122
1458714513,5121,5121
1458736358,5036,5036
1458758202,5015,5015
1458780259,5512,5512
1458802106,5539,5539
1458824732,5169,5169
1458846766,4273,4273
1458868849,4256,4256
1458890991,4267,4267
1458913190,4204,4204
1458935590,4206,4206
1458957617,4223,4223
1458979477,4219,4219
1459001780,4202,4202
1459023873,4177,4177
1459045961,4196,4196
1459067805,4190,4190
1459089903,4214,4214
1459111916,4212,4212
1459133843,4200,4200
1459155896,4189,4189
1459177744,4205,4205
1459199677,4179,4179
1459221665,4186,4186
1459243534,4176,4176
1459265564,4199,4199
1459287422,4204,4204
1459309471,4222,4222
1459331603,4439,4439
1459353676,4435,4435
1459375955,3899,3899
1459397961,3894,3894
1459419863,3826,3826
1459441719,3734,3734
1459463792,3734,3734
1459485633,3785,3785
1459507730,3767,3767
1459529626,3721,3721
1459551879,3702,3702
1459573731,3694,3694
1459595797,3651,3651
1459617639,4852,4852
1459639711,4802,4802
1459661813,4833,4833
1459683908,4667,4667
1459706025,4463,4463
1459728019,4444,4444
1459749877,4445,4445
1459771957,4422,4422
1459794034,4404,4404
1459816128,4377,4377
1459838067,4366,4366
1459860039,4351,4351
1459881888,4336,4336
1459903954,4311,4311
1459925840,4297,4297
1459947890,4055,4055
1459969976,4048,4048
1459991827,4051,4051
1460013879,4068,4068
1460035729,4168,4168
1460057582,4263,4263
1460079702,4245,4245
1460101715,4225,4225
1460123784,4199,4199
1460145638,4212,4212
1460167734,4226,4226
1460189779,4226,4226
1460211867,4225,4225
1460233730,4231,4231
1460255803,4245,4245
1460277645,4183,4183
1460299719,4147,4147
1460321601,2974,2974
1460343626,3008,3008
1460365806,3015,3015
1460388058,3034,3034
1460410140,3056,3056
1460432208,3052,3052
1460454304,3026,3026
1460476359,3034,3034
1460498522,3055,3055
1460520511,3053,3053
1460542402,3060,3060
1460565020,3069,3069
1460586992,3058,3058
1460608853,3057,3057
1460630956,3011,3011
1460653006,2892,2892
1460675072,2908,2908
1460696954,2922,2922
1460718826,2850,2850
1460741392,2867,2867
1460763413,2893,2893
1460785267,2909,2909
1460807311,2914,2914
1460829170,2940,2940
1460851025,2935,2935
1460873055,2937,2937
1460894937,2919,2919
1460917022,3295,3295
1460939130,3283,3283
1460960974,3315,3315
1460983053,3311,3311
1461005100,3316,3316
1461026990,3308,3308
1461048979,3302,3302
1461070841,3295,3295
1461092957,3312,3312
1461114980,3317,3317
1461136938,3319,3319
1461161890,3355,3355
1461183855,3355,3355
1461205714,3369,3369
1461227829,3376,3376
1461249669,3496,3496
1461271715,3508,3508
1461293558,3502,3502
1461315622,3485,3485
1461337501,3487,3487
1461359558,3482,3482
1461381627,3492,3492
1461403693,3496,3496
1461425548,3505,3505
1461447419,3512,3512
1461469462,3525,3525
1461491305,3516,3516
1461513157,3520,3520
1461535330,3434,3434
1461557315,3440,3440
1461590187,3123,3123
1461612283,3140,3140
1461634402,3150,3150
1461656431,3169,3169
1461678509,3145,3145
1461700373,3140,3140
1461722434,3177,3177
1461744561,3167,3167
1461766580,3141,3141
1461788425,3141,3141
1461810520,3160,3160
1461832366,3154,3154
1461854441,3079,3079
1461876496,3091,3091
1461898382,3125,3125
1461920424,3074,3074
1461942537,3085,3085
1461964600,3100,3100
1461986660,3102,3102
1462008650,3106,3106
1462030581,3112,3112
1462052433,3108,3108
1462074516,3119,3119
1462096376,3117,3117
1462118465,3109,3109
1462140503,3121,3121
1462162355,3104,3104
1462184485,3073,3073
1462206502,3060,3060
1462228354,3074,3074
1462250216,3052,3052
1462272258,3034,3034
1462294102,3038,3038
1462315972,3035,3035
1462338069,3031,3031
1462360114,2986,2986
1462381955,2991,2991
1462404029,3005,3005
1462426194,2995,2995
1462448198,2960,2960
1462470265,2954,2954
1462492189,2950,2950
1462514201,2948,2948
1462536057,2930,2930
1462558123,2950,2950
1462579993,2948,2948
1462602010,2936,2936
1462623863,2951,2951
1462645722,2969,2969
1462667785,2997,2997
1462689630,2984,2984
1462711483,2986,2986
1462733543,2990,2990
1462755655,2993,2993
1462777706,3018,3018
1462799808,3013,3013
1462821865,3014,3014
1462843714,3026,3026
1462865802,3048,3048
1462887785,3028,3028
1462909728,3047,3047
1462931789,3029,3029
1462953871,3032,3032
1462975748,3054,3054
1462997816,3043,3043
1463019857,3043,3043
1463041722,3028,3028
1463063938,3071,3071
1463085877,3080,3080
1463107720,3084,3084
1463129789,3074,3074
1463151635,3093,3093
1463173479,3134,3134
1463195550,3135,3135
1463217440,3138,3138
1463239450,3135,3135
1463261300,3155,3155
1463283443,3306,3306
1463305460,3301,3301
1463327301,3305,3305
1463349278,3794,3794
1463371534,3802,3802
1463393628,3776,3776
1463415631,3795,3795
1463437702,3793,3793
1463459548,3813,3813
1463481628,3812,3812
1463503498,3840,3840
1463525534,3837,3837
1463547382,3828,3828
1463569252,3808,3808
1463591326,3807,3807
1463613388,3803,3803
1463635479,3827,3827
1463657580,3811,3811
1463679654,3801,3801
1463701710,3801,3801
1463723789,3808,3808
1463745644,3814,3814
1463767523,3832,3832
1463789552,3845,3845
1463811400,3847,3847
1463833292,3859,3859
1463855313,3880,3880
1463877155,3878,3878
1463899019,3887,3887
1463921089,3877,3877
1463943134,3914,3914
1463965013,3799,3799
1463987082,3796,3796
1464009137,3408,3408
1464030978,3426,3426
1464052824,3455,3455
1464074918,3450,3450
1464096985,3439,3439
1464118833,3474,3474
1464140673,3498,3498
1464162520,3531,3531
1464184583,3540,3540
1464206719,3581,3581
1464228768,3503,3503
1464250819,3431,3431
1464272974,3453,3453
1464295028,3466,3466
1464317059,3483,3483
1464338908,3483,3483
1464360756,3488,3488
1464382871,3513,3513
1464404905,3531,3531
1464426754,3519,3519
1464448852,3532,3532
1464470695,3554,3554
1464493042,3573,3573
1464515065,3559,3559
1464536913,3575,3575
1464558991,3577,3577
1464580853,3580,3580
1464602935,3551,3551
1464624997,3541,3541
1464646879,3545,3545
1464668908,3537,3537
1464690768,3535,3535
1464712826,3543,3543
1464734931,3557,3557
1464757004,3561,3561
1464779061,3568,3568
1464800916,3559,3559
1464823000,3556,3556
1464844848,3548,3548
1464866903,3550,3550
1464888786,3549,3549
1464910837,3550,3550
1464932900,3562,3562
1464954757,3539,3539
1464976604,3536,3536
1464998463,4258,4258
1465020505,4248,4248
1465042384,4229,4229
1465064231,4215,4215
1465086253,4230,4230
1465108370,4246,4246
1465130427,3795,3795
1465152511,3790,3790
1465174641,3767,3767
1465196649,3749,3749
1465218525,3718,3718
1465240595,3720,3720
1465262438,3733,3733
1465284530,3718,3718
1465306413,3689,3689
1465328430,3517,3517
1465350513,3515,3515
1465372374,3511,3511
1465394436,3515,3515
1465416494,3524,3524
1465438365,3520,3520
1465460423,3524,3524
1465482531,3513,3513
1465504586,3548,3548
1465526435,3540,3540
1465548495,4112,4112
1465570371,4119,4119
1465592443,3424,3424
1465614535,3420,3420
1465636591,3444,3444
1465658699,3448,3448
1465680792,3457,3457
1465702819,3454,3454
1465724674,3451,3451
1465746526,3467,3467
