DateTime,Entries,UniqueIPs
1464122414,1691,1695
1464130345,1692,1696
1464131796,1693,1697
1464133226,1692,1696
1464133951,1693,1697
1464139238,1695,1699
1464145707,1694,1698
1464150759,1693,1697
1464155048,1694,1698
1464163268,1693,1697
1464165460,1692,1696
1464167733,1691,1695
1464169158,1692,1696
1464169959,1692,1696
1464174497,1693,1697
1464175951,1694,1698
1464180972,1695,1699
1464183192,1694,1698
1464185270,1695,1699
1464188186,1694,1698
1464188912,1695,1699
1464189610,1696,1700
1464191783,1697,1701
1464193947,1696,1700
1464198932,1697,1701
1464200422,1697,1701
1464203310,1699,1703
1464204014,1698,1702
1464209310,1697,1701
1464211024,1696,1700
1464213857,1697,1701
1464217448,1696,1700
1464221064,1697,1701
1464222512,1698,1702
1464243148,1699,1703
1464243851,1700,1704
1464250360,1701,1705
1464251050,1702,1706
1464253949,1703,1707
1464259240,1705,1709
1464259935,1706,1710
1464260654,1708,1712
1464261350,1709,1713
1464263540,1710,1714
1464265703,1709,1713
1464274347,1710,1714
1464275780,1711,1715
1464276493,1712,1716
1464281549,1713,1717
1464286588,1712,1716
1464287309,1711,1715
1464288021,1710,1714
1464301721,1709,1713
1464308908,1708,1712
1464313215,1709,1713
1464318992,1710,1714
1464330511,1711,1715
1464331216,1710,1714
1464331940,1708,1712
1464333377,1710,1714
1464335561,1676,1680
1464341307,1677,1681
1464345614,1679,1683
1464346337,1680,1684
1464347781,1625,1627
1464348511,1624,1626
1464349976,1620,1622
1464352112,1618,1620
1464353545,1617,1619
1464354254,1616,1618
1464358590,1617,1619
1464360028,1618,1620
1464360739,1617,1619
1464361497,1620,1622
1464362899,1619,1621
1464363621,1618,1620
1464365052,1617,1619
1464365780,1616,1618
1464366502,1615,1617
1464367266,1614,1616
1464367946,1613,1615
1464370821,1612,1614
1464371543,1609,1611
1464372257,1608,1610
1464373019,1607,1609
1464373708,1608,1610
1464374414,1607,1609
1464375099,1606,1608
1464375853,1607,1609
1464377570,1605,1607
1464378249,1604,1606
1464379014,1606,1608
1464379693,1607,1609
1464380421,1608,1610
1464381143,1605,1607
1464382578,1604,1606
1464383307,1603,1605
1464384015,1603,1606
1464384800,1508,1511
1464387612,1507,1510
1464390546,1509,1512
1464407048,1507,1510
1464418572,1508,1511
1464421453,1507,1510
1464425068,1506,1509
1464426492,1507,1510
1464429406,1507,1511
1464439459,1506,1510
1464445468,1505,1509
1464447627,1504,1508
1464448370,1500,1504
1464451944,1499,1503
1464455548,1498,1502
1464461551,1499,1503
1464464419,1498,1502
1464466824,1499,1503
1464468251,1498,1502
1464469298,1497,1501
1464471377,1499,1503
1464477862,1500,1504
1464487454,1501,1505
1464488899,1500,1504
1464492509,1499,1503
1464494959,1500,1504
1464495612,1501,1505
1464503545,1502,1506
1464504323,1501,1505
1464510747,1496,1500
1464516031,1495,1499
1464517457,1492,1496
1464518919,1491,1495
1464521776,1490,1494
1464524649,1488,1492
1464525374,1489,1493
1464531850,1488,1492
1464534773,1487,1491
1464540525,1486,1490
1464547012,1490,1494
1464557553,1489,1493
1464560452,1488,1492
1464563304,1489,1493
1464571240,1488,1492
1464572650,1487,1491
1464574107,1485,1489
1464577733,1484,1488
1464582011,1483,1487
1464583473,1482,1486
1464585617,1481,1485
1464587054,1483,1487
1464587770,1484,1488
1464589727,1482,1486
1464591846,1484,1488
1464613699,1485,1489
1464619055,1488,1492
1464620422,1488,1492
1464621142,1487,1491
1464621848,1486,1490
1464624064,1487,1491
1464625458,1488,1492
1464626177,1489,1493
1464626907,1490,1494
1464628351,1489,1493
1464637218,1488,1492
1464637943,1487,1491
1464639406,1486,1490
1464641540,1488,1492
1464645867,1488,1492
1464648022,1492,1496
1464648739,1493,1497
1464649453,1494,1498
1464652334,1495,1499
1464653791,1494,1498
1464655226,1494,1498
1464663852,1494,1498
1464667452,1495,1499
1464672496,1496,1500
1464675373,1497,1501
1464678995,1498,1502
1464681140,1499,1503
1464683730,1500,1504
1464684510,1499,1503
1464689056,1501,1505
1464692904,1502,1506
1464697250,1503,1507
1464697954,1502,1506
