DateTime,AddedIPs,RemovedIPs
1464649453,1,1
1464652334,1,0
1464653053,0,1
1464653791,1,0
1464654498,1,1
1464655226,2,0
1464656685,1,0
1464658817,0,43
1464659556,1,0
1464660980,1,0
1464663852,1,0
1464667452,1,0
1464668898,1,0
1464671063,0,1
1464672496,1,0
1464673224,0,1
1464675373,1,0
1464678995,1,0
1464681140,1,0
1464682339,8,0
1464683730,1,0
1464685272,0,1
1464687642,0,1
1464689056,2,0
1464690026,1,0
1464692904,1,0
1464696505,1,0
1464697250,1,0
1464698650,1,0
1464699372,2,0
1464702251,2,0
1464703974,1,0
1464704655,1,0
1464707544,0,1
1464708263,2,0
1464713305,0,1
1464714039,1,0
1464716911,0,1
1464718340,1,0
1464719049,0,1
1464721230,1,0
1464722658,0,2
1464726272,1,1
1464729162,1,0
1464732068,1,0
1464733021,2,0
1464734420,1,0
1464735880,0,2
1464737298,1,0
1464738767,0,1
1464742339,2,0
1464743792,0,1
1464747435,2,0
1464749540,0,2
1464753849,0,1
1464758921,3,0
1464760341,2,0
1464761051,1,0
1464764666,1,0
1464767583,1,0
1464768985,1,0
1464774742,1,0
1464775494,1,1
1464776184,1,0
1464777619,0,1
1464779789,1,0
1464780504,1,1
1464781539,1,0
1464784594,1,38
1464785320,0,20
1464786096,1,0
1464788423,2,0
1464789170,1,0
1464790162,3,0
1464792997,1,0
1464795850,1,0
1464799458,0,1
1464802387,1,2
1464804529,0,1
1464805226,1,0
1464806653,1,0
1464807376,0,1
1464810979,1,0
1464811727,1,0
1464815301,1,0
1464820457,1,0
1464822741,0,1
1464823472,1,0
1464825665,0,1
1464827056,1,0
1464827700,0,1
1464833559,1,0
1464836428,1,0
1464837850,1,0
1464839327,0,1
1464840028,1,0
1464841026,2,0
1464841695,0,3
1464842421,1,0
1464843858,2,0
1464844574,1,0
1464846015,1,0
1464848932,0,1
1464849616,1,0
1464853942,2,0
1464854969,0,1
1464856356,1,0
1464857049,1,0
1464858519,1,0
1464861395,0,1
1464862809,1,0
1464863548,1,6
1464864260,1,15
1464867153,0,1
1464870046,2,0
1464872900,1,0
1464874347,3,0
1464875049,1,0
1464876496,0,1
1464877239,2,0
1464878719,3,0
1464879379,15,1
1464882250,2,0
1464883705,0,1
1464884428,1,0
1464885853,1,0
1464887315,0,19
1464888008,1,0
1464888770,1,0
1464889699,2,0
1464891151,0,1
1464895019,1,0
1464895693,1,0
1464897869,1,0
1464900019,1,0
1464900772,1,0
1464903628,0,1
1464905121,1,0
1464905782,0,1
1464907494,2,0
1464909610,0,1
1464910357,1,0
1464913937,0,1
1464915149,2,0
1464918020,1,1
1464922833,1,0
1464924252,1,0
1464924981,0,1
1464925704,2,0
1464926487,1,0
1464927147,0,1
1464927855,0,19
1464928593,1,0
1464931000,2,0
1464932427,2,0
1464934577,2,0
1464937451,1,0
1464938196,1,0
1464942497,1,0
1464945397,0,1
1464948255,1,0
1464949946,3,1
1464950653,2,0
1464951410,1,0
1464952818,1,0
1464953552,1,0
1464954974,3,0
1464958098,1,0
1464963481,0,1
1464964131,0,1
1464964820,2,0
1464965542,0,4
1464967001,2,0
1464967699,1,1
1464978065,0,1
1464980170,0,2
1464983929,0,2
1464984739,0,1
1464988353,0,1
1464990502,2,0
1464994851,0,1
1464995567,1,0
1464996974,0,1
1464998433,1,0
1464999869,0,1
1465003947,0,4
1465004663,0,21
1465009694,1,0
1465014739,1,0
1465016183,2,0
1465018349,1,0
1465019049,1,0
1465019779,1,0
1465022679,0,1
1465024104,1,0
1465024814,1,0
1465025550,1,0
1465027953,1,0
1465028657,2,0
1465039691,1,0
1465040452,1,0
1465041150,1,0
1465043302,0,1
1465047373,8,0
1465048107,1,0
1465052303,0,1
1465053149,1,0
1465053851,0,1
1465055306,1,0
1465057453,1,0
1465058171,0,2
1465060362,2,1
1465061806,3,0
1465062526,2,0
1465068251,1,0
1465069697,1,0
1465074256,1,0
1465075706,4,0
1465077166,1,0
1465080737,1,0
1465082188,0,1
1465082907,2,0
1465083628,1,0
1465085055,2,0
1465086507,1,0
1465087943,1,0
1465088950,1,0
1465089632,1,1
1465091051,1,0
1465091774,1,0
1465097798,0,1
1465099254,0,1
1465103547,1,0
1465105699,2,0
1465107150,3,0
1465110758,0,1
1465117455,0,1
1465118187,2,0
1465122492,0,1
1465124652,1,1
1465127541,3,0
1465130000,1,0
1465136412,1,0
1465137139,2,0
1465137894,1,0
1465138588,1,0
1465139307,2,0
1465140014,2,0
1465146495,1,0
1465147221,1,0
1465151542,1,0
1465152253,0,1
1465153694,0,1
1465157304,1,0
1465160948,1,0
1465167655,4,0
1465169055,1,0
1465174107,1,0
1465176979,1,0
1465178176,2,2
1465179622,0,2
1465181779,0,1
1465189704,0,1
1465191887,0,1
1465192579,1,0
1465195212,0,48
1465203154,1,0
1465204178,1,0
1465205552,1,0
1465206251,1,0
1465207020,1,0
1465209151,1,0
1465209850,2,0
1465212768,0,1
1465213466,1,0
1465217050,1,0
1465219228,2,0
1465219949,1,0
1465221376,1,0
1465222106,1,0
1465222807,0,1
1465223547,2,0
1465224283,1,0
1465225003,1,1
1465225699,0,1
1465228569,1,1
1465229329,1,0
1465230042,1,0
1465232691,1,0
1465233381,4,0
1465238902,0,1
1465242511,1,0
1465244655,2,0
1465246114,0,1
1465250481,0,1
1465252585,0,1
1465254031,0,1
1465256416,0,1
