DateTime,Entries,UniqueIPs
1465379776,12099,12147
1465380501,12099,12147
1465381216,12106,12155
1465381978,12108,12157
1465382659,12104,12153
1465383379,12108,12157
1465384104,12108,12157
1465384810,12108,12157
1465385549,12104,12153
1465386247,12111,12160
1465386985,12110,12159
1465387751,12105,12154
1465388471,12102,12151
1465389148,12109,12158
1465389859,12106,12155
1465390580,12110,12159
1465391306,12108,12157
1465392018,12110,12159
1465392750,12113,12162
1465393494,12115,12164
1465394184,12111,12160
1465394900,12118,12167
1465395873,12107,12156
1465396583,12105,12154
1465397380,12109,12158
1465398070,12111,12160
1465398760,12112,12161
1465399389,12113,12162
1465400179,12109,12158
1465400899,12108,12157
1465401890,12115,12164
1465402576,12115,12164
1465403333,12115,12164
1465404025,12111,12160
1465404738,12114,12163
1465405449,12105,12154
1465406205,12100,12149
1465406895,12094,12143
1465407629,12094,12143
1465408339,12088,12137
1465409104,12084,12133
1465409785,12086,12135
1465410507,12090,12139
1465411219,12094,12143
1465411943,12094,12143
1465412652,12098,12147
1465413391,12089,12138
1465414096,12088,12137
1465414873,12092,12141
1465415547,12090,12139
1465416253,12087,12136
1465416977,12086,12135
1465417709,12075,12124
1465418422,12071,12120
1465419148,12074,12123
1465419855,12067,12116
1465420645,12062,12111
1465421295,12065,12114
1465422024,12060,12109
1465422736,12054,12103
1465423456,12046,12095
1465424185,12046,12095
1465424916,12048,12097
1465425623,12034,12083
1465426384,12028,12077
1465427051,12026,12075
1465427784,12029,12078
1465428641,12023,12072
1465429454,12019,12068
1465430182,12016,12065
1465430929,12012,12061
1465431612,12007,12056
1465432492,12006,12055
1465433516,12006,12055
1465434253,12003,12052
1465434990,12001,12050
1465435704,11997,12046
1465436455,11998,12047
1465437149,11999,12048
1465437855,12000,12049
1465438590,12003,12052
1465439321,12004,12053
1465440035,12004,12052
1465440738,12002,12050
1465441456,11997,12045
1465442213,11997,12045
1465442912,11994,12042
1465443624,11990,12038
1465444385,11991,12039
1465445070,11981,12029
1465445785,11986,12034
1465446495,11993,12041
1465447224,11987,12035
1465447972,11987,12035
1465448652,11987,12035
1465449405,11974,12022
1465450105,11980,12028
1465450817,11979,12027
1465451542,11982,12030
1465452260,11974,12022
1465452999,11974,12022
1465453733,11981,12029
1465454426,11976,12024
1465455154,11980,12028
1465455857,11984,12032
1465456587,11980,12028
1465457296,11991,12040
1465458026,11989,12038
1465458756,11992,12041
1465459485,11999,12048
1465460176,11996,12045
1465460953,11993,12042
1465461639,11988,12037
1465462348,11989,12038
1465463052,11987,12036
1465463795,11985,12034
1465464506,11982,12031
1465465247,11981,12030
1465465937,11979,12028
1465466659,11982,12031
1465467402,11979,12028
1465468112,11982,12031
1465468812,11978,12027
1465469609,11969,12018
1465470277,11970,12019
1465471016,11970,12019
1465471706,11967,12016
1465472418,11963,12012
1465473151,11964,12013
1465473853,11967,12016
1465474606,11962,12011
1465475294,11966,12015
1465476026,11976,12025
1465476782,11978,12027
1465477457,11976,12025
1465478191,11978,12027
1465478947,11976,12025
1465479614,11982,12031
1465480340,11985,12034
1465481053,11981,12030
1465481799,11972,12021
1465482526,11966,12015
1465483241,11969,12018
1465483946,11966,12015
1465484926,11955,12004
1465485612,11961,12010
1465486523,11959,12008
1465487303,11961,12010
1465488040,11966,12015
1465488845,11962,12011
1465489479,11963,12012
1465490180,11969,12018
1465490900,11964,12013
1465491643,11964,12013
1465492369,11968,12017
1465493072,11966,12015
1465493783,11964,12013
1465494512,11966,12015
1465495232,11966,12015
1465496031,11971,12020
1465496671,11967,12016
1465497389,11975,12024
1465498410,11980,12029
1465499052,11982,12031
1465499791,11990,12039
1465500506,11985,12034
1465501223,11994,12043
1465501945,11986,12035
1465502661,11997,12046
1465503375,11986,12035
1465504144,11967,12016
1465504817,11975,12025
1465505544,11975,12025
1465506149,11968,12018
1465506999,11964,12014
1465507781,11948,12000
1465508425,11953,12005
1465509138,11956,12008
1465509863,11956,12008
1465510612,11947,11999
1465511299,11949,12001
1465512035,11942,11994
1465512736,11940,11992
1465513467,11947,11999
1465514182,11936,11988
1465514904,11941,11993
1465515624,11938,11990
1465516358,11928,11980
1465517054,11934,11986
1465517813,11928,11980
1465518498,11940,11992
1465519233,11926,11978
1465519940,11933,11985
1465520653,11926,11978
1465521383,11929,11981
1465522117,11921,11973
1465522820,11930,11982
1465523568,11916,11968
1465524253,11923,11975
1465524998,11925,11977
1465525699,11926,11978
1465526422,11923,11975
1465527140,11924,11976
1465527878,11923,11975
1465528582,11916,11968
1465529336,11917,11969
1465530015,11914,11966
1465530746,11920,11972
1465531486,11923,11975
1465532184,11920,11972
1465532911,11924,11976
1465533630,11929,11981
1465534343,11930,11982
1465535357,11927,11979
1465536040,11924,11976
1465536758,11926,11978
1465537449,11927,11979
1465538175,11920,11972
1465538899,11917,11969
1465539637,11914,11966
1465540350,11915,11967
1465541054,11915,11967
1465541803,11915,11967
1465542500,11913,11965
1465543216,11910,11962
1465543952,11910,11962
1465544650,11914,11966
1465545399,11921,11973
1465546106,11920,11972
1465546814,11913,11965
1465547585,11915,11967
1465548262,11919,11971
1465548971,11920,11972
1465549754,11919,11971
1465550447,11920,11972
1465551180,11917,11969
1465551854,11917,11969
1465552582,11910,11962
1465553295,11904,11956
1465554024,11910,11962
1465554757,11912,11964
1465555454,11920,11972
1465556201,11922,11974
1465556913,11924,11976
1465557626,11920,11972
1465558351,11922,11974
1465559048,11924,11976
1465559781,11917,11969
1465560499,11921,11972
1465561228,11925,11976
1465561977,11914,11965
1465562667,11917,11968
1465563372,11916,11967
1465564101,11919,11970
1465564817,11916,11967
1465565566,11911,11962
1465566250,11917,11968
1465566977,11917,11968
1465567739,11913,11964
1465568441,11917,11968
1465569156,11912,11963
1465569854,11912,11963
1465570573,11909,11960
1465571304,11911,11962
1465572016,11907,11958
1465572750,11899,11950
1465573450,11899,11950
1465574200,11903,11954
1465574901,11906,11957
1465575650,11902,11953
1465576341,11903,11954
1465577057,11904,11955
1465577777,11907,11958
1465578503,11911,11962
1465579216,11919,11970
1465579982,11922,11973
1465580657,11915,11966
1465581405,11915,11966
1465582098,11904,11956
1465582826,11918,11970
1465583548,11911,11963
1465584256,11915,11967
1465584974,11902,11954
1465585720,11901,11953
1465586417,11911,11963
1465587177,11916,11968
1465587851,11910,11962
1465588579,11911,11963
1465589301,11907,11959
1465590012,11899,11951
1465590741,11892,11944
1465591477,11888,11940
1465592183,11885,11937
1465592938,11874,11926
1465593615,11873,11925
1465594397,11866,11918
1465595050,11860,11912
1465595775,11857,11909
1465596495,11854,11906
1465597234,11852,11904
1465598046,11848,11900
1465598686,11845,11897
1465599373,11847,11899
1465600100,11846,11898
1465600812,11842,11894
1465601549,11838,11890
1465602251,11839,11891
1465603003,11835,11887
1465603704,11838,11890
1465604449,11840,11892
1465605149,11838,11890
