DateTime,AddedIPs,RemovedIPs
1465286167,2,4
1465287015,8,7
1465288086,5,3
1465288925,4,11
1465289766,7,3
1465290607,8,12
1465291687,7,9
1465292528,6,13
1465294446,10,7
1465295286,7,1
1465296127,4,16
1465296966,8,5
1465297806,2,10
1465298887,9,5
1465299727,5,18
1465300566,6,2
1465301415,4,3
1465302485,2,6
1465303326,7,9
1465304166,11,1
1465305247,6,9
1465306087,8,6
1465306925,8,10
1465308847,16,12
1465309687,3,3
1465310526,6,8
1465311366,4,3
1465312211,5,9
1465313321,9,8
1465314126,11,8
1465314965,9,3
1465315815,8,4
1465316887,3,5
1465317876,6,9
1465318567,9,3
1465319406,4,9
1465320487,12,8
1465321325,11,8
1465322165,6,5
1465322979,35,9
1465324086,172,5
1465324928,13,6
1465325767,7,6
1465326608,9,12
1465327688,15,5
1465328526,6,9
1465329367,5,7
1465330214,3,4
1465331286,6,9
1465332125,7,5
1465333215,7,7
1465334046,4,3
1465334885,8,0
1465335726,4,14
1465336566,5,5
1465337415,10,6
1465338486,8,5
1465339326,2,3
1465340328,5,4
1465341247,5,2
1465342087,5,3
1465342926,3,11
1465343904,10,5
1465344846,4,8
1465345685,2,9
1465346528,5,10
1465347656,12,7
1465348445,4,3
1465349286,1,5
1465350126,8,6
1465352045,13,7
1465352887,9,5
1465353725,5,11
1465354566,3,2
1465355408,4,11
1465356486,6,8
1465357326,4,8
1465358166,2,3
1465359015,5,5
1465360085,6,2
1465360928,3,9
1465361766,10,0
1465362606,4,17
1465363686,8,9
1465364526,7,15
1465365366,1,3
1465366215,3,7
1465367286,10,5
1465368126,9,15
1465368965,3,4
1465369806,7,6
1465370046,3,1
1465371007,4,7
1465371726,6,7
1465372567,9,5
1465373392,5,7
1465374486,8,6
1465375328,5,9
1465376166,3,3
1465377008,8,3
1465378087,8,4
1465378926,6,9
1465379766,10,6
1465380615,5,6
1465381687,1,5
1465382527,7,17
1465383614,10,8
1465384445,6,4
1465385408,9,15
1465386127,5,7
1465386967,10,4
1465387815,6,7
1465388886,7,0
1465389725,5,7
1465390566,3,1
1465391406,11,8
1465392496,5,5
1465393326,7,23
1465394167,7,4
1465395246,9,8
1465396086,7,5
1465396926,7,7
1465397791,4,6
1465398607,7,7
1465398847,3,2
1465399807,8,10
1465400526,5,8
1465401367,9,3
1465402215,8,8
1465403288,11,6
1465404126,7,10
1465405215,11,3
1465406046,7,6
1465406886,8,6
1465407729,3,16
1465408566,3,6
1465409415,9,3
1465410488,6,3
1465411327,4,10
1465412166,9,4
1465413007,7,8
1465414086,7,7
1465414929,7,9
1465415767,5,2
1465416615,4,13
1465417686,4,9
1465418527,10,7
1465419366,8,10
1465420206,14,3
1465420446,3,0
1465421406,7,12
1465422126,4,3
1465422965,5,6
1465423816,5,12
1465424886,10,7
1465425727,6,12
1465426567,3,7
1465427406,10,9
1465428486,6,6
1465429327,3,6
1465430166,6,3
1465431246,19,9
1465432086,10,2
1465432926,6,14
1465434849,13,12
1465435686,13,4
1465436525,6,10
1465437366,7,1
1465438215,2,14
1465439285,11,3
1465440126,6,13
1465440966,7,11
1465441806,6,19
1465442046,4,2
1465443007,8,8
1465443726,4,4
1465444565,9,6
1465445415,9,9
1465446486,11,8
1465447328,9,10
1465448166,5,11
1465449005,8,3
1465450086,6,6
1465450926,6,11
1465451766,6,7
1465452616,6,6
1465453688,14,7
1465454527,15,15
1465455366,10,5
1465456204,11,10
1465457286,8,4
1465458126,6,10
1465458967,4,5
1465459816,5,10
1465460887,8,4
1465461726,7,14
1465462566,6,8
1465463407,14,7
1465464486,8,7
1465465326,13,8
1465466165,15,4
1465467015,5,10
1465468088,9,4
1465469037,10,19
1465469766,7,4
1465470608,9,8
