DateTime,AddedIPs,RemovedIPs
1464792126,0,1
1464794886,1,0
1464795726,1,1
1464796566,3,0
1464797469,3,0
1464798486,0,1
1464799326,1,0
1464800166,1,0
1464802086,1,0
1464802929,0,1
1464804845,2,0
1464808206,3,0
1464809287,1,1
1464810130,0,2
1464811219,0,1
1464814566,1,0
1464815406,0,2
1464817328,0,1
1464818165,1,0
1464819015,1,1
1464820931,1,0
1464822846,1,0
1464824527,2,0
1464828128,1,0
1464828966,1,0
1464829805,0,1
1464833416,1,0
1464837006,0,1
1464839768,1,0
1464842527,0,1
1464846127,0,1
1464849726,0,1
1464853328,2,0
1464855247,3,0
1464856085,1,0
1464856926,0,2
1464858019,0,1
1464858845,2,0
1464859686,2,0
1464861366,1,0
1464862215,1,0
1464866046,0,1
1464867728,0,1
1464870485,1,0
1464871327,1,1
1464872414,0,1
1464873245,1,0
1464874207,2,1
1464879367,1,0
1464880446,1,0
1464882127,1,1
1464883816,0,6
1464884887,2,0
1464885728,0,2
1464888486,1,0
1464889333,1,3
1464891247,1,0
1464892927,1,0
1464893766,1,0
1464900127,0,3
1464902046,2,0
1464905415,1,2
1464907329,1,1
1464909006,1,2
1464910086,1,0
1464910930,0,3
1464912615,0,1
1464915366,0,1
1464918128,0,2
1464918967,1,0
1464920046,0,1
1464922566,45,0
1464924606,0,1
1464925330,0,1
1464930847,1,0
1464937806,0,1
1464942486,1,0
1464944166,1,0
1464946086,1,0
1464946927,0,1
1464948616,0,1
1464950529,1,0
1464953286,1,0
1464954135,0,7
1464954966,2,0
1464956047,1,2
1464957737,1,0
1464959406,2,0
1464963016,1,0
1464964203,1,1
1464966607,1,3
1464968526,1,1
1464970216,1,2
1464971287,1,1
1464974046,0,1
1464975729,0,1
1464976567,1,0
1464977415,0,1
1464979333,0,2
1464980167,2,0
1464984846,1,2
1464985686,1,1
1464986529,0,2
1464988206,0,1
1464989407,0,1
1464990967,1,0
1464992886,1,0
1464993727,1,1
1464995407,0,1
1464998166,2,0
1464999015,0,1
1465000934,0,1
1465002022,0,1
1465002846,1,0
1465003686,1,0
1465004535,0,1
1465006216,2,0
1465010886,1,0
1465011737,11,1
1465012567,0,3
1465013415,0,2
1465014485,1,2
1465015333,1,1
1465016166,1,0
1465019766,1,0
1465020616,0,1
1465021686,1,0
1465022527,0,1
1465026132,0,1
1465029740,0,3
1465031646,0,1
1465034166,3,0
1465035015,1,0
1465036928,1,0
1465039687,1,0
1465040528,0,1
1465042446,3,1
1465044127,0,2
1465046886,1,0
1465047728,1,1
1465049415,0,1
1465051326,1,1
1465053006,0,1
1465054088,1,0
1465054934,0,2
1465057686,1,0
1465058537,0,1
1465060447,0,1
1465064047,3,1
1465067647,1,0
1465071015,1,1
1465072941,0,1
1465075687,1,0
1465076531,0,1
1465078215,1,2
1465080142,0,2
1465083737,1,0
1465085416,0,1
1465086490,1,0
1465087334,0,1
1465088357,0,1
1465090086,1,0
1465091766,2,0
1465092573,1,49
1465093685,1,0
1465094526,0,1
1465095367,1,0
1465097287,1,0
1465099815,1,0
1465106423,1,0
1465107247,1,0
1465108936,0,1
1465110032,1,0
1465111687,1,0
1465112532,0,1
1465116129,0,1
1465118886,0,1
1465119727,0,1
1465122486,1,0
1465123338,0,1
1465124167,1,0
1465125008,0,1
1465126941,0,3
1465128847,0,2
1465130534,0,1
1465134130,0,1
1465137735,0,1
1465139405,0,1
1465141326,1,2
1465144207,1,0
1465146606,0,2
1465150216,0,2
1465154047,1,0
1465156567,1,0
1465157415,1,0
1465158488,1,0
1465161247,0,1
1465162937,0,1
1465165686,1,0
1465168206,0,1
1465171816,0,1
1465174566,2,0
1465177327,0,2
1465180086,40,0
1465180926,1,0
1465182607,0,2
1465184528,0,1
1465185367,2,0
1465186216,0,1
1465189808,0,1
1465191726,1,0
1465195327,1,0
1465197008,1,0
1465198086,0,1
1465198928,0,1
1465199767,1,0
1465200616,1,0
1465202528,0,1
1465203615,0,1
1465206127,0,1
1465209727,1,0
1465210819,0,1
1465211646,1,0
1465213326,0,3
1465214166,2,0
1465216928,1,0
1465218606,1,0
1465219687,2,0
1465221366,2,0
1465224167,1,0
1465226888,1,0
1465227727,1,0
1465228815,1,0
1465231327,2,1
1465233247,0,3
1465234207,0,1
1465235767,1,0
1465236616,2,1
1465239366,1,0
1465240206,1,0
1465242126,0,2
1465245727,0,1
1465247406,0,1
1465251015,2,0
1465252926,0,2
