DateTime,Entries,UniqueIPs
1465296123,1506,1506
1465296963,1513,1513
1465297803,1508,1508
1465298883,1513,1513
1465299723,1506,1506
1465300563,1518,1518
1465301412,1514,1514
1465302483,1523,1523
1465303323,1512,1512
1465304163,1519,1519
1465305243,1510,1510
1465306083,1516,1516
1465306923,1508,1508
1465308843,1508,1508
1465309683,1515,1515
1465310523,1518,1518
1465311363,1524,1524
1465312208,1528,1528
1465313318,1537,1537
1465314123,1529,1529
1465314963,1532,1532
1465315812,1527,1527
1465316883,1536,1536
1465317723,1528,1528
1465318564,1533,1533
1465319403,1530,1530
1465320484,1541,1541
1465321323,1540,1540
1465322163,1554,1554
1465322976,1555,1555
1465324083,1565,1565
1465324925,1551,1551
1465325763,1556,1556
1465326604,1557,1557
1465327683,1567,1567
1465328523,1566,1566
1465329364,1571,1571
1465330212,1572,1572
1465331283,1576,1576
1465332123,1568,1568
1465333211,1569,1569
1465334042,1577,1577
1465334883,1586,1586
1465335723,1583,1583
1465336563,1593,1593
1465337413,1591,1591
1465338483,1600,1600
1465339324,1594,1594
1465340325,1603,1603
1465341243,1604,1604
1465342083,1612,1612
1465342922,1610,1610
1465343901,1607,1607
1465344843,1639,1639
1465345683,1646,1646
1465346525,1646,1646
1465347654,1650,1650
1465348443,1656,1656
1465349283,1665,1665
1465350123,1662,1662
1465352043,1677,1677
1465352883,1683,1683
1465353723,1685,1685
1465354563,1692,1692
1465355404,1694,1694
1465356483,1703,1703
1465357323,1702,1702
1465358163,1710,1710
1465359012,1713,1713
1465360083,1720,1720
1465360924,1717,1717
1465361763,1724,1724
1465362603,1721,1721
1465363683,1730,1730
1465364523,1721,1721
1465365363,1725,1725
1465366212,1727,1727
1465367283,1734,1734
1465368123,1731,1731
1465368963,1735,1735
1465369803,1740,1740
1465370043,1743,1743
1465371003,1749,1749
1465371723,1751,1751
1465372563,1757,1757
1465373389,1762,1762
1465374483,1766,1766
1465375323,1761,1761
1465376163,1766,1766
1465377004,1766,1766
1465378083,1771,1771
1465378923,1760,1760
1465379763,1766,1766
1465380612,1759,1759
1465381683,1772,1772
1465382523,1768,1768
1465383611,1774,1774
1465384443,1782,1782
1465385403,1778,1778
1465386123,1781,1781
1465386963,1788,1788
1465387812,1787,1787
1465388883,1790,1790
1465389723,1783,1783
1465390563,1790,1790
1465391403,1792,1792
1465392489,1801,1801
1465393323,1789,1789
1465394164,1795,1795
1465395243,1804,1804
1465396083,1809,1809
1465396923,1809,1809
1465397788,1813,1813
1465398604,1807,1807
1465398843,1809,1809
1465399803,1812,1812
1465400523,1814,1814
1465401364,1820,1820
1465402212,1813,1813
1465403283,1826,1826
1465404123,1813,1813
1465405211,1809,1809
1465406043,1815,1815
1465406883,1824,1824
1465407724,1800,1800
1465408563,1803,1803
1465409413,1787,1787
1465410482,1797,1797
1465411323,1789,1789
1465412163,1798,1798
1465413004,1795,1795
1465414083,1800,1800
1465414924,1794,1794
1465415764,1801,1801
1465416613,1798,1798
1465417683,1810,1810
1465418523,1782,1782
1465419363,1787,1787
1465420203,1780,1780
1465420443,1781,1781
1465421403,1774,1774
1465422123,1778,1778
