DateTime,AddedIPs,RemovedIPs
1462608847,2,0
1462610527,2,0
1462611368,1,0
1462612207,0,3
1462613400,0,1
1462615816,0,1
1462617727,1,2
1462619407,1,0
1462620487,3,0
1462624927,0,1
1462626846,0,1
1462645686,1,0
1462662606,1,0
1462666216,0,1
1462668127,0,1
1462669808,0,1
1462671007,0,1
1462673416,0,1
1462675327,0,1
1462678927,0,1
1462679768,1,0
1462688046,0,1
1462689727,1,1
1462695016,0,1
1462697767,2,0
1462699687,1,0
1462709646,0,3
1462714088,1,0
1462714927,1,0
1462732933,1,0
1462735686,1,0
1462736528,1,0
1462744815,1,2
1462745646,1,1
1462746487,1,1
1462747326,1,1
1462748167,1,1
1462749007,1,1
1462750086,1,1
1462750926,1,1
1462752616,1,2
1462755366,1,1
1462756207,1,1
1462757286,1,1
1462760046,1,0
1462761727,1,1
1462763406,2,1
1462765328,1,1
1462767016,1,2
1462771687,1,1
1462777221,0,1
1462786927,1,0
1462790529,0,1
1462792206,0,2
1462801327,2,0
1462805767,1,1
1462809368,1,1
1462811287,2,0
1462813807,0,1
1462815728,0,1
1462824616,1,1
1462830966,1,0
1462831775,1,1
1462837326,1,0
1462838418,0,1
1462840927,0,1
1462842307,0,1
1462844527,0,1
1462846446,0,1
1462858928,1,0
1462860020,0,1
1462865407,1,1
1462875017,1,0
1462876088,1,0
1462876929,0,1
1462881368,1,0
1462889647,0,1
1462892166,2,1
1462897687,3,0
1462901287,2,0
1462907657,1,0
1462914598,0,5
1462915686,1,0
1462920126,0,1
1462922886,1,0
1462925648,0,1
1462956085,1,0
1462956967,1,0
1462957807,2,0
1462966929,0,1
1462974968,1,0
1462976887,1,0
1462981329,0,1
1462996567,1,0
1462997649,1,0
1462999328,0,1
1463001247,1,0
1463008207,0,1
1463015408,1,0
1463019247,1,1
1463026447,1,0
1463036166,1,0
1463038927,1,0
1463040617,0,1
1463041688,1,0
1463046127,0,1
1463046967,1,0
1463056927,0,1
1463067730,0,1
1463069647,2,0
1463074814,1,0
1463078532,0,1
1463080208,0,2
1463085732,1,0
1463087408,0,1
1463117288,1,0
1463118130,0,1
1463121740,1,0
1463122572,1,0
1463124488,1,0
1463127247,1,2
1463136131,0,1
1463142489,1,0
1463147767,1,0
1463148617,1,0
1463157730,1,0
1463166607,0,1
1463167808,0,1
1463168707,3,0
1463172967,1,0
1463184848,0,1
1463186534,9,0
1463187367,5,0
1463191816,0,1
1463199248,1,0
1463200089,1,0
1463201768,1,0
1463202607,1,1
1463203688,2,0
1463206216,1,0
1463209223,0,1
1463211735,0,1
1463218939,0,1
1463222529,1,0
1463227816,0,1
1463240537,1,0
1463241366,1,0
1463251332,0,1
1463253246,2,0
1463261408,0,1
1463267407,1,0
1463278216,1,0
1463285667,1,0
1463296206,0,1
1463297409,0,1
1463300886,1,0
1463302567,1,0
1463304488,1,0
1463307016,0,1
1463316132,0,1
1463319734,0,1
1463325006,1,0
1463335816,2,0
1463345768,0,1
1463350216,1,1
1463352129,0,1
1463352967,1,1
1463353807,1,1
1463355009,1,1
