DateTime,Entries,UniqueIPs
1457658021,272,272
1457679915,521,524
1457701937,767,770
1457723796,255,255
1457723796,942,946
1457745680,415,416
1457767721,525,526
1457789797,597,598
1457811904,692,694
1457833964,824,826
1457856035,989,995
1457878100,1056,1062
1457899980,1144,1150
1457922027,1312,1320
1457944106,1410,1420
1457965987,1530,1541
1457988024,1682,1696
1458009902,1803,1820
1458031938,1876,1895
1458053782,1962,1982
1458075628,2028,2048
1458097480,2085,2106
1458119321,2118,2139
1458141421,2173,2195
1458163465,6117,6247
1458185327,7761,7951
1458207393,8721,8940
1458229466,8751,8970
1458251317,8876,9102
1458273375,9946,10217
1458295251,9967,10239
1458317313,10053,10326
1458339187,10090,10365
1458361219,10305,10585
1458383062,10457,10741
1458404920,10504,10788
1458426765,10518,10804
1458448610,10555,10845
1458470660,10581,10875
1458492772,10631,10927
1458514828,10832,11135
1458536674,10875,11181
1458558531,11059,11370
1458580614,11782,12121
1458602466,11850,12189
1458624504,12067,12411
1458668425,12068,12412
1458756283,12090,12434
1458778126,13716,14113
1458800178,14696,15129
1458822033,14870,15307
1458843908,15056,15501
1458865974,15145,15592
1458888024,15458,15916
1458910125,15691,16164
1458931971,16332,16835
1458954050,16644,17159
1458976130,16798,17319
1458997983,17002,17532
1459020215,17077,17612
1459042098,17282,17823
1459063975,17488,18037
1459086060,17560,18113
1459108137,17816,18383
1459130010,18065,18647
1459152075,18228,18824
1459174126,18557,19180
1459196706,18629,19261
1459218777,18852,19487
1459240837,18882,19519
1459262706,18937,19577
1459284684,18960,19602
1459306595,19253,19909
1459328736,19336,19999
1459350594,19604,20278
1459372827,19785,20469
1459394853,20506,21218
1459416811,20548,21262
1459438839,21891,22706
1459461091,22164,23003
1459482985,22486,23340
1459504872,23056,23971
1459526908,23115,24032
1459549058,23131,24048
1459570909,23212,24134
1459592921,23311,24245
1459614775,23984,24951
1459636874,24049,25017
1459658956,24121,25093
1459681005,24160,25133
1459703095,24183,25157
1459724938,24242,25221
1459747085,24276,25256
1459769062,24335,25324
1459790929,24652,25658
1459812786,24755,25768
1459834876,24865,25882
1459856921,24896,25913
1459878773,25067,26090
1459900833,25140,26163
1459922972,25184,26208
1459945062,25236,26263
1459967088,26967,28136
1459988959,28723,30014
1460011249,28882,30177
1460033302,29352,30665
1460055392,29722,31049
1460077274,30031,31370
1460099323,30116,31460
1460121191,30467,31839
1460143229,30781,32173
1460165100,30891,32291
1460187172,30967,32374
1460209227,31091,32506
1460231093,31112,32529
1460252958,31150,32573
1460274998,31269,32698
1460296853,31316,32747
1460318704,31323,32754
1460340552,31242,32669
1460362416,31217,32644
1460384773,31235,32664
1460406791,31225,32653
1460429079,31237,32666
1460450931,31187,32614
1460472991,31200,32627
1460494847,31267,32697
1460516929,31473,32926
1460538799,31694,33172
1460560891,31997,33497
1460582918,32101,33616
1460604780,32195,33716
1460626622,32309,33845
1460648674,32732,34323
1460670531,33140,34774
1460692618,33341,34991
1460714656,33736,35427
1460736534,33975,35699
1460758378,33011,34722
1460780464,32532,34239
1460802481,32327,34042
1460824377,33097,34869
1460846446,33220,35002
1460868600,32795,34565
1460890648,33050,34840
1460912700,33339,35147
1460934782,33485,35311
1460956838,33646,35477
1460978918,33644,35473
1461001047,33638,35470
1461023073,33639,35469
1461044937,33648,35478
1461067019,33689,35518
1461089110,33713,35551
1461111157,33676,35516
1461133016,33688,35532
1461161894,33665,35523
1461183862,34593,36506
1461205716,34880,36821
1461227835,35179,37154
1461249861,35231,37208
1461271717,35257,37234
1461293560,35285,37263
1461315624,35317,37295
1461337503,35329,37307
1461359560,35336,37314
1461381630,35191,37165
1461403694,35097,37059
1461425550,35097,37060
1461447420,35093,37058
1461469464,35095,37061
1461491306,34998,36961
1461513159,35120,37091
1461535336,35231,37212
1461557316,35165,37136
1461579240,35231,37203
1461601230,35217,37186
1461623315,35156,37123
1461645385,35127,37086
1461667271,35135,37094
1461689314,35124,37083
1461711160,35081,37035
1461733244,35074,37026
1461755321,35117,37067
1461777167,35114,37062
1461799235,35282,37240
1461821357,35372,37341
1461843378,35392,37363
1461865234,35593,37564
1461887348,35618,37591
1461909387,35597,37570
1461931269,35578,37546
1461953305,35514,37457
1461975165,35490,37428
1461997021,35280,37173
1462019054,35269,37159
1462041214,34958,36813
1462063224,34945,36800
1462085321,34826,36668
1462107391,34672,36492
1462129268,34679,36503
1462151301,34688,36512
1462173156,34713,36539
1462195218,35688,37650
1462220945,35525,37483
1462243168,35528,37490
1462265083,35507,37468
1462286950,35585,37552
1462308999,35604,37573
1462331050,35629,37599
1462352955,35623,37590
1462374983,35895,37887
1462397057,35844,37830
1462418916,35863,37848
1462440758,35854,37833
1462462826,35872,37859
1462484918,35842,37828
1462507001,35834,37824
1462529059,35854,37843
1462550913,35844,37833
1462572777,35327,37263
1462594810,34864,36715
1462616664,34804,36648
1462638511,34651,36490
1462660591,34537,36365
1462682687,34294,36088
1462704745,34276,36068
1462726870,34063,35817
1462748900,33914,35656
