DateTime,AddedIPs,RemovedIPs
1457679915,252,208
1457701937,271,248
1457723796,202,286
1457745680,161,207
1457767721,120,186
1457789797,97,126
1457811904,120,70
1457833964,158,110
1457856035,213,153
1457878100,96,221
1457899980,128,113
1457922027,235,112
1457944106,141,230
1457965987,165,159
1457988024,240,166
1458009902,213,229
1458031938,142,218
1458053782,165,150
1458075628,132,165
1458097480,116,136
1458119321,73,129
1458141421,111,77
1458163465,4471,87
1458185327,1768,3849
1458207393,1254,1967
1458229466,62,1670
1458251317,274,89
1458273375,1706,193
1458295251,40,1776
1458317313,175,56
1458339187,93,171
1458361219,429,86
1458383062,283,381
1458404920,109,329
1458426765,42,124
1458448610,86,41
1458470660,99,84
1458492772,132,95
1458514828,415,111
1458536674,93,426
1458558531,1577,96
1458580614,1827,1404
1458602466,140,1921
1458624504,629,175
1458646373,2,697
1458668425,7,2
1458690303,2,6
1458712352,3,2
1458734438,1,3
1458756283,66,1
1458778126,2853,56
1458800178,2060,2098
1458822033,375,2625
1458843908,476,338
1458865974,376,491
1458888024,832,492
1458910125,489,763
1458931971,1486,380
1458954050,613,1460
1458976130,505,765
1458997983,648,518
1459020215,453,633
1459042098,860,453
1459063975,1110,694
1459086060,220,1333
1459108137,1106,231
1459130010,1353,827
1459152075,591,1456
1459174126,1246,636
1459196706,385,1317
1459218777,1208,392
1459240837,333,1162
1459262706,813,339
1459284684,257,577
1459306595,1121,487
1459328736,976,1027
1459350594,1577,871
1459372827,494,1718
1459394853,1865,473
1459416811,194,2027
1459438839,5472,147
1459461091,1209,4713
1459482985,1034,1723
1459504872,1855,995
1459526908,510,2000
1459549058,90,753
1459570909,1172,93
1459592921,735,975
1459614775,2088,650
1459636874,245,2295
1459658956,901,273
1459681005,552,822
1459703095,458,601
1459724938,655,447
1459747085,784,596
1459769062,773,756
1459790929,1235,796
1459812786,1022,1123
1459834876,837,1036
1459856921,195,1030
1459878773,1305,165
1459900833,621,1193
1459922972,428,741
1459945062,480,438
1459967088,5103,294
1459988959,3379,3845
1460011249,369,4570
1460033302,1698,525
1460055392,1252,1512
1460077274,1777,1294
1460099323,456,1994
1460121191,2074,443
1460143229,1022,1723
1460165100,505,1277
1460187172,523,586
1460209227,1209,510
1460231093,241,1301
1460252958,488,169
1460274998,1236,460
1460296853,322,1293
1460318704,92,379
1460340552,395,88
1460362416,154,378
1460384773,388,177
1460406791,144,454
1460429079,711,117
1460450931,100,694
1460472991,192,94
1460494847,777,191
1460516929,1780,611
1460538799,1747,1459
1460560891,1871,1554
1460582918,954,2140
1460604780,770,1159
1460626622,905,788
1460648674,5040,609
1460670531,2123,4055
1460692618,1247,2787
1460714656,2842,1300
1460736534,2079,2777
1460758378,2617,1978
1460780464,1278,2649
1460802481,1677,1608
1460824377,3233,1511
1460846446,2110,3058
1460868600,896,2448
1460890648,3235,724
1460912700,1836,2891
1460934782,1272,2269
1460956838,1465,1323
1460978918,541,1750
1461001047,167,836
1461023073,67,200
1461044937,109,94
1461067019,540,97
1461089110,1011,423
1461111157,626,933
1461133016,319,744
1461161894,3645,195
1461183862,4481,1770
1461205716,1420,5458
1461227835,4111,1560
1461249861,1164,4342
1461271717,109,1868
1461293560,74,138
1461315624,127,85
1461337503,94,121
1461359560,70,71
1461381630,19,98
1461403694,104,20
1461425550,124,69
1461447420,89,118
1461469464,43,126
1461491306,325,45
1461513159,1623,192
1461535336,3769,980
1461557316,379,4200
1461579240,1117,495
1461601230,294,1257
1461623315,50,359
1461645385,94,50
1461667271,441,76
1461689314,40,479
1461711160,63,47
1461733244,124,60
1461755321,347,96
1461777167,3059,322
1461799235,2306,2323
1461821357,3896,1848
1461843378,960,4051
1461865234,3189,687
1461887348,367,4344
1461909387,814,456
1461931269,788,721
1461953305,2303,629
1461975165,919,2207
1461997021,500,1187
1462019054,1226,472
1462041214,172,1339
1462063224,1575,81
1462085321,138,1728
1462107391,1502,132
1462129268,555,798
1462151301,72,1282
1462173156,1634,64
1462195218,6508,419
1462220945,1003,6808
1462243168,560,962
1462265083,345,1350
1462286950,1039,410
1462308999,791,909
1462331050,1046,739
1462352955,247,1170
1462374983,3666,249
1462397057,652,3449
1462418916,634,604
1462440758,813,796
1462462826,621,802
1462484918,657,702
1462507001,540,763
1462529059,471,556
1462550913,1001,443
1462572777,1405,634
1462594810,113,1847
1462616664,188,156
1462638511,2020,93
1462660591,796,858
1462682687,234,1967
1462704745,200,304
1462726870,2698,128
1462748900,124,2713
1462771020,76,208
1462792998,340,64
1462814901,777,236
1462836798,59,875
1462858667,1296,35
1462880685,932,1048
1462902765,5386,708
1462924830,62,5835
1462946912,89,102
1462968806,139,104
1462990822,171,150
1463012705,210,145
1463034763,199,201
1463056848,170,193
1463078911,175,179
1463100753,78,181
1463123104,377,75
1463145006,137,342
1463166991,171,160
1463189067,125,179
1463211049,231,124
1463233207,66,217
1463255051,93,62
1463276898,161,109
1463299010,221,155
1463321071,465,177
1463343149,324,403
1463365269,354,351
1463387298,333,335
1463409151,178,422
1463431223,1057,166
1463453076,1050,825
1463475142,808,989
1463496984,632,886
1463518842,144,886
1463540706,135,172
1463562742,137,140
1463584602,695,107
1463606494,153,707
1463628503,113,162
1463650354,251,115
1463672207,204,234
1463694296,172,209
1463716337,104,184
1463738219,11046,65
1463760263,1141,10592
1463782111,7,1635
1463803953,137,17
1463825817,9599,46
1463848061,1010,9152
1463869954,107,1533
1463892037,172,111
1463914108,385,171
1463936193,1535,314
1463958268,113,1588
1463980366,272,125
1464002462,654,266
1464024509,130,673
1464046371,182,130
1464068465,135,184
1464090466,156,136
1464112352,75,157
1464134482,2457,25
1464156511,90,2475
1464178366,146,107
1464200433,152,150
1464222522,93,157
1464244617,152,97
1464266653,126,144
1464288496,167,132
1464310376,3223,54
1464332435,977,3207
1464354510,102,1098
1464376615,164,113
1464398652,306,160
1464420526,109,305
1464442611,139,110
1464464686,16,148
1464486787,312,14
1464508831,164,313
1464530681,116,157
1464552776,129,116
1464574833,384,126
1464596954,152,379
1464619066,209,154
1464641054,26,218
1464662906,4218,22
1464684757,256,4165
1464706611,84,308
1464728456,93,85
1464750299,2784,89
1464772340,154,2778
1464794199,93,166
1464816045,36,93
1464838115,2282,35
1464859963,73,2285
1464882029,65,75
1464904139,73,66
1464926178,3663,67
1464948036,167,3660
1464969896,111,171
1464991744,1198,83
1465013803,1490,1078
1465035871,135,1630
1465057979,89,144
1465080024,228,83
1465102110,714,212
1465123963,167,724
1465146040,98,179
1465168180,6247,43
1465190190,1893,5483
1465212046,234,2699
1465234135,63,240
1465256194,5445,29
1465278266,1778,4849
1465300113,116,2419
1465321972,84,117
1465344042,2272,48
1465366128,2861,1603
1465388186,82,3559
1465410266,82,88
1465432500,1652,41
1465454453,2037,1291
1465476508,103,2434
1465498418,110,107
1465520438,842,107
1465542516,351,678
1465564610,92,507
1465586670,46,100
1465608798,933,47
1465630835,1584,503
1465652953,83,2009
1465674981,102,92
1465696835,461,95
1465718906,107,462
1465740782,54,112
