DateTime,Entries,UniqueIPs
1457636100,825,825
1457723345,959,959
1457723345,959,959
1457810446,509,509
1457897574,616,616
1457984979,791,791
1458072082,646,646
1458159161,4674,4674
1458246298,295,295
1458333417,48,48
1458420509,44,44
1458507648,18,18
1458594799,990,990
1458681884,8,8
1458769022,2055,2055
1458856166,876,876
1458943251,848,848
1459030384,658,658
1459117500,1675,1675
1459204606,1659,1659
1459291730,1317,1317
1459378854,290,290
1459466003,1765,1765
1459553099,257,257
1459640479,770,770
1459727581,792,792
1459814718,2731,2731
1459901828,869,869
1459988957,4941,4941
1460076055,1572,1572
1460163300,607,607
1460250566,651,651
1460337683,441,441
1460424782,170,170
1460511884,2557,2557
1460599050,1207,1207
1460686138,2090,2090
1460773292,1331,1331
1460860387,1678,1678
1460947502,1839,1839
1461034611,147,147
1461121850,431,431
1461209148,5147,5147
1461296299,194,194
1461383398,127,127
1461470523,195,195
1461557643,733,733
1461644743,253,253
1461731885,58,58
1461819008,3857,3857
1461906175,944,944
1461993518,1926,1926
1462080886,634,634
1462168212,1192,1192
1462255338,2163,2163
1462342579,280,280
1462429701,196,196
1462516931,1865,1865
1462604055,313,313
1462691180,2579,2579
1462778305,293,293
1462865430,1449,1449
1462952576,152,152
1463039906,200,200
1463127095,516,516
1463214226,757,757
1463301523,550,550
1463388877,493,493
1463476257,510,510
1463563591,148,148
1463650709,269,269
1463737849,11103,11103
1463824972,9697,9697
1463912078,404,404
1463999428,1953,1953
1464086581,223,223
1464173905,72,72
1464261025,311,311
1464348177,186,186
1464435304,184,184
1464522633,232,232
1464609760,53,53
1464696873,51,51
1464784396,77,77
1464871616,324,324
1464958982,412,412
1465046317,195,195
1465133693,187,187
1465221027,224,224
1465308196,82,82
1465395567,84,84
1465482888,90,90
1465570227,84,84
1465657404,140,140
1465744740,56,56
