DateTime,AddedIPs,RemovedIPs
1463078643,86,73
1463082724,90,116
1463088485,59,57
1463090423,58,79
1463096168,62,86
1463100006,78,73
1463101926,49,75
1463109611,161,153
1463115368,148,176
1463121123,82,65
1463127366,121,91
1463131205,58,49
1463135049,54,57
1463142725,92,85
1463148484,74,72
1463156163,96,84
1463161926,125,114
1463167683,78,57
1463173448,84,104
1463180162,54,65
1463184005,107,136
1463189762,46,81
1463193603,82,72
1463195524,92,96
1463201282,74,99
1463205123,161,123
1463210883,63,39
1463214722,49,123
1463217122,64,39
1463222882,60,61
1463224810,61,57
1463228644,71,47
1463236323,84,101
1463240163,54,55
1463244003,65,66
1463250004,107,105
1463253843,73,66
1463259604,99,103
1463264404,55,64
1463268244,52,90
1463274005,94,125
1463277843,81,72
1463285764,174,161
1463289603,78,99
1463296326,122,89
1463304008,175,78
1463311690,82,87
1463317443,104,89
1463323206,73,59
1463327045,110,80
1463334725,61,73
1463336644,79,80
1463340723,61,74
1463344563,60,59
1463348403,86,117
1463358004,95,128
1463363762,113,122
1463369523,85,114
1463374566,80,84
1463380324,153,132
1463386083,99,85
1463391843,68,48
1463395923,98,86
1463401683,66,53
1463405532,65,56
1463411293,113,112
1463418964,108,100
1463424724,124,117
1463430725,71,73
1463434563,64,80
1463438405,51,78
1463444165,111,147
1463451845,122,122
1463455685,75,98
1463461443,150,169
1463467205,88,55
1463472964,117,84
1463478729,101,90
1463488324,99,92
1463492171,94,100
1463499844,85,124
1463507764,170,104
1463515444,122,126
1463521453,99,131
1463529123,56,89
1463533206,131,143
1463541124,156,168
1463546883,86,94
1463552642,177,129
1463560564,101,106
1463564403,71,61
1463568482,52,50
1463574243,119,162
1463581923,82,86
1463586003,133,48
1463591764,115,129
1463595603,78,70
1463600404,65,63
1463604242,63,78
1463606164,112,62
1463611923,95,145
1463617683,88,139
1463627283,151,166
1463634962,146,157
1463642643,136,101
1463648408,119,85
1463656083,99,94
1463663763,97,93
1463671443,96,99
1463675283,69,65
1463679123,98,69
1463682964,79,76
1463686803,68,75
1463692563,112,150
1463700243,93,136
1463706005,102,143
1463713683,189,152
1463717763,80,87
1463723523,163,155
1463731204,67,57
1463735043,117,90
1463742724,118,95
1463748723,67,68
1463754483,94,108
1463762163,123,92
1463766013,85,79
1463771765,123,114
1463775609,65,74
1463783289,102,108
1463787125,53,79
1463792885,114,154
1463798645,66,64
1463800563,87,98
1463804403,89,96
1463810169,161,126
1463817845,107,89
1463823612,122,90
1463831524,78,62
1463833446,51,75
1463839205,60,65
1463843524,96,78
1463851204,101,95
1463855044,63,67
1463860808,97,105
1463866814,51,66
1463870644,44,71
1463874724,56,72
1463878564,109,131
1463884804,150,163
1463892725,157,167
1463902323,133,95
1463906165,56,38
1463910012,57,35
1463915764,117,91
1463921525,95,107
1463929206,102,92
1463936884,120,102
1463942883,85,60
1463948644,103,114
1463956323,80,114
1463962084,97,207
1463970723,170,130
1463976483,153,172
1463984163,153,119
1463989924,52,58
1463994007,72,64
1463995924,87,59
1464001683,100,90
1464009363,92,105
1464015124,66,48
1464017044,57,51
