DateTime,Entries,UniqueIPs
1464795849,1064,1085
1464797781,1059,1081
1464799721,1064,1085
1464801609,1062,1082
1464803535,1039,1056
1464805452,1053,1070
1464807375,1050,1067
1464809303,1044,1061
1464811228,1039,1059
1464813147,1024,1043
1464815050,1023,1042
1464816974,1042,1064
1464818893,1040,1063
1464820827,1035,1058
1464822740,1036,1059
1464824667,1031,1054
1464826582,1033,1056
1464828510,1029,1050
1464830425,1018,1039
1464832345,1003,1023
1464834259,1006,1026
1464836179,1007,1027
1464838108,1004,1024
1464840027,1006,1026
1464841952,1006,1025
1464843858,1017,1035
1464845776,1033,1051
1464847701,1042,1061
1464849615,1055,1076
1464851549,1062,1083
1464853455,1079,1101
1464855408,1082,1103
1464857308,1091,1113
1464859216,1086,1109
1464861148,1053,1076
1464863061,1045,1068
1464864974,1046,1068
1464866901,1048,1069
1464868827,1050,1071
1464870749,1040,1059
1464872652,1034,1052
1464874586,1030,1048
1464876495,1052,1070
1464878420,1056,1074
1464880610,1038,1054
1464882506,1031,1045
1464884427,1038,1051
1464886361,1030,1044
1464888261,1030,1044
1464890175,1035,1049
1464892094,1035,1049
1464894038,1031,1045
1464895955,1027,1041
1464897868,1032,1046
1464899790,1034,1048
1464901703,1033,1047
1464903627,1014,1028
1464905558,1021,1034
1464907493,1032,1044
1464909402,1038,1051
1464911313,1051,1067
1464913216,1050,1066
1464915149,1043,1059
1464917057,1055,1071
1464918983,1052,1068
1464920915,1055,1071
1464922832,1057,1073
1464924751,1045,1061
1464926657,1046,1061
1464928592,1026,1041
1464930497,1012,1028
1464932426,1008,1023
1464934353,1004,1021
1464936261,994,1011
1464938195,1008,1025
1464940105,1010,1027
1464942026,1012,1029
1464943960,998,1015
1464945854,991,1009
1464947776,990,1008
1464949699,995,1015
1464951640,992,1012
1464953551,978,998
1464955456,981,1001
1464957439,990,1010
1464959350,999,1020
1464961246,1002,1024
1464963480,988,1010
1464965300,978,999
1464967221,965,985
1464969175,947,967
1464971054,951,971
1464972970,949,969
1464974901,962,982
1464976823,958,978
1464978738,947,965
1464980650,944,962
1464982574,939,957
1464984499,941,959
1464986414,946,964
1464988352,957,975
1464990248,962,980
1464992179,979,997
1464994198,987,1004
1464996008,997,1014
1464997951,992,1009
1464999868,983,1000
1465001782,980,996
1465003719,968,985
1465005647,981,998
1465007562,988,1005
1465009475,1001,1020
1465011635,1021,1041
1465013562,1033,1054
1465015472,1053,1075
1465017625,1068,1089
1465019555,1068,1086
1465021460,1063,1081
1465023400,1070,1090
1465025314,1059,1079
1465027240,1050,1070
1465029150,1050,1072
1465031062,1063,1083
1465032995,1056,1077
1465034920,1070,1091
1465036833,1068,1088
1465039019,1086,1106
1465040930,1100,1120
1465042846,1111,1128
1465044782,1110,1127
1465046671,1106,1122
1465048598,1112,1128
1465050522,1134,1152
1465052699,1134,1152
1465054605,1148,1166
1465056526,1167,1185
1465058447,1164,1182
1465060361,1180,1198
1465062269,1182,1200
1465064222,1202,1220
1465066114,1221,1239
1465068046,1229,1247
1465069952,1248,1268
1465072083,1259,1280
1465074037,1274,1295
1465075970,1287,1308
1465077942,1294,1315
1465079794,1285,1305
1465081727,1277,1297
1465083627,1282,1302
1465085574,1300,1320
1465087464,1314,1334
1465089434,1332,1352
1465091334,1350,1369
1465093242,1346,1365
1465095168,1355,1374
1465097075,1349,1371
1465099003,1357,1378
1465100925,1360,1381
1465102867,1363,1383
1465104763,1366,1386
1465106995,1363,1384
1465108843,1368,1388
1465110757,1367,1387
1465112674,1366,1387
1465114630,1374,1395
1465116536,1374,1395
1465118453,1375,1398
1465120372,1382,1405
1465122281,1391,1416
1465124200,1389,1413
1465126133,1399,1423
1465128074,1402,1428
1465129999,1396,1422
1465131895,1391,1417
1465134069,1383,1409
1465135982,1368,1393
1465137893,1354,1379
1465139842,1360,1385
1465141755,1357,1380
1465143669,1350,1373
1465145592,1351,1376
1465147492,1339,1364
1465149417,1345,1370
1465151346,1347,1372
1465153303,1353,1379
1465155191,1353,1381
1465157098,1359,1386
1465159018,1357,1382
1465160947,1361,1385
