DateTime,AddedIPs,RemovedIPs
1464928592,14,20
1464930497,16,12
1464932426,47,20
1464934353,40,33
1464936261,37,48
1464938195,52,35
1464940105,55,55
1464942026,44,51
1464943960,30,45
1464945854,39,30
1464947776,18,44
1464949699,41,14
1464951640,16,42
1464953551,22,20
1464955456,55,20
1464957439,41,50
1464959350,56,43
1464961246,45,49
1464963480,22,52
1464965300,30,22
1464967221,26,32
1464969175,13,28
1464971054,38,13
1464972970,16,37
1464974901,42,16
1464976823,13,43
1464978738,22,13
1464980650,14,20
1464982574,11,15
1464984499,19,12
1464986414,22,20
1464988352,32,20
1464990248,26,26
1464992179,49,26
1464994198,36,48
1464996008,37,41
1464997951,22,38
1464999868,31,23
1465001782,9,32
1465003719,29,9
1465005647,47,26
1465007562,35,39
1465009475,37,32
1465011635,42,45
1465013562,37,40
1465015472,39,38
1465017625,46,42
1465019555,33,44
1465021460,46,40
1465023400,44,43
1465025314,43,39
1465027240,34,43
1465029150,46,36
1465031062,41,46
1465032995,42,39
1465034920,32,44
1465036833,50,34
1465039019,45,43
1465040930,43,47
1465042846,48,43
1465044782,43,45
1465046671,50,43
1465048598,55,57
1465050522,54,53
1465052699,36,52
1465054605,39,39
1465056526,32,29
1465058447,36,41
1465060361,39,33
1465062269,37,40
1465064222,46,36
1465066114,37,43
1465068046,31,42
1465069952,45,31
1465072083,44,43
1465074037,38,46
1465075970,40,39
1465077942,42,39
1465079794,31,38
1465081727,28,25
1465083627,48,38
1465085574,38,48
1465087464,54,36
1465089434,48,56
1465091334,51,48
1465093242,38,52
1465095168,38,41
1465097075,37,36
1465099003,42,36
1465100925,48,43
1465102867,47,50
1465104763,46,46
1465106995,27,36
1465108843,48,33
1465110757,37,49
1465112674,57,42
1465114630,51,52
1465116536,43,56
1465118453,54,42
1465120372,55,52
1465122281,54,57
1465124200,42,54
1465126133,62,39
1465128074,52,64
1465129999,45,51
1465131895,40,45
1465134069,39,39
1465135982,36,44
1465137893,36,37
1465139842,43,31
1465141755,28,41
1465143669,35,36
1465145592,39,32
1465147492,31,38
1465149417,38,33
1465151346,41,36
1465153303,54,44
1465155191,45,55
1465157098,43,35
1465159018,46,48
1465160947,35,39
1465162862,50,42
1465164791,38,50
1465166700,32,37
1465168620,42,32
1465170554,41,40
1465172455,35,43
1465174639,42,36
1465176538,37,40
1465178508,42,39
1465180377,45,42
1465182299,28,32
1465184221,39,40
1465186149,46,32
1465188069,40,51
1465189998,58,45
1465191886,37,50
1465193826,54,45
1465195729,47,50
1465198136,55,48
1465200082,53,57
1465201992,55,54
1465204174,46,52
1465206022,45,43
1465207941,50,48
1465209849,34,51
1465211786,35,38
1465213698,37,31
1465215624,37,33
1465217549,30,40
1465219448,40,32
1465221375,46,39
1465223300,48,47
1465225225,39,45
1465227140,8,35
1465229051,12,12
1465230972,22,16
1465232897,26,19
1465234814,18,29
1465236752,33,18
1465238655,44,33
1465240586,19,44
1465242510,33,21
1465244413,47,30
1465246347,17,44
1465248253,41,19
1465250177,26,42
1465252107,33,24
1465254030,19,40
1465255945,14,17
1465257853,25,14
1465259789,18,25
1465261749,21,15
1465263612,20,22
1465265536,33,20
1465267451,29,31
1465269397,27,34
1465271310,31,23
1465273218,21,32
1465275151,15,23
1465277048,48,16
1465278980,17,46
1465280902,55,17
1465282830,54,51
1465284740,51,56
1465286648,41,47
1465288579,38,41
1465290495,36,38
1465292422,51,37
1465294342,41,50
1465296248,37,42
1465298184,51,41
1465300101,44,46
1465302028,34,47
1465303953,34,32
1465305853,42,34
1465308057,54,42
1465309949,43,51
1465311855,34,42
1465313788,13,41
1465315700,12,14
1465317617,10,10
1465319545,28,12
1465321456,30,27
1465323388,23,31
1465325311,33,21
1465327221,26,34
1465329149,12,25
1465331055,35,11
1465332985,25,38
1465334901,38,27
1465336838,16,39
1465338784,17,16
1465340673,12,14
1465342581,19,12
1465344507,26,18
1465346422,18,28
1465348347,27,16
1465350252,23,26
1465352256,21,24
1465354097,30,22
1465356019,17,30
1465357935,17,17
1465359853,35,16
1465361772,14,36
1465363732,47,20
1465365663,21,40
1465367579,19,24
1465369749,22,18
1465371625,17,18
1465373550,29,19
1465375454,41,28
1465377391,32,41
1465379299,27,33
1465381213,20,25
1465383141,21,22
1465385053,44,23
1465386982,16,45
1465388903,49,16
1465390842,34,43
1465392746,36,33
1465394656,28,36
1465396579,19,35
1465398494,17,18
1465400420,18,16
1465402355,27,20
