DateTime,Entries,UniqueIPs
1460310446,1104,1104
1460321450,1105,1105
1460332371,1100,1100
1460342930,1109,1109
1460353976,1107,1107
1460364484,1106,1106
1460375445,1102,1102
1460386544,1102,1102
1460397591,1105,1105
1460408662,1107,1107
1460419217,1104,1104
1460430064,1098,1098
1460440895,1093,1093
1460451669,1094,1094
1460463080,1088,1088
1460474005,1083,1083
1460485184,1080,1080
1460496460,1086,1086
1460507535,1075,1075
1460518330,1069,1069
1460529329,1068,1068
1460540183,1067,1067
1460550432,1068,1068
1460561415,1064,1064
1460572306,1064,1064
1460583302,1062,1062
1460594190,1061,1061
1460605059,1064,1064
1460615416,1061,1061
1460626340,1060,1060
1460637287,1060,1060
1460647908,1056,1056
1460658950,1053,1053
1460668407,1051,1051
1460679221,1049,1049
1460689550,1049,1049
1460700288,1052,1052
1460711232,1052,1052
1460722143,1054,1054
1460732910,1055,1055
1460743922,1050,1050
1460754270,1054,1054
1460764909,1052,1052
1460775698,1048,1048
1460786598,1042,1042
1460797947,1042,1042
1460808701,1050,1050
1460819792,1054,1054
1460830777,1052,1052
1460841663,1055,1055
1460852585,1055,1055
1460863556,1054,1054
1460874213,1058,1058
1460885299,1059,1059
1460896005,1063,1063
1460906709,1060,1060
1460917442,1065,1065
1460928413,1066,1066
1460938705,1066,1066
1460949812,1066,1066
1460960895,1065,1065
1460971944,1065,1065
1460982384,1064,1064
1460993221,1065,1065
1461004021,1062,1062
1461015376,1066,1066
1461026309,1070,1070
1461037228,1072,1072
1461048289,1067,1067
1461059111,1069,1069
1461068521,1067,1067
1461079213,1069,1069
1461090154,1068,1068
1461104256,1071,1071
1461114993,1070,1070
1461125924,1067,1067
1461136125,1068,1068
1461161666,1063,1063
1461174000,1057,1057
1461185049,1055,1055
1461195978,1056,1056
1461206785,1057,1057
1461217834,1048,1048
1461228892,1046,1046
1461239981,1049,1049
1461250858,1048,1048
1461261791,1046,1046
1461272734,1046,1046
1461282742,1044,1044
1461293393,1040,1040
1461304252,1041,1041
1461315181,1042,1042
1461326212,1042,1042
1461336897,1039,1039
1461347875,1036,1036
1461358031,1038,1038
1461369133,1036,1036
1461380190,1031,1031
1461391008,1031,1031
1461401832,1028,1028
1461412721,1031,1031
1461423441,1033,1033
1461434253,1031,1031
