DateTime,AddedIPs,RemovedIPs
1464637485,23,43
1464639399,2,4
1464643246,1,4
1464645173,57,26
1464649003,0,2
1464650919,60,31
1464654768,17,12
1464660531,39,21
1464662440,9,5
1464664361,104,840
1464666270,471,0
1464668226,359,12
1464670124,7,1015
1464672042,998,0
1464673965,0,1
1464675889,15,9
1464679730,1,10
1464681651,5,5
1464683722,11,5
1464687638,85,33
1464689559,17,633
1464693411,626,6
1464695323,97,54
1464699161,0,9
1464701320,17,260
1464704189,38,424
1464706106,0,480
1464708113,1134,0
1464709961,57,22
1464711869,6,7
1464715718,48,24
1464717651,30,8
1464721477,0,7
1464723389,97,1199
1464725331,1172,0
1464727242,1,7
1464729159,20,613
1464733014,616,0
1464734925,38,19
1464738766,20,11
1464740683,7,6
1464744521,28,741
1464746452,730,2
1464750282,51,32
1464752204,18,12
1464756046,9,9
1464757957,20,765
1464761815,755,1
1464763724,29,26
1464765637,16,7
1464769485,7,764
1464771655,757,1
1464775491,73,32
1464777431,0,4
1464779332,37,830
1464783399,799,4
1464785315,23,60
1464787239,0,299
1464789168,296,0
1464791070,7,800
1464792994,800,0
1464796853,11,8
1464798758,2,0
1464800662,32,2180
1464802600,1384,0
1464804523,799,2
1464806440,15,9
1464810282,37,8
1464812205,18,715
1464816031,714,2
1464817960,21,11
1464819871,11,10
1464823721,22,713
1464825660,720,0
1464827693,1,7
1464831639,7,0
1464833556,1,803
1464837408,801,1
1464839321,121,34
1464841228,77,861
1464843175,839,0
1464845075,0,69
1464846996,70,2
1464852776,2,1
1464855632,28,747
1464857556,35,1495
1464859473,2170,0
1464861394,73,4
1464863324,0,3
1464865737,113,38
1464869581,27,10
1464871476,0,8
1464875330,19,19
1464877238,10,5
1464881076,1,2
1464882996,4,0
1464884925,1,1
1464888762,50,14
1464890681,15,15
1464894517,25,15
1464896445,32,18
1464898368,53,927
1464900276,911,0
1464902203,1,5
1464904122,28,25
1464907962,11,18
1464909875,18,8
1464911807,22,15
1464915647,19,7
1464917576,10,4
1464922617,50,20
1464926482,24,24
1464928370,22,24
1464930290,11,899
1464932205,282,0
1464934133,610,1
1464936050,59,34
1464939893,1,8
1464941809,8,7
1464943725,53,2935
1464945656,2907,0
1464947586,1,6
1464949501,45,44
1464953339,33,727
1464955284,714,3
1464959345,29,636
1464961243,4,115
1464964130,335,4
1464968001,26,346
1464969880,736,1
1464975871,38,745
1464978058,33,10
1464981875,71,0
1464983927,652,0
1464987877,3,3
1464989795,49,31
1464993644,0,1
1464995565,20,728
1464999397,708,2
1465001324,31,8
1465003340,3,1
1465007323,32,59
1465009254,34,6
1465013083,8,4
1465015009,0,2
1465016932,0,9
1465018861,9,0
1465020786,91,84
1465022678,18,10
1465026534,16,28
1465028451,38,943
1465032293,911,4
1465034207,27,24
1465036368,0,7
1465040448,33,10
1465042372,15,1084
1465044418,1080,4
1465048365,27,15
1465050273,9,6
1465052302,5,1
1465056063,58,12
1465057969,0,5
1465061804,5,1043
1465063726,78,2
1465067563,1017,1
1465069503,48,30
1465073334,8,20
1465075234,14,1006
1465079074,1000,1
1465081008,5,16
1465082906,9,3006
1465084856,2998,0
1465086764,10,998
1465089630,10,95
1465091564,10,993
1465093474,2055,0
1465095406,3,1
1465097322,2,3
1465101168,6,1
1465103086,10,3
1465104993,21,2279
1465106989,2271,0
1465108840,0,1072
1465110755,16,1575
