DateTime,Entries,UniqueIPs
1464500698,3136,3136
1464502616,3203,3203
1464506454,3251,3251
1464508389,3275,3275
1464510284,3266,3266
1464514364,2829,2829
1464516266,1391,1391
1464518192,2098,2098
1464520117,3198,3198
1464522040,3202,3202
1464525876,3222,3222
1464527801,2176,2176
1464529712,593,593
1464531637,3187,3187
1464533552,2167,2167
1464535478,3163,3163
1464539327,3156,3156
1464541251,3137,3137
1464545073,2233,2233
1464547008,3064,3064
1464550838,3047,3047
1464552761,2983,2983
1464556615,3029,3029
1464558525,3029,3029
1464562411,3024,3024
1464564277,3019,3019
1464566188,558,558
1464568134,3103,3103
1464570056,3196,3196
1464571970,3273,3273
1464575812,3332,3332
1464577727,3227,3227
1464581555,2274,2274
1464585395,3257,3257
1464587323,3245,3245
1464591166,3196,3196
1464593080,3194,3194
1464596931,2281,2281
1464598849,3169,3169
1464601006,2854,2854
1464604846,2833,2833
1464606762,2257,2257
1464610596,2259,2259
1464612516,2791,2791
1464620204,2865,2865
1464622115,83,83
1464624047,2886,2886
1464625957,2579,2579
1464627865,1522,1522
1464629794,2276,2276
1464631725,2547,2547
1464633649,2893,2893
1464637485,2873,2873
1464639399,2871,2871
1464643246,2868,2868
1464645173,2899,2899
1464649003,2897,2897
1464650919,2926,2926
1464654768,2931,2931
1464660531,2949,2949
1464662440,2953,2953
1464664361,2217,2217
1464666270,2688,2688
1464668226,3035,3035
1464670124,2027,2027
1464672042,3025,3025
1464673965,3024,3024
1464675889,3030,3030
1464679730,3021,3021
1464681651,3021,3021
1464683722,3027,3027
1464687638,3079,3079
1464689559,2463,2463
1464693411,3083,3083
1464695323,3126,3126
1464699161,3117,3117
1464701320,2874,2874
1464704189,2488,2488
1464706106,2008,2008
1464708113,3142,3142
1464709961,3177,3177
1464711869,3176,3176
1464715718,3200,3200
1464717651,3222,3222
1464721477,3215,3215
1464723389,2113,2113
1464725331,3285,3285
1464727242,3279,3279
1464729159,2686,2686
1464733014,3302,3302
1464734925,3321,3321
1464738766,3330,3330
1464740683,3331,3331
1464744521,2618,2618
1464746452,3346,3346
1464750282,3365,3365
1464752204,3371,3371
1464756046,3371,3371
1464757957,2626,2626
1464761815,3380,3380
1464763724,3383,3383
1464765637,3392,3392
1464769485,2635,2635
1464771655,3391,3391
1464775491,3432,3432
1464777431,3428,3428
1464779332,2635,2635
1464783399,3430,3430
1464785315,3393,3393
1464787239,3094,3094
1464789168,3390,3390
1464791070,2597,2597
1464792994,3397,3397
1464796853,3400,3400
1464798758,3402,3402
1464800662,1254,1254
1464802600,2638,2638
1464804523,3435,3435
1464806440,3441,3441
1464810282,3470,3470
1464812205,2773,2773
1464816031,3485,3485
1464817960,3495,3495
1464819871,3496,3496
1464823721,2805,2805
1464825660,3525,3525
1464827693,3519,3519
1464831639,3526,3526
1464833556,2724,2724
1464837408,3524,3524
1464839321,3611,3611
1464841228,2827,2827
1464843175,3666,3666
1464845075,3597,3597
1464846996,3665,3665
1464852776,3666,3666
1464855632,2947,2947
1464857556,1487,1487
1464859473,3657,3657
1464861394,3726,3726
1464863324,3723,3723
1464865737,3798,3798
1464869581,3815,3815
1464871476,3807,3807
1464875330,3807,3807
1464877238,3812,3812
1464881076,3811,3811
1464882996,3815,3815
1464884925,3815,3815
1464888762,3851,3851
1464890681,3851,3851
1464894517,3861,3861
1464896445,3875,3875
1464898368,3001,3001
1464900276,3912,3912
1464902203,3908,3908
1464904122,3911,3911
1464907962,3904,3904
1464909875,3914,3914
1464911807,3921,3921
1464915647,3933,3933
1464917576,3939,3939
1464922617,3969,3969
1464926482,3969,3969
1464928370,3967,3967
1464930290,3079,3079
1464932205,3361,3361
1464934133,3970,3970
1464936050,3995,3995
1464939893,3988,3988
1464941809,3989,3989
1464943725,1107,1107
1464945656,4014,4014
1464947586,4009,4009
1464949501,4010,4010
1464953339,3316,3316
1464955284,4027,4027
1464959345,3420,3420
1464961243,3309,3309
1464964130,3640,3640
1464968001,3320,3320
1464969880,4055,4055
1464975871,3348,3348
1464978058,3371,3371
1464981875,3442,3442
1464983927,4094,4094
1464987877,4094,4094
1464989795,4112,4112
1464993644,4111,4111
1464995565,3403,3403
1464999397,4109,4109
1465001324,4132,4132
1465003340,4134,4134
1465007323,4107,4107
1465009254,4135,4135
1465013083,4139,4139
1465015009,4137,4137
1465016932,4128,4128
1465018861,4137,4137
1465020786,4144,4144
1465022678,4152,4152
1465026534,4140,4140
1465028451,3235,3235
1465032293,4142,4142
1465034207,4145,4145
1465036368,4138,4138
1465040448,4161,4161
1465042372,3092,3092
1465044418,4168,4168
1465048365,4180,4180
1465050273,4183,4183
1465052302,4187,4187
1465056063,4233,4233
1465057969,4228,4228
1465061804,3190,3190
1465063726,3266,3266
1465067563,4282,4282
1465069503,4300,4300
1465073334,4288,4288
1465075234,3296,3296
1465079074,4295,4295
1465081008,4284,4284
1465082906,1287,1287
1465084856,4285,4285
1465086764,3297,3297
1465089630,3212,3212
1465091564,2229,2229
1465093474,4284,4284
1465095406,4286,4286
1465097322,4285,4285
1465101168,4290,4290
1465103086,4297,4297
1465104993,2039,2039
1465106989,4310,4310
1465108840,3238,3238
1465110755,1679,1679
1465112673,3255,3255
1465114622,4311,4311
1465116530,4311,4311
1465120370,4341,4341
1465122279,3244,3244
1465126131,3252,3252
1465128068,4359,4359
1465131893,4358,4358
1465134065,3333,3333
1465135978,3297,3297
1465139836,4385,4385
1465141748,4384,4384
1465145591,3369,3369
1465147490,3253,3253
1465151345,4325,4325
1465155184,3358,3358
1465157096,2839,2839
1465159015,3410,3410
1465160945,4358,4358
1465162859,3087,3087
1465164788,4416,4416
1465166699,3791,3791
1465168614,2170,2170
1465170548,3430,3430
1465172454,3211,3211
1465174637,3336,3336
1465178502,4253,4253
1465180369,348,348
1465182296,4335,4335
1465184218,3192,3192
