DateTime,Entries,UniqueIPs
1463685859,7904,7904
1463691631,7846,7846
1463695497,7827,7827
1463699308,7820,7820
1463705065,7791,7791
1463708904,7770,7770
1463712759,7761,7761
1463718516,7761,7761
1463722355,4723,4723
1463726359,7611,7611
1463728344,7723,7723
1463732188,7735,7735
1463736024,7736,7736
1463740337,7742,7742
1463746111,7726,7726
1463749954,7628,7628
1463755715,7580,7580
1463759558,7478,7478
1463763529,7374,7374
1463769391,7238,7238
1463773235,4749,4749
1463777060,7163,7163
1463778991,7162,7162
1463782839,7146,7146
1463786658,7036,7036
1463790514,7150,7150
1463794483,6643,6643
1463796517,7142,7142
1463800345,7087,7087
1463804191,7050,7050
1463808018,7013,7013
1463813801,6972,6972
1463817629,6958,6958
1463821463,6958,6958
1463825548,6917,6917
1463831314,6924,6924
1463835157,6901,6901
1463838980,6922,6922
1463844052,7023,7023
1463848025,6951,6951
1463853859,6949,6949
1463857715,6977,6977
1463861561,4909,4909
1463865604,5934,5934
1463867558,7011,7011
1463871383,7048,7048
1463875249,7004,7004
1463879061,7016,7016
1463883862,7016,7016
1463887711,6980,6980
1463893464,6980,6980
1463897568,6975,6975
1463901573,7092,7092
1463907381,7071,7071
1463911265,7112,7112
1463915064,7084,7084
1463919182,7067,7067
1463924903,7073,7073
1463928746,7051,7051
1463933561,7029,7029
1463938360,6941,6941
1463942191,2245,2245
1463944114,6818,6818
1463948204,6760,6760
1463952023,6713,6713
1463955860,6699,6699
1463959717,6694,6694
1463965466,6690,6690
1463969317,6682,6682
1463973148,3524,3524
1463975063,6674,6674
1463978905,6529,6529
1463982750,6492,6492
1463988512,6495,6495
1463992362,6494,6494
1463996184,6500,6500
1464001968,6496,6496
1464005790,6525,6525
1464009618,6493,6493
1464014425,4388,4388
1464018261,6963,6963
1464024025,6730,6730
1464027871,6798,6798
1464031711,1254,1254
1464033648,6666,6666
1464037466,6304,6304
1464041310,3988,3988
1464043236,6323,6323
1464047310,6281,6281
1464051165,6319,6319
1464054993,6382,6382
1464060769,6404,6404
1464064840,6328,6328
1464068923,6315,6315
1464072946,6324,6324
1464078747,5060,5060
1464082583,6334,6334
1464086444,6270,6270
1464090444,6280,6280
1464096264,4472,4472
1464100103,6324,6324
1464103956,6550,6550
1464109711,6562,6562
1464113548,6573,6573
1464118369,6563,6563
1464122202,6470,6470
1464126047,6468,6468
1464131783,6757,6757
1464135635,4878,4878
1464139575,6940,6940
1464145230,6941,6941
1464149084,6917,6917
1464152933,5016,5016
1464157711,6906,6906
1464161783,6904,6904
1464167570,6891,6891
1464171642,6879,6879
1464175487,6886,6886
1464179558,3771,3771
1464181470,6935,6935
1464185565,6919,6919
1464189401,6976,6976
1464193467,6986,6986
1464197322,2091,2091
1464199263,6985,6985
1464203065,7019,7019
1464207169,7020,7020
1464211012,7028,7028
1464215783,7049,7049
1464219624,7067,7067
1464225405,7070,7070
1464229225,7060,7060
1464233063,7100,7100
1464238830,7196,7196
1464242666,7219,7219
1464246517,7341,7341
1464250351,6165,6165
1464252264,7337,7337
1464256109,7278,7278
1464260192,7321,7321
1464264034,7275,7275
1464267863,5374,5374
1464269789,7299,7299
1464273632,7334,7334
1464277464,7300,7300
1464281307,6274,6274
1464283218,7302,7302
1464287058,7171,7171
1464290905,7115,7115
1464295005,7118,7118
1464300763,7098,7098
1464304596,7098,7098
1464308421,6694,6694
1464310356,6847,6847
1464314199,6913,6913
1464318042,6892,6892
1464321859,6878,6878
1464325927,6938,6938
1464331711,6975,6975
1464335553,6951,6951
1464340348,6931,6931
1464344190,1264,1264
1464346112,7039,7039
1464349950,5676,5676
1464353788,7022,7022
1464357639,7084,7084
1464361464,3225,3225
1464363385,7080,7080
1464367230,7278,7278
1464371060,7105,7105
1464375058,6084,6084
1464377066,7018,7018
1464380909,6963,6963
1464384758,6955,6955
1464390510,6879,6879
1464394352,6875,6875
1464398187,6856,6856
