DateTime,Entries,UniqueIPs
1465242986,4907,4907
1465243952,4904,4904
1465244918,4866,4866
1465245859,4844,4844
1465246838,4808,4808
1465247790,4806,4806
1465248757,4780,4780
1465249703,4770,4770
1465250662,4748,4748
1465251625,4763,4763
1465252590,4801,4801
1465253578,4817,4817
1465254514,4791,4791
1465255456,4764,4764
1465256427,4733,4733
1465257390,4736,4736
1465258344,4814,4814
1465259319,4802,4802
1465260256,4809,4809
1465261237,4778,4778
1465262191,4775,4775
1465263154,4730,4730
1465264110,4695,4695
1465265134,4694,4694
1465266276,4681,4681
1465267224,4634,4634
1465268206,4626,4626
1465269142,4640,4640
1465270157,4680,4680
1465271064,4665,4665
1465272056,4623,4623
1465272987,4612,4612
1465273979,4599,4599
1465274903,4596,4596
1465275875,4564,4564
1465276830,4553,4553
1465277802,4553,4553
1465278745,4554,4554
1465279737,4596,4596
1465280655,4617,4617
1465281634,4845,4845
1465282606,4892,4892
1465283562,4904,4904
1465284510,4891,4891
1465285491,4903,4903
1465286445,4892,4892
1465287392,4898,4898
1465288362,4909,4909
1465289321,4902,4902
1465290258,4890,4890
1465291246,4888,4888
1465292183,4878,4878
1465293330,4879,4879
1465294348,4914,4914
1465295308,4878,4878
1465296261,4899,4899
1465297252,4875,4875
1465298191,4870,4870
1465299178,4872,4872
1465300108,4875,4875
1465301068,4873,4873
1465302041,4886,4886
1465303000,4866,4866
1465303959,4892,4892
1465304920,4908,4908
1465305860,4897,4897
1465306848,4898,4898
1465308069,4897,4897
1465308994,4891,4891
1465309955,4898,4898
1465310917,4884,4884
1465311865,4904,4904
1465312823,4888,4888
1465313812,4924,4924
1465314751,4932,4932
1465315707,4941,4941
1465316665,4940,4940
1465317624,4921,4921
1465318584,4915,4915
1465319558,4928,4928
1465320508,4891,4891
1465321463,4922,4922
1465322455,4924,4924
1465323394,4930,4930
1465324349,4895,4895
1465325324,4895,4895
1465326275,4895,4895
1465327228,4898,4898
1465328189,4890,4890
1465329155,4905,4905
1465330104,4893,4893
1465331069,4908,4908
1465332027,4944,4944
1465332992,4956,4956
1465334016,4976,4976
1465335149,4991,4991
1465336121,4994,4994
1465337055,5004,5004
1465338022,4998,4998
1465338988,4945,4945
1465339944,4979,4979
1465340905,5011,5011
1465341925,5013,5013
1465343062,5022,5022
1465344036,5040,5040
1465344993,4970,4970
1465345955,4995,4995
1465346913,5003,5003
1465347854,5039,5039
1465348831,5065,5065
1465349790,5086,5086
1465350749,5095,5095
1465351705,5095,5095
1465352658,5126,5126
1465353639,5124,5124
1465354581,5121,5121
1465355548,5079,5079
1465356507,5098,5098
1465357457,5121,5121
1465358431,5173,5173
1465359387,5184,5184
1465360360,5216,5216
1465361304,5201,5201
1465362258,5241,5241
1465363232,5239,5239
1465364186,5240,5240
1465365148,5217,5217
1465366118,5238,5238
1465367054,5115,5115
1465368026,4888,4888
1465369008,4822,4822
1465369973,4841,4841
1465370901,4847,4847
1465371857,4841,4841
1465372838,4843,4843
1465373782,4835,4835
1465374760,4838,4838
1465375709,4810,4810
1465376658,4788,4788
1465377631,4809,4809
1465378583,4821,4821
1465379546,4810,4810
1465380511,4757,4757
1465381458,4720,4720
1465382420,4751,4751
1465383389,4755,4755
1465384346,4759,4759
1465385311,4741,4741
1465386257,4756,4756
