DateTime,Entries,UniqueIPs
1465407635,5734,5789
1465408583,5716,5771
1465409556,5742,5798
1465410514,5697,5753
1465411459,5687,5743
1465412427,5698,5753
1465413397,5684,5739
1465414352,5676,5731
1465415302,5691,5746
1465416259,5681,5736
1465417233,5679,5734
1465418181,5702,5758
1465419154,5732,5788
1465420100,5760,5817
1465421065,5771,5829
1465422030,5766,5824
1465422987,5766,5824
1465423943,5746,5803
1465424922,5708,5765
1465425856,5718,5776
1465426851,5724,5782
1465427791,5697,5756
1465429006,5727,5788
1465429940,5742,5803
1465430936,5686,5746
1465431853,5667,5727
1465432840,5682,5741
1465433793,5707,5766
1465434756,5730,5790
1465435711,5764,5824
1465436669,5747,5807
1465437645,5735,5795
1465438596,5737,5797
1465439551,5747,5807
1465440512,5754,5815
1465441462,5720,5781
1465442416,5705,5766
1465443387,5716,5777
1465444391,5740,5801
1465445308,5763,5824
1465446261,5756,5817
1465447230,5773,5834
1465448188,5771,5832
1465449151,5781,5842
1465450111,5791,5852
1465451065,5752,5813
1465452035,5759,5821
1465453006,5625,5686
1465453949,5410,5470
1465454916,5387,5448
1465455863,5382,5443
1465456845,5362,5423
1465457773,5348,5409
1465458763,5343,5403
1465459700,5352,5411
1465460959,5326,5387
1465462101,5335,5395
1465463058,5279,5340
1465464026,5299,5360
1465465012,5257,5317
1465465943,5225,5284
1465466906,5255,5314
1465467850,5234,5293
1465468818,5209,5270
1465469789,5204,5265
1465470738,5232,5294
1465471713,5205,5267
1465472654,5245,5307
1465473642,5227,5289
1465474612,5173,5235
1465475553,5216,5281
1465476500,5164,5229
1465477465,5182,5247
1465478436,5176,5241
1465479385,5161,5228
1465480347,5160,5229
1465481308,5154,5224
1465482251,5181,5251
1465483247,5190,5259
1465484173,5214,5283
1465485145,5196,5265
1465486099,5167,5236
1465487054,5163,5233
1465488047,5149,5219
1465488975,5145,5215
1465489946,5176,5248
1465490907,5197,5269
1465491851,5191,5263
1465492764,5184,5256
1465493789,5172,5243
1465494755,5204,5275
1465496037,5163,5233
1465496948,5176,5246
1465497972,5140,5210
1465499058,5147,5217
