DateTime,Entries,UniqueIPs
1465400661,2624,2624
1465401896,2616,2616
1465402821,2616,2616
1465403783,2619,2619
1465404745,2620,2620
1465405719,2612,2612
1465406655,2610,2610
1465407635,2600,2600
1465408583,2603,2603
1465409556,2604,2604
1465410514,2590,2590
1465411459,2602,2602
1465412427,2594,2594
1465413397,2581,2581
1465414352,2562,2562
1465415302,2561,2561
1465416259,2557,2557
1465417233,2547,2547
1465418181,2551,2551
1465419154,2548,2548
1465420100,2555,2555
1465421065,2571,2571
1465422030,2598,2598
1465422987,2563,2563
1465423943,2535,2535
1465424922,2543,2543
1465425856,2552,2552
1465426851,2516,2516
1465427791,2498,2498
1465429006,2512,2512
1465429940,2513,2513
1465430936,2500,2500
1465431853,2481,2481
1465432840,2475,2475
1465433793,2476,2476
1465434756,2471,2471
1465435711,2448,2448
1465436669,2449,2449
1465437645,2415,2415
1465438596,2417,2417
1465439551,2397,2397
1465440512,2398,2398
1465441462,2394,2394
1465442416,2383,2383
1465443387,2359,2359
1465444391,2339,2339
1465445308,2335,2335
1465446261,2317,2317
1465447230,2322,2322
1465448188,2308,2308
1465449151,2290,2290
1465450111,2293,2293
1465451065,2288,2288
1465452035,2259,2259
1465453006,2261,2261
1465453949,2256,2256
1465454916,2292,2292
1465455863,2286,2286
1465456845,2280,2280
1465457773,2263,2263
1465458763,2249,2249
1465459700,2253,2253
1465460959,2222,2222
1465462101,2265,2265
1465463058,2253,2253
1465464026,2225,2225
1465465012,2206,2206
1465465943,2214,2214
1465466906,2244,2244
1465467850,2260,2260
1465468818,2220,2220
1465469789,2216,2216
1465470738,2210,2210
1465471713,2197,2197
1465472654,2226,2226
1465473642,2213,2213
1465474612,2207,2207
1465475553,2200,2200
1465476500,2210,2210
1465477465,2216,2216
1465478436,2202,2202
1465479385,2209,2209
1465480347,2224,2224
1465481308,2224,2224
1465482251,2227,2227
1465483247,2254,2254
1465484173,2263,2263
1465485145,2273,2273
1465486099,2271,2271
1465487054,2273,2273
1465488047,2276,2276
1465488975,2284,2284
1465489946,2290,2290
1465490907,2313,2313
1465491851,2314,2314
1465492764,2314,2314
1465493789,2333,2333
1465494755,2353,2353
1465496037,2362,2362
1465496948,2327,2327
1465497972,2334,2334
1465499058,2323,2323
1465500028,2304,2304
1465500975,2348,2348
1465501951,2357,2357
1465502896,2359,2359
1465503850,2374,2374
1465504823,2383,2383
1465506156,2367,2367
1465507210,2370,2370
1465508208,2358,2358
1465509144,2366,2366
1465510171,2401,2401
1465511084,2384,2384
1465512041,2376,2376
1465512985,2374,2374
1465513970,2391,2391
1465514910,2390,2390
1465515883,2361,2361
1465516837,2353,2353
1465517820,2347,2347
1465518751,2369,2369
1465519729,2346,2346
1465520659,2343,2343
1465521651,2350,2350
1465522583,2361,2361
1465523575,2368,2368
1465524508,2361,2361
1465525483,2364,2364
