DateTime,Entries,UniqueIPs
1465399709,107095,124842
1465400666,107064,124805
1465401900,106964,124684
1465402825,106912,124622
1465403787,106866,124566
1465404748,106840,124532
1465405723,106790,124469
1465406659,106787,124464
1465407639,106738,124412
1465408587,106687,124346
1465409560,106668,124326
1465410517,106635,124294
1465411463,106635,124295
1465412432,106643,124305
1465413401,106592,124249
1465414356,106455,124081
1465415306,106389,124001
1465416263,106318,123913
1465417237,106336,123932
1465418185,106255,123835
1465419158,106262,123846
1465420104,106214,123794
1465421069,106217,123798
1465422033,106086,123641
1465422991,106093,123653
1465423947,106098,123661
1465424926,105968,123518
1465425860,105976,123526
1465426856,105926,123469
1465427795,105906,123448
1465429010,105833,123358
1465429944,105782,123298
1465430939,105733,123240
1465431857,105688,123187
1465432844,105643,123137
1465433797,105607,123089
1465434759,105575,123058
1465435715,105532,123012
1465436673,105505,122981
1465437648,105460,122931
1465438600,105409,122866
1465439554,105381,122837
1465440516,105320,122769
1465441467,105266,122705
1465442420,105238,122666
1465443391,105184,122604
1465444395,105141,122558
1465445311,105091,122502
1465446265,105058,122467
1465447233,105014,122416
1465448191,104974,122364
1465449155,104925,122300
1465450115,104889,122262
1465451069,104838,122199
1465452039,104809,122161
1465453010,104755,122097
1465453952,104758,122103
1465454920,104711,122050
1465455867,104658,121987
1465456849,104598,121909
1465457776,104531,121828
1465458767,104453,121731
1465459704,104440,121720
1465460962,104417,121696
1465462104,104365,121634
1465463062,104328,121584
1465464030,104257,121502
1465465016,104231,121471
1465465947,104198,121429
1465466910,104202,121433
1465467854,104171,121392
1465468822,104105,121316
1465469793,104055,121256
1465470742,104009,121188
1465471716,104011,121196
1465472658,103985,121164
1465473645,103939,121108
1465474616,103875,121017
1465475556,103884,121026
1465476503,103853,120996
1465477469,103754,120853
1465478439,103756,120860
1465479390,103734,120832
1465480350,103689,120777
1465481312,103643,120719
1465482255,103568,120628
1465483250,103553,120615
1465484177,103491,120541
1465485149,103478,120524
1465486102,103396,120430
1465487058,103379,120408
1465488050,103307,120312
1465488979,103262,120255
1465489950,103236,120226
1465490910,103194,120171
1465491855,103153,120125
1465492767,103109,120074
1465493793,103061,120021
1465494759,103028,119980
1465496041,102947,119865
1465496951,102934,119845
1465497976,102891,119787
1465499061,102875,119769
1465500032,102815,119692
1465500979,102736,119593
1465501955,102694,119537
1465502900,102659,119491
1465503854,102624,119452
1465504827,102592,119409
1465506159,102545,119346
1465507213,102491,119285
1465508212,102444,119234
1465509148,102382,119163
1465510175,102335,119104
1465511088,102269,119027
1465512045,102243,119000
1465512988,102188,118936
1465513974,102142,118887
1465514914,102096,118823
1465515887,102062,118784
1465516841,101974,118690
1465517824,101923,118622
1465518755,101863,118537
1465519733,101798,118466
1465520663,101785,118445
1465521654,101716,118361
1465522587,101689,118328
1465523579,101631,118261
1465524512,101592,118217
1465525487,101514,118127
1465526432,101448,118050
1465527420,101394,117978
1465528352,101350,117926
1465529347,101289,117858
1465530257,101257,117824
1465531261,101203,117754
1465532194,101146,117684
1465533175,101123,117657
1465534109,101046,117568
1465535367,101035,117556
1465536506,100965,117477
1465537459,100969,117482
1465538492,100899,117395
1465539646,100837,117332
1465540585,100801,117283
1465541573,100752,117232
1465542510,100757,117241
1465543475,100622,117095
1465544432,100628,117104
1465545409,100530,116986
1465546355,100533,116992
1465547332,100423,116875
1465548271,100424,116876
1465549259,100303,116733
1465550183,100306,116738
1465551190,100165,116581
1465552118,100169,116585
1465553083,100103,116506
1465554034,100057,116457
1465555002,100001,116390
1465555954,99967,116354
1465556922,99919,116299
1465557860,99819,116180
1465558847,99798,116151
1465559791,99733,116068
1465560774,99656,115984
1465561703,99592,115915
1465562677,99564,115874
1465563651,99476,115769
1465564605,99418,115705
1465565575,99377,115653
1465566520,99337,115597
1465567463,99270,115506
1465568450,99218,115446
1465569390,99163,115379
1465570367,99092,115292
1465571315,99061,115247
1465572277,99007,115174
1465573226,98926,115073
1465574210,98872,114994
1465575211,98805,114919
1465576131,98757,114867
1465577067,98699,114800
1465578058,98648,114737
1465579021,98611,114682
1465579991,98544,114599
1465580906,98483,114527
1465581882,98448,114483
1465582836,98370,114393
1465583799,98343,114352
1465584750,98278,114268
1465585729,98218,114208
1465586665,98177,114160
1465587639,98135,114109
1465588588,98076,114042
1465589569,98046,114007
1465590514,97987,113938
1465591487,97944,113891
1465592439,97891,113823
1465593404,97841,113749
1465594407,97793,113681
1465595328,97729,113603
1465596261,97687,113545
1465597244,97658,113503
1465598183,97613,113438
1465599171,97587,113407
1465600110,97541,113349
1465601078,97520,113327
1465602024,97466,113263
1465603013,97418,113203
1465603954,97368,113145
1465604926,97318,113082
1465605873,97276,113023
1465606861,97265,113010
1465607787,97188,112914
1465608793,97159,112874
1465609710,97095,112797
1465610677,97058,112745
1465611628,96990,112669
1465612620,96950,112620
1465613547,96885,112532
1465614530,96843,112479
1465615462,96781,112404
1465616447,96741,112357
1465617387,96694,112287
1465618376,96583,112151
1465619305,96545,112108
1465620288,96546,112115
1465621275,96406,111943
1465622211,96296,111810
1465623176,96301,111821
1465624123,96235,111737
1465625064,96198,111699
1465626044,96103,111581
1465626983,96020,111485
1465627975,95928,111373
1465628911,95884,111322
1465629885,95808,111231
1465630828,95744,111153
1465631815,95687,111079
1465632760,95571,110929
1465633732,95533,110880
1465634664,95537,110884
1465635675,95412,110729
1465636587,95413,110735
1465637586,95266,110550
1465638502,95269,110555
1465639490,95137,110388
1465640427,95067,110305
1465641415,94994,110220
1465642354,94916,110122
1465643336,94850,110042
1465644258,94763,109920
1465645251,94701,109845
1465646180,94711,109856
1465647192,94578,109686
1465648107,94494,109591
1465649088,94397,109471
1465650044,94401,109475
1465651007,94270,109327
1465651973,94275,109332
1465652948,94112,109140
1465653858,94113,109146
1465654853,93941,108949
1465655803,93950,108958
1465656773,93906,108906
1465657715,93847,108833
1465658695,93761,108728
1465659630,93735,108695
1465660620,93665,108608
1465661548,93600,108527
1465662543,93547,108463
1465663468,93482,108376
1465664474,93408,108294
1465665398,93362,108232
1465666391,93305,108175
1465667319,93244,108107
1465668296,92675,107469
1465669222,92033,106762
1465670216,91920,106633
1465671153,91868,106579
1465672140,91798,106490
1465673064,91739,106425
1465674094,91686,106365
1465675232,91612,106278
1465676273,91571,106223
1465677389,91492,106132
1465678347,91464,106100
1465679309,91406,106038
1465680258,91339,105938
1465681232,91305,105898
1465682179,91230,105818
1465683151,91178,105755
1465684105,91138,105713
1465685060,91056,105624
1465686048,90999,105558
1465686991,90938,105487
1465687953,90883,105422
1465688908,90827,105360
1465689862,90781,105313
1465690818,90748,105278
1465691790,90669,105177
1465692767,90604,105095
1465693712,90550,105033
1465694658,90451,104915
1465695626,90419,104879
1465696591,90349,104799
1465697556,90297,104743
1465698506,90241,104670
1465699464,90178,104604
1465700472,90143,104568
1465701387,90074,104494
1465702605,89954,104361
1465703549,89956,104363
1465704514,89839,104222
1465705457,89762,104131
1465706429,89767,104138
1465707390,89721,104080
1465708350,89577,103915
1465709315,89547,103876
1465710260,89483,103800
1465711240,89499,103818
1465712204,89390,103685
1465713147,89389,103692
1465714108,89279,103553
1465715066,89282,103556
1465716022,89227,103493
1465716982,89146,103403
1465717947,89043,103277
1465718901,89045,103284
1465719855,88950,103170
1465720829,88873,103084
1465721779,88806,103003
1465722745,88748,102931
1465723712,88645,102821
1465724656,88583,102737
1465725633,88522,102667
1465726591,88390,102507
1465727545,88398,102517
1465728506,88226,102329
1465729468,88059,102147
1465730418,88062,102151
1465731384,88003,102081
1465732347,87873,101934
1465733303,87878,101940
1465734253,87830,101876
1465735228,87761,101803
1465736181,87719,101751
1465737152,87641,101657
1465738111,87585,101585
1465739066,87499,101489
1465740073,87449,101433
1465740992,87396,101367
1465741943,87337,101304
1465742912,87304,101269
1465743868,87259,101212
1465744819,87225,101174
1465745786,87160,101095
1465746753,87112,101038
1465747705,87088,101013
1465748657,87002,100920
1465749634,86985,100896
1465750584,86920,100818
1465751550,86886,100779
1465752512,86809,100685
1465753459,86758,100628
1465754477,86703,100573
1465755383,86658,100525
1465756379,86592,100445
1465757312,86531,100375
1465758275,86499,100338
1465759218,86413,100235
1465760217,86350,100169
1465761153,86281,100101
1465762142,86232,100043
1465763066,86179,99987
1465764056,86134,99923
1465764986,86080,99853
1465765979,86025,99789
1465766914,86000,99759
1465767891,85907,99650
1465768837,85863,99599
1465769820,85766,99493
1465770750,85756,99485
1465771738,85666,99373
1465772662,85604,99310
1465773652,85500,99189
1465774579,85502,99194
1465775578,85362,99032
1465776542,85306,98970
1465777486,85228,98872
1465778427,85232,98877
1465779411,85120,98750
1465780349,85092,98719
1465781327,85000,98616
1465782280,84911,98519
1465783269,84871,98477
1465784205,84777,98371
1465785174,84728,98316
1465786122,84651,98227
1465787087,84578,98148
1465788014,84501,98058
1465789009,84404,97950
1465790019,84333,97874
1465790933,84274,97806
1465791858,84166,97688
1465792890,84126,97639
1465794039,84006,97503
1465794995,83873,97364
1465795972,83874,97367
1465796908,83791,97281
1465797863,83731,97202
1465798813,83657,97120
1465799782,83580,97032
1465800745,83582,97034
1465801706,83523,96965
1465802657,83367,96794
1465803632,83372,96800
1465804577,83261,96675
1465805548,83266,96680
1465806504,83185,96592
1465807456,83107,96506
1465808449,82993,96376
1465809386,82924,96301
1465810356,82857,96232
1465811311,82797,96161
1465812258,82751,96096
1465813222,82656,95978
1465814187,82618,95933
1465815143,82518,95819
1465816116,82463,95758
1465817060,82396,95684
1465818021,82348,95630
1465818989,82281,95551
1465819956,82191,95453
1465820900,82124,95377
1465822123,82075,95321
1465823076,82026,95269
1465824023,81969,95209
1465825004,81895,95124
1465825952,81849,95077
1465827011,81805,95027
1465828108,81715,94921
1465829055,81663,94863
1465830035,81512,94694
1465830990,81513,94699
1465832213,81376,94536
1465833152,81340,94496
1465834128,81255,94397
1465835060,81217,94352
1465836051,81140,94263
1465836985,81073,94191
1465837963,81009,94113
1465838919,80968,94052
1465839878,80949,94019
1465840878,80870,93936
1465841812,80715,93753
1465842747,80680,93719
1465843737,80604,93633
1465844667,80583,93606
1465845638,80479,93492
1465846579,80434,93437
1465847775,80299,93279
1465848746,80233,93203
1465849718,80122,93080
1465850660,80058,93001
1465851672,79959,92892
1465852586,79845,92764
1465853608,79728,92605
1465854745,79637,92498
1465855709,79573,92410
1465856654,79424,92217
1465857625,79331,92113
1465858588,79182,91945
1465859547,79115,91866
1465860499,79071,91804
1465861452,79007,91723
1465862442,78946,91654
1465863418,78902,91602
1465864361,78829,91513
1465865318,78775,91454
1465866254,78715,91385
1465867227,78685,91344
1465868193,78626,91273
1465869150,78560,91198
1465870105,78537,91172
1465871078,78489,91111
1465872028,78449,91066
1465872988,78386,90995
1465873950,78324,90928
1465874922,78290,90890
1465875852,78222,90812
1465876883,78173,90749
1465877787,78144,90710
1465878965,78083,90628
1465879980,78020,90562
1465880917,77996,90526
1465881856,77934,90447
1465882853,77910,90418
1465883789,77842,90345
