DateTime,AddedIPs,RemovedIPs
1464109442,77,67
1464111362,74,61
1464113283,0,2558
1464115444,2606,50
1464119283,54,61
1464123123,72,70
1464127204,51,74
1464129122,56,238
1464131044,168,0
1464132962,69,95
1464136802,47,72
1464140642,71,67
1464144482,83,87
1464150243,79,88
1464152163,89,76
1464156002,82,61
1464157923,63,523
1464159842,465,0
1464163923,66,57
1464165842,62,55
1464169923,66,70
1464173762,58,54
1464177607,65,59
1464179522,29,4457
1464181443,4427,0
1464183603,45,50
1464187442,60,57
1464191524,64,57
1464195363,67,66
1464199204,84,70
1464203042,58,230
1464205203,222,66
1464210965,64,64
1464212882,68,74
1464218648,53,75
1464220562,72,83
1464224403,40,55
1464226325,55,2228
1464228243,2179,0
1464232084,73,83
1464234004,98,123
1464237845,76,79
1464242168,79,53
1464246006,78,59
1464247931,38,2566
1464249846,2512,0
1464251763,76,58
1464257764,62,94
1464259682,115,50
1464263523,56,63
1464267363,57,53
1464271203,62,54
1464273367,59,68
1464277206,68,55
1464282962,57,71
1464284895,77,56
1464288728,76,76
1464292567,61,68
1464296406,62,75
1464298322,51,142
1464300246,53,0
1464302162,83,96
1464306002,73,71
1464309842,50,69
1464313684,77,76
1464317524,74,84
1464321606,98,105
1464323524,91,86
1464327363,91,92
1464331203,67,58
1464335042,72,57
1464338883,66,74
1464342724,68,61
1464346562,69,52
1464350402,69,63
1464352322,52,412
1464354243,353,0
1464356162,58,65
1464360002,64,57
1464364082,60,55
1464367924,45,59
1464371771,58,63
1464375603,69,49
1464377533,21,4383
1464379443,4362,0
1464381362,59,59
1464383284,119,109
1464385203,54,123
1464389282,63,78
1464393124,64,69
1464396962,51,74
1464400802,66,66
1464402721,23,4592
1464404642,4560,0
1464406562,97,103
1464410403,78,74
1464414242,76,59
1464418092,53,51
1464421934,61,60
1464425773,76,50
1464429602,64,44
1464431533,69,50
1464435613,52,62
1464439682,65,61
1464443524,55,51
1464447363,63,64
1464451203,48,66
1464453123,16,5403
1464455042,5396,0
1464456963,69,62
1464461042,55,63
1464464893,62,68
1464468963,58,51
1464472813,44,64
1464474784,57,69
1464476642,0,1831
1464478563,1878,59
1464482402,53,75
1464486242,71,70
1464490082,77,86
1464493923,91,102
1464497762,83,89
1464501603,64,40
1464505454,62,41
1464507364,62,45
1464511202,56,51
1464515042,65,48
1464518882,72,52
1464522964,62,52
1464526802,60,62
1464528723,36,3494
1464530643,3482,0
1464532562,71,66
1464536402,63,58
1464540243,56,66
1464544083,63,57
1464547924,53,62
1464551763,62,71
1464557524,21,5742
1464559442,5586,0
1464561362,146,74
1464565203,69,67
1464569282,46,84
1464575043,71,64
1464577022,84,82
1464580803,85,89
1464582733,77,73
1464586563,88,64
