DateTime,Entries,UniqueIPs
1464257764,6834,6834
1464259682,6899,6899
1464263523,6892,6892
1464267363,6896,6896
1464271203,6904,6904
1464273367,6895,6895
1464277206,6908,6908
1464282962,6894,6894
1464284895,6915,6915
1464288728,6915,6915
1464292567,6908,6908
1464296406,6895,6895
1464298322,6804,6804
1464300246,6857,6857
1464302162,6844,6844
1464306002,6846,6846
1464309842,6827,6827
1464313684,6828,6828
1464317524,6818,6818
1464321606,6811,6811
1464323524,6816,6816
1464327363,6815,6815
1464331203,6824,6824
1464335042,6839,6839
1464338883,6831,6831
1464342724,6838,6838
1464346562,6855,6855
1464350402,6861,6861
1464352322,6501,6501
1464354243,6854,6854
1464356162,6847,6847
1464360002,6854,6854
1464364082,6859,6859
1464367924,6845,6845
1464371771,6840,6840
1464375603,6860,6860
1464377533,2498,2498
1464379443,6860,6860
1464381362,6860,6860
1464383284,6870,6870
1464385203,6801,6801
1464389282,6786,6786
1464393124,6781,6781
1464396962,6758,6758
1464400802,6758,6758
1464402721,2189,2189
1464404642,6749,6749
1464406562,6743,6743
1464410403,6747,6747
1464414242,6764,6764
1464418092,6766,6766
1464421934,6767,6767
1464425773,6793,6793
1464429602,6813,6813
1464431533,6832,6832
1464435613,6822,6822
1464439682,6826,6826
1464443524,6830,6830
1464447363,6829,6829
1464451203,6811,6811
1464453123,1424,1424
1464455042,6820,6820
1464456963,6827,6827
1464461042,6819,6819
1464464893,6813,6813
1464468963,6820,6820
1464472813,6800,6800
1464474784,6788,6788
1464476642,4957,4957
1464478563,6776,6776
1464482402,6754,6754
1464486242,6755,6755
1464490082,6746,6746
1464493923,6735,6735
1464497762,6729,6729
1464501603,6753,6753
1464505454,6774,6774
1464507364,6791,6791
1464511202,6796,6796
1464515042,6813,6813
1464518882,6833,6833
1464522964,6843,6843
1464526802,6841,6841
1464528723,3383,3383
1464530643,6865,6865
1464532562,6870,6870
1464536402,6875,6875
1464540243,6865,6865
1464544083,6871,6871
1464547924,6862,6862
1464551763,6853,6853
1464557524,1132,1132
1464559442,6718,6718
1464561362,6790,6790
1464565203,6792,6792
1464569282,6754,6754
1464575043,6761,6761
1464577022,6763,6763
1464580803,6759,6759
1464582733,6763,6763
1464586563,6787,6787
1464590402,6786,6786
1464594242,6785,6785
1464598083,6792,6792
1464601923,6788,6788
1464607683,6799,6799
1464609602,6804,6804
1464611523,730,730
1464613442,3980,3980
1464615362,6799,6799
1464621122,6814,6814
1464623042,6821,6821
1464626882,6854,6854
1464632643,6879,6879
1464634563,6886,6886
1464638403,6876,6876
1464642243,6906,6906
1464644163,6859,6859
1464648003,6829,6829
1464652083,6837,6837
1464655924,6812,6812
1464659763,6823,6823
1464663603,6808,6808
1464665522,5175,5175
1464667442,6796,6796
1464669362,6795,6795
1464673203,6817,6817
1464678970,6822,6822
1464680882,6833,6833
1464684724,6833,6833
1464688563,6817,6817
1464692643,6836,6836
1464694564,6829,6829
1464698412,6851,6851
1464702482,6826,6826
1464706323,6827,6827
1464710163,6840,6840
1464714003,6841,6841
1464715929,4771,4771
1464717843,6868,6868
1464721684,6873,6873
1464723605,6867,6867
1464727444,6862,6862
1464731284,6850,6850
1464735125,6802,6802
1464738966,6841,6841
1464742807,6813,6813
1464744722,3712,3712
1464746646,6476,6476
1464748562,6812,6812
1464752403,6806,6806
1464756242,6812,6812
1464758164,6806,6806
1464760082,6838,6838
1464763924,6838,6838
1464767763,6851,6851
1464771842,6869,6869
1464775683,6887,6887
1464777603,6877,6877
1464781922,6876,6876
1464786002,6872,6872
1464787923,5883,5883
1464789843,6838,6838
1464791764,6883,6883
1464795603,6873,6873
1464799443,6903,6903
1464803282,6918,6918
1464807124,6916,6916
1464810963,6880,6880
1464814803,6922,6922
1464816723,5317,5317
1464818642,6733,6733
1464820803,6870,6870
1464824643,6864,6864
1464828482,6844,6844
1464832323,6852,6852
1464836163,6855,6855
1464840004,6858,6858
1464841923,1474,1474
1464843843,6857,6857
1464845763,6894,6894
1464849603,6900,6900
1464853442,6906,6906
1464857282,6915,6915
1464861124,6911,6911
1464864962,6908,6908
1464868803,6915,6915
1464870722,704,704
1464872644,6904,6904
1464874563,6899,6899
1464880573,6921,6921
1464882482,6923,6923
1464886334,6944,6944
1464890163,6952,6952
1464894003,6964,6964
1464895922,4440,4440
1464897842,6952,6952
1464899762,6959,6959
1464903603,6938,6938
1464907443,6898,6898
1464911283,6895,6895
1464915132,6869,6869
1464918963,6874,6874
1464922803,6857,6857
1464924722,1948,1948
1464926644,6864,6864
1464928563,6864,6864
1464932403,6855,6855
1464936243,6872,6872
1464942003,6881,6881
1464943932,6897,6897
1464947763,6892,6892
1464951603,6897,6897
