DateTime,AddedIPs,RemovedIPs
1463149207,23,0
1463149507,3,0
1463150107,3,0
1463150407,10,0
1463150708,22,0
1463151007,2,0
1463151307,11,0
1463166307,1,0
1463176507,1,0
1463178906,1,0
1463181906,1,0
1463200807,0,1
1463214007,0,1
1463230206,0,1
1463241306,0,1
1463246106,1,0
1463246407,1,0
1463259912,0,1
1463264707,0,1
1463265607,0,1
1463290807,2,0
1463297707,1,0
1463298906,0,1
1463300706,0,1
1463318407,0,1
1463336106,2,0
1463339707,0,1
1463349907,0,1
1463355007,1,0
1463362506,1,0
1463366106,0,1
1463371807,0,1
1463386208,1,0
1463394308,0,1
1463400606,0,1
1463402707,0,1
1463416507,1,0
1463430007,0,1
1463432106,0,1
1463436311,1,0
1463446206,1,0
1463471407,128,0
1463471707,90,0
1463472006,8,0
1463472307,116,0
1463472906,69,0
1463473206,1,0
1463474106,6,1
1463474406,5,0
1463474707,79,0
1463479207,0,1
1463502007,0,1
1463503206,2,0
1463503508,1,0
1463510407,1,0
1463525407,1,0
1463537407,0,1
1463538308,0,1
1463557806,47,0
1463558107,8,0
1463558406,44,0
1463558707,54,0
1463559309,52,0
1463560206,28,0
1463560507,17,0
1463560807,5,0
1463561707,0,1
1463562308,1,0
1463568907,0,1
1463574607,0,1
1463576707,0,1
1463582407,0,1
1463583907,0,1
1463585707,38,0
1463586007,25,0
1463586307,34,0
1463586607,1,0
1463587509,9,0
1463595607,1,0
1463597107,0,1
1463598307,1,0
1463613907,0,1
1463620207,0,1
1463642407,0,1
1463643307,0,1
1463655007,0,1
1463661307,0,1
1463675706,0,1
1463679907,0,1
1463686207,0,1
1463689207,0,1
1463699109,1,0
1463705706,0,2
1463706007,0,1
1463721007,0,1
1463722207,1,0
1463724906,3,0
1463730007,60,1
1463730607,68,0
1463731508,14,0
1463731808,71,0
1463732107,34,0
1463732407,40,0
1463732707,1,0
1463733906,0,1
1463736006,0,1
1463740207,0,1
1463748907,31,0
1463749207,115,0
1463749506,59,0
1463749806,37,0
1463750108,24,0
1463751008,1,0
1463752207,9,0
1463752506,18,0
1463761506,0,1
1463763607,0,2
1463771407,0,1
1463784607,0,1
1463803508,0,1
1463807408,5,0
1463832307,0,2
1463832607,0,1
1463845507,0,1
1463846706,0,1
1463847906,0,1
1463852106,0,1
1463867106,1,0
1463872807,0,1
1463878807,1,0
1463884807,0,1
1463895007,0,1
1463921707,0,1
1463933706,0,1
1463935207,3,0
1463962807,0,1
1463966706,2,0
1463969107,0,1
1463976308,0,1
1463980807,0,1
1463990407,9,0
1463990711,61,0
1463991007,19,0
1463991908,44,0
1463992206,73,0
1463992506,8,0
1463992807,40,0
1463993107,18,3
1463993707,60,1
1464004806,0,1
1464010207,0,1
1464011706,0,1
1464012607,0,1
1464018007,2,0
1464020407,0,1
1464026106,0,1
1464029407,0,1
1464041706,1,0
1464054906,0,1
1464064806,1,0
1464075607,107,0
1464075907,53,0
1464076208,34,0
1464076507,33,0
1464077406,1,0
1464077706,17,0
1464078007,7,0
1464078307,27,0
1464078606,2,0
1464078906,4,0
1464079806,28,0
1464080107,5,0
1464082807,0,1
1464085807,0,1
1464104706,0,1
1464105007,2,0
1464110406,0,1
1464114307,1,0
1464123307,0,2
1464124207,1,0
1464125107,0,1
1464133507,0,1
1464140407,0,1
1464162606,6,0
1464162907,101,0
1464163207,68,0
1464163507,18,0
1464164108,1,0
1464164407,3,0
1464164707,4,0
1464165307,31,0
1464166207,47,0
1464167707,3,0
1464169207,0,1
1464169806,1,0
1464174312,0,16
1464178808,0,1
1464181506,0,1
1464183607,7,0
1464183907,5,0
1464184207,9,0
1464185407,0,1
1464186007,31,0
1464186308,33,0
1464186607,23,0
