DateTime,AddedIPs,RemovedIPs
1463782506,0,1
1463783407,0,1
1463784906,30,0
1463787007,0,1
1463807408,0,1
1463814907,0,1
1463835607,0,1
1463851508,0,2
1463851807,0,1
1463852107,0,1
1463853008,0,1
1463853607,0,1
1463854207,0,1
1463854807,0,1
1463859307,0,1
1463860207,36,0
1463864408,0,1
1463864708,0,1
1463884807,0,1
1463903407,0,1
1463903707,0,2
1463907907,0,1
1463909408,0,1
1463911508,0,1
1463911808,0,1
1463914207,0,1
1463919008,0,1
1463921107,0,2
1463921407,0,2
1463921707,0,1
1463931308,0,1
1463935806,0,1
1463936107,0,1
1463938506,82,0
1463939407,3,0
1463939706,67,1
1463943008,69,0
1463943307,0,1
1463943908,2,0
1463946007,26,0
1463973007,0,1
1463986806,0,1
1463987407,0,1
1463987707,0,2
1463988007,0,1
1463988307,0,2
1463988606,0,2
1463988907,0,3
1463989207,0,1
1463989507,0,1
1463989806,0,1
1463990107,0,2
1463990407,0,2
1463990712,0,1
1463991008,0,2
1464013207,0,1
1464013807,0,1
1464014107,0,1
1464014407,0,1
1464015007,0,1
1464015307,0,1
1464015607,0,2
1464015913,0,2
1464016208,0,1
1464016807,0,1
1464017707,0,1
1464018607,0,1
1464020708,0,1
1464021007,0,1
1464025207,0,1
1464025507,0,2
1464026406,39,0
1464027607,0,1
1464028806,0,1
1464029108,0,1
1464030607,0,2
1464030906,0,1
1464031207,0,1
1464033907,0,1
1464035409,0,1
1464035707,0,2
1464043507,0,1
1464044407,13,0
1464050708,0,2
1464051006,0,1
1464054007,0,1
1464054307,0,1
1464054608,0,1
1464069607,0,1
1464075007,0,1
1464091507,0,1
1464096607,0,1
1464105607,0,1
1464111007,0,1
1464116107,0,1
1464118207,0,1
1464130507,0,1
1464153307,0,1
1464162908,0,1
1464168007,0,1
1464171607,0,1
1464177907,0,1
1464178508,0,1
1464179408,0,1
1464179707,1,0
1464180907,0,1
1464181207,0,1
1464189307,0,3
1464189607,0,4
1464189908,0,1
1464190208,0,1
1464190507,0,1
1464192606,0,1
1464194108,0,1
1464199207,0,1
1464199508,0,1
1464205808,0,1
1464227107,0,1
1464234907,11,0
1464255307,0,2
1464255908,0,1
1464256207,6,0
1464256507,34,0
1464257109,2,1
1464257707,19,1
1464258007,0,1
1464258309,0,1
1464258607,0,3
1464258907,0,2
1464259207,0,1
1464259508,0,1
1464259807,0,1
1464269407,0,2
1464270007,0,1
1464270307,0,1
1464270907,0,1
1464271509,0,2
1464272407,0,1
1464272707,0,1
1464273307,0,3
1464282608,0,1
1464282907,0,2
1464287107,68,0
1464287408,5,0
1464289508,47,0
1464290707,0,1
1464293407,0,1
1464298507,0,3
1464306007,0,1
1464307808,0,1
1464326407,0,1
1464331808,0,3
1464332106,0,1
1464332707,0,1
1464334207,0,1
1464336007,0,1
1464337807,0,1
1464341108,0,2
1464341407,0,2
1464342607,0,1
1464348307,0,1
1464348907,0,1
1464349207,0,1
1464349508,0,1
1464351607,0,2
1464351907,0,1
1464374107,0,1
1464375007,0,1
1464376508,0,2
1464378607,0,1
1464379208,0,1
1464388207,0,1
1464416407,1,0
1464422105,28,0
1464422408,15,0
1464426907,22,0
1464428407,3,0
1464430208,1,0
1464431707,0,1
1464432608,1,0
1464433207,0,2
1464433507,0,1
1464439207,1,0
1464444008,0,1
1464449108,1,0
1464450307,1,0
1464451509,0,1
1464465913,0,2
1464469808,0,1
1464471007,0,1
1464471306,0,1
1464471607,0,2
1464472807,0,2
1464474907,0,2
1464479107,0,1
1464492008,0,1
1464516607,0,1
1464516907,0,1
1464533408,0,1
1464560707,0,2
1464561007,0,1
1464591607,0,1
1464597607,0,1
1464597908,0,1
1464607208,0,1
1464607808,0,1
1464608107,0,3
1464608707,0,1
1464619807,0,1
1464625207,1,0
1464625507,1,0
1464625808,18,0
1464628507,0,1
1464631206,10,0
1464631510,0,1
1464646506,0,1
1464662708,0,1
1464667507,0,1
1464672307,1,0
1464676507,0,1
1464680107,0,1
1464692107,0,1
1464699607,0,1
1464702907,9,0
1464703507,51,1
1464705006,0,1
1464705607,0,1
1464705908,0,1
1464706207,0,2
