DateTime,Entries,UniqueIPs
1465212238,340,87040
1465213269,343,88320
1465215441,347,89344
1465216877,340,87552
1465217772,334,86016
1465218677,335,86272
1465220469,337,86784
1465222283,339,87296
1465224076,329,84736
1465225866,327,84224
1465227676,333,85760
1465229478,338,87040
1465231279,326,83968
1465233073,318,81920
1465234874,319,82176
1465235769,309,79616
1465236692,320,82432
1465237076,313,80640
1465238473,316,81408
1465239402,312,80384
1465242100,314,80896
1465242976,315,81152
1465243888,321,82688
1465245677,312,80384
1465246577,311,80128
1465247479,312,80384
1465249272,315,81152
1465251560,322,82944
1465251974,311,80128
1465252880,313,80640
1465254762,313,80640
1465255591,310,79872
1465256475,316,81408
1465258280,328,84480
1465259089,319,82176
1465260077,322,82944
1465261884,321,82688
1465263678,325,83712
1465264586,322,82944
1465265467,334,86016
1465267278,329,84736
1465269073,330,84992
1465270876,336,86528
1465271770,331,85248
1465272700,341,87808
1465274563,336,86528
1465275384,333,85248
1465276276,336,86016
1465277178,334,85504
1465278308,339,87040
1465280281,348,89344
1465281679,346,88832
1465283479,339,87040
1465285121,340,87296
1465287080,347,89088
1465287989,337,86528
1465288874,336,86272
1465291161,338,86784
1465292471,337,86528
1465294673,344,88320
1465296133,336,86528
1465297922,333,86016
1465299677,336,86784
1465300572,332,85760
1465301474,345,89088
1465303471,341,88064
1465305076,344,88832
1465306022,341,88064
1465306988,342,88320
1465308678,345,89088
1465309622,334,86272
1465310479,337,87040
1465312272,338,87296
1465313176,334,86272
1465314075,336,86784
1465315874,338,87296
1465316800,328,84736
1465317682,333,86016
1465321279,333,86016
1465323094,339,87552
1465324878,331,85504
1465326675,329,84992
1465328475,333,86016
1465329377,328,84736
1465330293,336,86784
1465332076,330,85248
1465334335,333,86016
1465335682,338,87296
1465337475,341,88064
1465339276,332,85760
1465341513,331,85504
1465342708,332,85760
1465343833,325,83968
1465345115,335,86528
1465346479,323,83456
1465347375,318,82176
1465349175,315,81408
1465350078,319,82432
1465351890,325,83968
1465352848,312,80640
1465353680,320,82688
1465355304,319,82432
1465357279,319,82432
1465359111,324,83712
1465359989,312,80640
1465360970,314,81152
1465363085,314,81152
1465364569,313,80896
1465366284,321,82944
1465367194,311,80384
1465368092,314,81152
1465369876,312,80640
1465371678,315,81664
1465372577,314,81408
1465373478,327,84736
1465375279,318,82432
1465377563,315,81664
1465378880,319,82688
1465379775,315,81408
1465380681,329,84992
1465381573,318,82176
1465382481,323,83456
1465384322,323,83200
1465386078,325,83712
1465386973,322,82944
1465387880,335,86272
1465389683,327,84224
1465391810,322,82944
1465393280,329,84736
1465394179,326,83968
1465395081,338,87040
1465396881,331,85248
1465397774,332,85504
1465398676,331,85248
1465400481,332,85504
1465402279,343,88320
1465404081,341,87808
1465405878,342,88064
1465406771,339,87296
1465407675,344,88576
1465409480,351,90368
1465411280,342,88064
1465413080,338,87040
1465414896,344,88576
1465416685,351,90368
1465417733,344,88576
1465418477,349,89856
1465419372,345,88832
1465420275,347,89344
1465421170,343,88320
1465422080,346,89088
1465423881,351,90368
1465425688,347,89344
1465427943,345,88832
1465428373,344,88576
1465429295,351,90368
1465430175,349,89856
1465431080,360,92672
1465431977,349,89856
1465432890,352,90624
1465435197,354,91136
1465436479,355,91392
1465438285,365,93952
1465440080,358,92160
1465441879,355,91392
1465442778,350,90112
1465443680,355,91392
1465444573,351,90368
1465445489,364,93696
1465446426,352,90624
1465447453,357,91904
1465449487,355,91392
1465450990,358,92160
1465451779,356,91648
1465452685,366,94208
1465454476,356,91648
1465455373,352,90624
1465456281,355,91392
1465457120,354,91136
1465458033,356,91648
1465460273,363,93440
1465460787,351,90368
1465461675,353,90880
1465463940,351,90368
1465464377,348,89600
1465465277,352,90624
1465467081,355,91392
1465468877,343,88320
1465471107,341,87808
1465472479,344,88576
1465474281,351,90368
1465476100,340,87552
1465477884,336,86528
1465479919,341,88064
1465481310,344,88832
1465483278,334,86528
1465484172,332,86016
1465485083,333,86272
1465485976,332,86016
1465486875,336,87040
1465487783,333,86272
1465488694,347,89856
1465490638,335,86784
1465492279,336,87040
1465494073,338,87552
1465494972,333,86272
1465496235,340,88064
1465496816,329,85248
