DateTime,AddedIPs,RemovedIPs
1465196173,0,256
1465198048,0,1280
1465198879,256,0
1465199776,0,256
1465200690,2560,0
1465202471,0,2048
1465204368,0,256
1465206087,768,768
1465208235,2560,256
1465209677,256,2304
1465212238,256,0
1465213269,512,1024
1465215441,2560,0
1465216877,256,3328
1465217772,0,768
1465220469,512,512
1465221551,0,512
1465222283,2560,0
1465224076,512,2048
1465224970,0,512
1465225866,768,0
1465227676,768,768
1465229478,2304,768
1465231279,0,3328
1465233073,256,0
1465234874,256,1280
1465235769,0,512
1465236692,2816,0
1465238473,256,2304
1465240271,0,256
1465242100,768,1024
1465242976,256,0
1465243888,2304,0
1465245677,0,2048
1465246577,0,512
1465249272,512,1280
1465250174,0,768
1465251560,1792,0
1465252880,256,3328
1465253774,0,768
1465256475,768,768
1465258280,3584,1536
1465259089,0,2048
1465260077,512,0
1465261884,256,768
1465263678,768,768
1465264586,0,512
1465265467,2304,0
1465267278,768,1536
1465268172,0,512
1465270876,768,1280
1465271770,0,256
1465272700,2560,0
1465274563,256,2560
1465276276,256,768
1465278308,1280,1536
1465280281,2048,768
1465281679,768,3072
1465283479,0,768
1465284395,0,1024
1465285121,768,0
1465287080,3072,0
1465288874,256,2048
1465291161,0,1024
1465292471,512,1024
1465294673,2560,512
1465296133,512,1536
1465297922,512,0
1465299677,256,1024
1465300572,0,512
1465301474,3072,0
1465303471,256,2048
1465304177,0,512
1465305076,1024,0
1465306988,0,256
1465308678,2560,512
1465309622,0,2304
1465310479,256,0
1465311376,0,1280
1465313176,0,256
1465314075,256,0
1465315874,1792,768
1465317682,512,2048
1465318570,0,768
1465321279,0,512
1465323094,2560,768
1465323976,0,1280
1465324878,768,0
1465326675,0,768
1465327613,0,512
1465328475,768,0
1465330293,1792,0
1465332076,256,2048
1465334335,512,768
1465335682,768,768
1465337475,2304,0
1465339276,256,3584
1465340171,0,1280
1465341513,256,0
1465343833,0,1024
1465345115,2304,0
1465346479,0,2304
1465348275,0,1792
1465350078,256,512
1465350974,0,768
1465351890,2816,0
1465352848,0,2560
1465353680,1536,0
1465355304,256,1792
1465357279,256,768
1465359111,3072,768
1465360970,256,3072
1465363085,768,768
1465364569,0,1024
1465366284,3072,256
1465368092,256,3840
1465369876,0,1536
1465371678,256,512
1465373478,3328,256
1465375279,256,2816
1465377563,256,1792
1465378880,512,1024
1465380681,2816,1024
1465382481,512,3840
1465384322,0,1024
1465385223,0,256
1465386078,768,0
1465387880,3328,512
1465389683,512,4352
1465390755,0,1536
1465391810,256,0
1465393280,2304,1280
1465394179,0,768
1465395081,2816,0
1465396022,0,3584
1465396881,256,0
1465398676,512,0
1465400481,256,1280
1465402279,3328,512
1465404081,512,4608
1465404968,0,1280
1465405878,256,0
1465407675,1024,1536
1465408564,0,256
1465409480,2304,0
1465411280,256,3072
1465412169,0,1024
1465413971,0,512
1465414896,1024,0
1465416685,2304,0
1465417733,0,2816
1465419372,0,2304
1465420275,256,0
1465422080,256,1280
1465423881,1536,512
1465425688,1280,3840
1465427943,0,768
1465428373,0,1536
1465429295,512,0
1465430175,0,1280
1465431080,2816,0
1465431977,0,3584
1465435197,0,1792
1465436479,0,1280
1465438285,3584,0
1465438879,0,3840
1465440080,256,0
1465441879,512,768
1465442778,0,1792
1465443680,1280,0
1465445489,3328,768
1465446426,0,2304
1465447453,256,0
1465449487,0,768
1465450990,768,1280
1465452685,2560,0
1465454476,256,3072
1465456281,256,2304
1465458033,256,512
1465460273,2560,0
1465460787,0,2304
1465463940,256,1024
1465465277,1024,768
1465466173,0,256
1465467081,2560,0
1465468877,0,3584
1465471107,0,512
1465472479,768,1024
1465474281,2560,1536
1465475170,0,3840
1465476100,512,0
1465477016,0,1792
1465477884,768,0
1465479919,1280,1024
1465480577,0,512
1465481310,2560,0
1465483278,512,3328
1465484172,256,2560
1465486875,512,512
1465488694,2816,512
1465490638,256,3840
1465491373,0,1536
1465492279,768,0
1465494073,512,1280
1465494972,0,1280
1465496235,1536,0
1465497696,0,2048
1465498607,0,1280
1465501275,256,1536
1465503085,2816,512
1465504874,256,3072
1465507109,512,1024
1465508479,512,1536
1465510278,2816,512
1465511174,0,2816
1465512084,256,0
1465513900,0,768
1465514775,0,256
1465515682,1024,0
1465516575,0,768
1465517296,2816,0
1465518382,0,2304
1465520175,0,2048
1465521509,0,1024
1465522882,256,0
1465523786,0,1792
1465524679,3072,0
1465526485,256,2560
1465527375,0,1536
1465528672,256,0
1465530078,256,512
1465531888,3072,2048
1465533754,0,3328
1465535479,768,2560
1465537375,768,512
1465538202,0,1536
1465539079,2304,0
1465539400,256,0
