DateTime,AddedIPs,RemovedIPs
1464851473,4608,4608
1464853274,4864,4864
1464855081,4352,4352
1464855985,512,512
1464856877,4864,4864
1464858682,4608,4608
1464860477,4352,4352
1464862266,3328,3328
1464864075,3072,3072
1464865877,4096,4096
1464867677,3840,3840
1464869481,4096,4096
1464871096,4608,4608
1464873432,4352,4352
1464874879,3584,3584
1464876668,4864,4864
1464878477,4608,4608
1464880275,4096,4096
1464882082,4096,4096
1464883883,4352,4352
1464884280,256,256
1464884777,256,256
1464885798,4352,4352
1464887477,4096,4096
1464889270,4096,4096
1464891798,3840,3840
1464892878,4096,4096
1464895001,4352,4352
1464896478,3840,3840
1464898660,4096,4096
1464899172,256,256
1464900080,3840,3840
1464901879,3584,3584
1464903680,3584,3584
1464905483,3840,3840
1464907289,4096,4096
1464909439,4608,4608
1464910901,4096,4096
1464912710,4096,4096
1464913810,4864,4864
1464916742,4608,4608
1464918082,4608,4608
1464919883,4608,4608
1464921673,4352,4352
1464923473,4352,4352
1464925149,3840,3840
1464927542,4864,4864
1464929075,4864,4864
1464930675,4096,4096
1464932688,3584,3584
1464934277,4608,4608
1464936149,5120,5120
1464937704,4608,4608
1464939822,3584,3584
1464941476,3840,3840
1464943117,4096,4096
1464945579,3840,3840
1464946871,3840,3840
1464949162,4352,4352
1464950471,4864,4864
1464952281,4352,4352
1464954071,4096,4096
1464955877,4352,4352
1464957673,4352,4352
1464959476,4608,4608
1464961270,4352,4352
1464963078,4352,4352
1464964875,4352,4352
1464966678,4608,4608
1464968471,3840,3840
1464970269,4608,4608
1464972076,4608,4608
1464974339,3584,3584
1464975681,4352,4352
1464977468,4096,4096
1464979266,4608,4608
1464981075,4608,4608
1464982880,3584,3584
1464984684,4352,4352
1464986474,4608,4608
1464988265,4096,4096
1464990083,3840,3840
1464991874,3840,3840
1464993739,3840,3840
1464995941,4352,4352
1464997287,4352,4352
1464999077,4352,4352
1465000869,3840,3840
1465002668,3840,3840
1465004473,3840,3840
1465006274,4352,4352
1465008080,4096,4096
1465009881,4096,4096
1465011672,4096,4096
1465013480,4352,4352
1465015368,4608,4608
1465017075,4352,4352
1465018986,3584,3584
1465020667,4096,4096
1465022311,4352,4352
1465024273,3840,3840
1465026076,3840,3840
1465027876,3840,3840
1465029679,3840,3840
1465031481,3328,3328
1465033269,3328,3328
1465035072,4352,4352
1465036868,4096,4096
1465038714,3584,3584
1465040482,4096,4096
1465042272,4096,4096
1465044072,4096,4096
1465045869,4352,4352
1465047678,4096,4096
1465049473,3840,3840
1465051265,3840,3840
1465053072,3840,3840
1465054703,4096,4096
1465057179,4352,4352
1465058471,4352,4352
1465060270,3840,3840
1465062069,4352,4352
1465063882,4352,4352
1465065668,4096,4096
1465067476,3840,3840
1465069119,3328,3328
1465071440,3584,3584
1465072871,3840,3840
1465074667,3584,3584
1465076473,2816,2816
1465078275,3328,3328
1465080075,3584,3584
1465081917,3584,3584
1465083672,4096,4096
1465085476,4352,4352
1465087276,4352,4352
1465089073,4608,4608
1465090880,3840,3840
1465093055,4352,4352
1465094477,4608,4608
1465096275,4096,4096
1465098091,4096,4096
1465099900,4352,4352
1465101778,4608,4608
1465103482,4608,4608
1465105318,4352,4352
1465107077,4352,4352
1465108878,4096,4096
1465110676,4096,4096
1465112479,4352,4352
1465114275,4352,4352
1465116074,4864,4864
1465117785,4608,4608
1465119672,4352,4352
1465121482,4096,4096
1465123287,4352,4352
1465125118,4608,4608
1465126492,4608,4608
1465129582,4608,4608
1465130356,4608,4608
1465132268,4352,4352
1465134088,4352,4352
1465135873,4608,4608
1465137685,4608,4608
1465139327,4096,4096
1465141276,4352,4352
1465143074,4864,4864
1465144886,4864,4864
1465147117,4608,4608
1465148484,4096,4096
1465150282,4096,4096
1465151508,3840,3840
1465153875,3840,3840
1465155675,3328,3328
1465157842,4352,4352
1465159275,4352,4352
1465161555,3584,3584
1465162871,3328,3328
1465164673,4096,4096
1465166481,4096,4096
1465168272,4096,4096
1465170068,3840,3840
1465171880,4096,4096
1465173673,3840,3840
1465175911,3840,3840
1465177277,3072,3072
1465179072,3840,3840
1465180880,4096,4096
1465182671,3584,3584
1465184473,3584,3584
1465186313,3840,3840
1465188193,4352,4352
1465189876,4096,4096
1465191516,4096,4096
1465193868,4096,4096
1465195279,4352,4352
1465197071,4352,4352
1465198879,4352,4352
1465200690,4096,4096
1465202471,4352,4352
1465204368,3840,3840
1465206087,4096,4096
1465208235,4096,4096
1465209677,4096,4096
1465212238,4096,4096
1465213269,3840,3840
1465215441,4352,4352
1465216877,4864,4864
1465218677,4096,4096
1465220469,4352,4352
1465222283,4608,4608
1465224076,4096,4096
1465225866,4096,4096
1465227676,4608,4608
1465229478,4608,4608
1465231279,4608,4608
1465233073,4096,4096
1465234874,4096,4096
1465236692,4352,4352
1465238473,4352,4352
1465240271,3584,3584
1465242100,3072,3072
1465242976,256,256
1465243888,3584,3584
1465245677,3584,3584
1465247479,3584,3584
1465249272,3840,3840
1465251560,3840,3840
1465252880,4096,4096
1465254762,4096,4096
1465256475,4608,4608
1465258280,4864,4864
1465260077,4864,4864
1465261884,4352,4352
1465263678,4352,4352
1465265467,4864,4864
1465267278,4864,4864
1465269073,4352,4352
1465270876,4096,4096
1465272700,4096,4096
1465274563,4864,4864
1465276276,4352,4352
1465278308,3584,3584
1465280281,4608,4608
1465281679,4864,4864
1465283479,4096,4096
1465285121,3328,3328
1465287080,4096,4096
1465288874,4352,4352
1465291161,3584,3584
1465292471,3584,3584
1465294673,3840,3840
1465296133,4096,4096
1465297922,3840,3840
1465299677,3840,3840
1465301474,4352,4352
1465303471,4608,4608
1465305076,4608,4608
1465306988,3584,3584
1465308678,3840,3840
1465310479,4352,4352
1465312272,3840,3840
1465314075,3584,3584
1465315874,3584,3584
1465317682,3840,3840
1465319472,3584,3584
1465321279,3584,3584
1465323094,4096,4096
1465324878,4096,4096
1465326675,3584,3584
1465328475,3584,3584
1465330293,3584,3584
1465332076,4096,4096
1465334335,3840,3840
1465335682,3840,3840
1465337475,3840,3840
1465339276,3584,3584
1465341513,3840,3840
1465342708,4096,4096
1465345115,4096,4096
1465346479,4096,4096
1465348275,3840,3840
1465350078,3840,3840
1465351890,3840,3840
1465353680,4096,4096
1465355304,4352,4352
1465357279,4608,4608
1465359111,4608,4608
1465360970,4096,4096
1465363085,3840,3840
1465364569,4096,4096
1465366284,4608,4608
1465368092,4864,4864
1465369876,4608,4608
1465371678,4352,4352
1465373478,4352,4352
1465375279,4352,4352
1465377563,3840,3840
1465378880,4608,4608
1465380681,4864,4864
1465382481,4608,4608
1465384322,4352,4352
1465386078,4352,4352
1465387880,4352,4352
1465389683,4608,4608
1465391810,4352,4352
1465393280,4096,4096
1465395081,4608,4608
1465396881,4608,4608
1465397774,256,256
1465398676,4352,4352
1465400481,4352,4352
1465402279,4352,4352
1465404081,4608,4608
1465405878,4608,4608
1465407675,3840,3840
1465409480,3840,3840
1465411280,4096,4096
1465413080,3584,3584
1465413520,256,256
1465414896,4352,4352
1465416685,4096,4096
1465418477,4096,4096
1465420275,4096,4096
1465422080,2816,2816
1465423881,3328,3328
1465425688,4352,4352
1465427943,4352,4352
1465429295,4352,4352
1465431080,4096,4096
1465432890,4352,4352
1465435197,4608,4608
1465436479,4096,4096
1465438285,4352,4352
1465440080,4352,4352
1465441879,3840,3840
1465443680,3840,3840
1465445489,4096,4096
1465447453,4096,4096
1465449487,4352,4352
1465450990,4096,4096
1465452685,4352,4352
1465454476,4608,4608
1465456281,4096,4096
1465458033,3584,3584
1465460273,4096,4096
1465461675,4096,4096
1465463940,3840,3840
1465465277,3840,3840
1465467081,4096,4096
1465468877,4096,4096
1465471107,4096,4096
1465472479,3840,3840
1465474281,4096,4096
