DateTime,AddedIPs,RemovedIPs
1462702086,5,6
1462705927,1,2
1462709766,9,8
1462713608,0,1
1462717446,2,1
1462721284,6,6
1462725123,2,2
1462728965,3,2
1462732807,4,3
1462744323,2,2
1462748164,5,5
1462752004,3,5
1462755843,15,19
1462759690,4,4
1462763526,6,3
1462767363,0,1
1462771203,2,2
1462775047,2,1
1462778882,3,3
1462782725,3,3
1462786806,7,6
1462790645,4,6
1462794486,5,5
1462798325,5,4
1462825206,1,1
1462836725,1,1
1462840567,9,9
1462844408,9,8
1462848246,11,13
1462852086,3,4
1462859764,2,1
1462863602,3,0
1462867444,2,2
1462871284,2,2
1462878970,3,2
1462882813,4,3
1462890734,1,1
1462902243,0,1
1462906084,1,0
1462909924,1,1
1462913763,12,13
1462929603,19,19
1462933444,1,1
1462937284,1,1
1462941124,1,1
1462944964,3,2
1462948803,5,6
1462952885,1,1
1462956723,2,2
1462960566,3,3
1462964407,5,3
1462968243,3,4
1462972084,1,1
1462987683,1,1
1462992014,2,2
1462999683,1,0
1463007366,1,0
1463015043,8,10
1463022724,1,0
1463026808,3,3
1463030648,1,1
1463034483,3,4
1463038323,1,0
1463042166,2,3
1463046007,2,1
1463061368,2,1
1463072884,1,1
1463084644,1,0
1463100004,7,8
1463103846,14,15
1463107684,2,3
1463111524,1,1
1463115365,3,3
1463119208,1,1
1463123285,1,1
1463131203,2,1
1463135047,1,1
1463138886,1,1
1463158083,1,1
1463161924,1,1
1463165764,1,1
1463169610,2,2
1463173446,1,1
1463177286,1,0
1463181126,1,1
1463184967,5,6
1463188806,2,2
1463192648,4,3
1463196487,2,3
1463200325,6,7
1463208003,2,2
1463211842,3,1
1463215686,3,2
1463219527,2,1
1463223364,2,2
1463227206,4,5
1463246407,1,1
1463257923,1,1
1463265603,4,4
1463273283,13,12
1463277124,4,6
1463280963,9,8
1463284807,3,2
1463292486,2,3
1463296325,2,2
1463304006,2,3
1463307845,1,1
1463319363,4,5
1463323204,6,7
1463330883,8,8
1463334724,1,1
1463338567,1,1
1463353923,2,3
1463357764,8,11
1463361604,3,3
1463365447,15,13
1463369288,4,4
1463373123,1,1
1463376966,5,6
1463380819,4,5
1463388483,3,3
1463392325,2,2
1463396163,1,1
1463400005,0,2
1463405763,1,0
1463409606,1,1
1463417287,2,2
1463421126,0,1
1463440334,1,1
1463444163,5,3
1463455684,5,5
1463459524,2,2
1463463366,1,1
1463467203,1,2
1463471046,3,3
1463474887,2,1
1463478728,1,1
1463482566,1,1
1463486403,1,1
1463505603,1,1
1463509446,1,1
1463513284,1,1
1463517124,1,1
1463520971,13,13
1463524805,1,1
1463528642,1,1
1463532484,9,8
1463549772,1,1
1463553606,2,2
1463565125,1,1
1463568964,2,3
1463572804,3,5
1463576644,2,3
1463580485,1,1
1463584323,1,1
1463603526,1,1
1463607371,1,1
1463611207,1,1
1463618884,9,9
1463622724,12,12
1463626569,2,2
1463634243,1,0
1463638083,2,0
1463649845,8,7
1463657526,2,3
1463661365,4,5
1463669282,1,1
1463680803,2,2
1463700012,1,1
1463703846,1,1
1463715366,1,1
1463719206,4,5
1463723043,1,1
1463726883,5,8
1463730724,2,0
1463734567,2,4
1463740568,4,4
1463744406,1,1
1463748243,1,1
1463752088,1,1
1463790963,4,2
1463798643,5,5
1463802483,6,6
1463810166,1,1
1463814003,2,2
1463817843,4,5
1463821685,2,3
1463825764,3,4
1463829616,2,3
1463833443,2,2
1463837285,5,6
1463841122,2,3
1463844964,3,3
1463848803,2,2
1463852648,1,3
1463856483,4,4
1463860325,2,2
1463864163,5,5
1463868005,1,1
1463875684,5,7
1463879764,14,14
1463883608,1,1
1463887444,5,6
1463891524,2,2
1463895363,1,1
1463899203,2,1
1463903046,6,6
1463906884,2,2
1463910724,4,4
1463914563,3,3
1463918403,3,2
1463922244,7,5
1463933763,2,2
1463937844,1,1
1463941683,2,2
1463953211,9,9
1463957049,6,5
1463960886,3,5
1463964726,8,8
1463968566,1,1
1463972407,4,3
1463976244,2,1
1463980084,0,1
1463983924,3,1
1463987763,2,1
1463991604,5,4
1463995443,2,2
1464003133,2,2
1464010814,1,1
1464026166,1,1
1464030004,2,1
1464033842,0,1
1464037686,2,1
1464041524,0,1
1464045366,1,1
1464049208,9,10
1464056882,4,4
1464060734,1,1
1464064803,1,1
1464068645,1,1
1464072483,5,4
1464076324,2,2
1464084010,1,2
1464087844,2,2
1464095527,1,1
1464099366,1,0
1464103206,0,1
1464107045,1,0
1464110884,0,1
1464114723,1,0
1464130085,0,1
1464133924,0,1
1464137765,4,4
1464141603,6,6
1464145443,1,2
1464149284,1,1
1464153366,5,6
1464157206,0,1
1464161048,1,1
1464164883,4,4
1464168725,1,2
1464172563,2,2
1464176403,1,1
1464180243,3,3
1464222483,43,43
1464230169,1,3
1464234003,2,2
1464237844,4,3
1464242166,6,5
1464246005,2,1
1464249845,1,1
1464253685,1,1
1464257763,1,1
1464265447,1,2
1464269286,1,2
1464281043,1,1
1464311765,2,2
1464315612,1,0
1464327124,2,1
1464330967,1,0
1464338644,5,6
1464346325,1,1
1464354003,1,1
1464361684,1,1
1464369364,1,1
1464373203,2,2
1464377045,2,1
1464380883,2,2
1464384724,2,3
1464392406,1,1
1464396245,3,4
1464400084,2,4
1464403927,6,5
1464407771,3,3
1464415443,5,5
1464419284,0,1
1464423124,3,3
1464430807,5,6
1464434643,1,1
1464438484,3,3
1464442323,2,2
1464450003,1,1
1464453843,4,4
1464461525,9,8
1464465378,3,3
1464469684,1,2
1464473523,5,4
1464477363,1,0
1464481205,2,2
1464485044,2,1
1464489124,1,1
1464492964,3,3
1464496805,1,2
1464500643,1,1
1464504483,2,3
1464508325,5,5
1464512163,8,8
1464516005,1,1
1464519842,1,0
1464523685,1,1
1464542884,2,1
1464546725,3,2
1464550563,1,1
1464554403,1,1
1464558243,1,1
1464565924,1,2
1464569768,6,6
1464577444,0,1
1464581286,1,0
1464585128,0,1
1464589204,1,1
1464593045,1,2
1464596882,1,1
1464600724,1,1
1464604563,1,1
1464608403,4,4
1464616084,1,3
1464619926,2,2
1464627605,1,1
1464631444,1,1
1464635296,1,1
1464642966,1,1
1464646862,1,1
1464654485,14,13
1464658324,2,1
1464662167,7,6
1464669844,3,3
1464673686,1,1
1464677526,4,4
1464681366,2,4
1464685249,2,4
1464689043,1,1
1464692886,4,4
1464696724,2,2
1464700566,1,1
1464704406,1,1
1464712088,1,1
1464715928,1,1
1464719763,0,1
1464735124,1,0
1464738965,0,1
1464742806,12,10
1464754329,1,1
1464758162,3,3
1464777367,3,3
1464781207,4,4
1464785054,3,1
1464788884,1,1
1464792725,2,2
1464808089,1,1
1464819606,1,1
1464823448,1,1
1464827284,1,0
1464831133,18,18
1464834963,3,3
1464838804,3,3
1464842642,3,3
1464846484,2,3
1464850327,5,4
1464854165,2,2
1464858003,4,3
1464861844,2,2
1464870017,5,5
1464889206,1,1
1464893044,1,1
1464904566,1,1
1464912243,2,1
1464916087,1,1
1464920164,10,13
1464927843,0,1
1464931684,1,1
1464943207,1,0
1464947044,0,1
1464970085,1,0
1464973922,1,1
1465004642,23,22
1465008485,3,3
1465012327,2,2
1465031764,2,2
1465035603,3,3
1465039447,1,1
1465043287,6,6
1465047125,1,1
1465050964,2,2
1465062487,2,2
1465066324,1,1
1465070164,1,1
1465081684,1,1
1465085524,8,6
1465089367,1,1
1465093209,3,4
1465097046,1,1
1465100884,1,1
1465104724,2,2
1465108567,2,2
1465112404,3,5
1465116244,1,1
1465120083,2,4
1465123929,1,1
1465127766,3,2
1465131604,1,1
1465135443,5,5
1465139286,2,1
1465143365,2,2
1465147204,0,1
1465151043,1,2
1465154884,1,1
1465162564,1,1
1465170244,1,1
1465174082,16,18
1465177926,4,4
1465181764,1,1
1465193284,1,1
1465197124,1,1
1465208643,1,1
1465212485,1,1
1465239365,1,1
1465247044,2,1
1465250884,1,1
1465258806,23,28
1465270324,1,1
1465278008,4,5
1465285684,5,4
1465289536,5,5
1465297443,3,4
1465301285,4,3
1465305364,1,1
1465309207,1,1
1465332247,1,1
1465336087,1,1
1465347663,1,1
1465351443,31,32
1465355285,2,3
1465362963,3,3
1465366803,1,2
1465370646,1,1
1465374483,4,4
1465378324,0,1
1465382163,2,3
1465386004,8,6
1465389843,2,3
1465393685,0,1
1465401845,1,1
1465409525,1,1
1465417204,1,1
1465421047,1,1
1465432809,17,14
1465436642,13,14
1465448166,1,1
1465455844,1,1
1465459683,1,1
1465463524,1,1
1465467363,1,1
1465475044,1,2
1465504083,1,1
1465515372,1,1
1465523042,14,17
1465526884,1,1
1465530724,1,1
1465534564,1,1
1465538402,0,1
1465542243,1,1
1465607524,12,10
1465615203,3,3
1465619045,1,3
1465622883,1,1
1465634404,3,2
1465642083,3,5
1465673044,1,1
1465692243,6,5
1465696084,3,4
1465699924,0,1
1465703763,1,2
1465711445,5,4
1465715282,2,1
1465719125,1,1
1465722963,3,3
1465726805,5,4
1465730644,1,1
1465746003,1,2
