DateTime,AddedIPs,RemovedIPs
1454185957,5,13
1454272382,5,2
1454358949,6,8
1454445203,8,10
1454705064,7,7
1454791443,3,4
1454877824,5,5
1454964284,6,7
1455050669,3,4
1455137059,5,6
1455223444,8,3
1455309836,5,8
1455396180,7,3
1455482610,2,5
1455569003,5,3
1455655446,1,5
1455741806,1,4
1455828278,5,7
1455914560,4,2
1456000995,3,6
1456088003,4,6
1456173824,5,2
1456260226,5,6
1456346650,6,3
1456432997,2,2
1456519460,3,9
1456605787,9,5
1456692193,3,7
1456778660,5,6
1456865296,7,5
1456951462,3,9
1457037827,7,4
1457124219,3,7
1457210568,5,6
1457297032,7,4
1457383425,4,4
1457469938,7,10
1457556295,8,11
1457642673,12,5
1457729251,4,6
1457815604,13,10
1457898517,6,7
1457984790,6,13
1458071117,12,5
1458157490,5,10
1458243844,5,6
1458330218,4,6
1458416611,5,4
1458503096,5,4
1458589591,3,6
1458676044,6,4
1461872606,23,25
1461959027,5,11
1462045391,7,1
1462131811,1,6
1462218299,6,3
1462304646,2,8
1462391040,5,5
1462477415,6,5
1462563773,5,5
1462650077,2,6
1462736513,3,9
1462822978,6,6
1462909404,9,4
1462995827,4,6
1463082163,6,6
1463168535,7,3
1463254952,3,6
1463341336,5,2
1463427888,1,8
1463514269,5,2
1463600684,3,8
1463687080,5,6
1463773548,10,7
1463859695,5,1
1463946206,5,6
1464032911,6,6
1464119088,5,7
1464205470,9,5
1464291957,2,5
1464378267,5,8
1464464573,6,4
1464550967,5,7
1464637433,5,4
1464723910,7,3
1464810265,2,4
1464896667,4,3
1464983081,1,3
1465069414,1,1
1465155811,3,3
1465242339,4,5
1465328629,6,4
1465371845,2,9
1465458285,5,2
1465544619,4,4
1465630993,3,3
1465717569,1,3
