DateTime,Entries,UniqueIPs
1454099576,328,328
1454185957,320,320
1454272382,323,323
1454358949,321,321
1454445203,319,319
1454705064,319,319
1454791443,318,318
1454877824,318,318
1454964284,317,317
1455050669,316,316
1455137059,315,315
1455223444,320,320
1455309836,317,317
1455396180,321,321
1455482610,318,318
1455569003,320,320
1455655446,316,316
1455741806,313,313
1455828278,311,311
1455914560,313,313
1456000995,310,310
1456088003,308,308
1456173824,311,311
1456260226,310,310
1456346650,313,313
1456432997,313,313
1456519460,307,307
1456605787,311,311
1456692193,307,307
1456778660,306,306
1456865296,308,308
1456951462,302,302
1457037827,305,305
1457124219,301,301
1457210568,300,300
1457297032,303,303
1457383425,303,303
1457469938,300,300
1457556295,297,297
1457642673,304,304
1457729251,302,302
1457815604,305,305
1457898517,304,304
1457984790,297,297
1458071117,304,304
1458157490,299,299
1458243844,298,298
1458330218,296,296
1458416611,297,297
1458503096,298,298
1458589591,295,295
1458676044,297,297
1461872606,295,295
1461959027,289,289
1462045391,295,295
1462131811,290,290
1462218299,293,293
1462304646,287,287
1462391040,287,287
1462477415,288,288
1462563773,288,288
1462650077,284,284
1462736513,278,278
1462822978,278,278
1462909404,283,283
1462995827,281,281
1463082163,281,281
1463168535,285,285
1463254952,282,282
1463341336,285,285
1463427888,278,278
1463514269,281,281
1463600684,276,276
1463687080,275,275
1463773548,278,278
1463859695,282,282
1463946206,281,281
1464032911,281,281
1464119088,279,279
1464205470,283,283
1464291957,280,280
1464378267,277,277
1464464573,279,279
1464550967,277,277
1464637433,278,278
1464723910,282,282
1464810265,280,280
1464896667,281,281
1464983081,279,279
1465069414,279,279
1465155811,279,279
1465242339,278,278
1465328629,280,280
1465371845,273,273
1465458285,276,276
1465544619,276,276
1465630993,276,276
