DateTime,Entries,UniqueIPs
1465318800,95009,2246728
1465319472,95006,2245960
1465319822,94992,2245946
1465320724,94981,2245935
1465322400,95079,2245570
1465323094,95086,2247362
1465323976,95083,2246084
1465324200,95090,2246091
1465326000,95305,2247109
1465326675,95302,2246341
1465327441,95309,2246349
1465328406,95307,2245837
1465328631,95309,2245839
1465329600,95475,2246805
1465330293,95482,2248597
1465331400,95486,2248601
1465332817,95479,2246809
1465333200,95575,2246927
1465334335,95586,2246683
1465335001,95586,2246683
1465335409,95580,2246677
1465336800,95735,2246872
1465337475,95744,2249176
1465337956,95756,2249188
1465338600,95769,2249201
1465339548,95773,2249205
1465339925,95762,2245879
1465340400,95847,2245999
1465341348,95845,2244721
1465341513,95846,2244977
1465344000,95949,2245110
1465344031,95976,2244118
1465345115,95983,2246421
1465345800,95987,2246425
1465347663,96086,2244254
1465348275,96079,2242462
1465348636,96018,2242400
1465349401,96017,2242399
1465350343,96019,2242401
1465351200,96129,2242297
1465351443,96121,2242289
1465352100,96126,2244334
1465353000,96131,2244339
1465353944,94773,2240210
1465354800,95123,2242167
1465355285,95123,2242167
1465355304,95119,2240633
1465358400,95317,2240430
1465359124,95327,2242734
1465359310,95344,2242751
1465360249,95355,2242762
1465361100,95353,2242760
1465362000,95583,2240277
1465362963,95584,2240278
1465363085,95588,2240282
1465365216,95585,2239259
1465365600,95744,2239480
1465366500,95755,2242296
1465366803,95754,2242295
1465367451,95760,2242301
1465368973,95747,2238718
1465369200,95935,2238996
1465369259,95937,2238998
1465369876,95932,2237463
1465370110,95942,2237473
1465370646,95943,2237474
1465371984,95942,2237474
1465372800,96081,2237194
1465373478,96092,2240265
1465374483,96093,2240266
1465374647,96096,2240269
1465376400,96272,2237960
1465377422,96270,2237958
1465377563,96265,2236423
1465378324,96264,2236422
1465379053,96259,2236417
1465380000,96578,2236304
1465380681,96587,2238098
1465380910,96592,2238103
1465381848,96597,2238108
1465382163,96597,2238108
1465382968,96585,2234781
1465383600,96806,2235083
1465384322,96803,2234060
1465386004,96806,2233809
1465387200,97031,2234895
1465387880,97040,2237709
1465389048,97047,2237717
1465389843,97049,2237719
1465390800,97171,2234108
1465391700,97169,2232577
1465391822,97172,2232580
1465392372,97174,2232837
1465392649,97173,2232836
1465393685,97172,2232835
1465393755,97173,2233855
1465394400,97344,2234114
1465395300,97352,2236162
1465396244,97356,2236166
1465397100,94678,2229044
1465397525,94679,2229300
