DateTime,Entries,UniqueIPs
1457818496,3846,3846
1457905692,3844,3844
1457992819,3842,3842
1458079939,3850,3850
1458167096,3850,3850
1458254209,3854,3854
1458341300,3856,3856
1458428433,3860,3860
1458515822,3860,3860
1458602925,3859,3859
1458690022,3858,3858
1458777160,3861,3861
1458864252,3866,3866
1458951396,3873,3873
1459038537,3879,3879
1459125622,3874,3874
1459212770,3877,3877
1459300117,3893,3893
1459387253,3914,3914
1459474421,3918,3918
1459561473,3922,3922
1459648591,3925,3925
1459735722,3926,3926
1459823068,3929,3929
1459910196,3916,3916
1459997303,3916,3916
1460084443,3922,3922
1460171560,3920,3920
1460258699,3920,3920
1460345839,3920,3920
1460432919,3932,3932
1460520090,3934,3934
1460607172,3934,3934
1460694259,3935,3935
1460781415,3934,3934
1460868595,3932,3932
1460955653,3930,3930
1461042654,3932,3932
1461129846,3937,3937
1461216974,3933,3933
1461304114,3924,3924
1461391234,3921,3921
1461478388,3922,3922
1461565455,3926,3926
1461652601,3922,3922
1461739712,3924,3924
1461826837,3917,3917
1461913941,3928,3928
1462001065,3931,3931
1462088195,3933,3933
1462175327,3935,3935
1462262430,3934,3934
1462349585,3934,3934
1462436657,3942,3942
1462523808,3942,3942
1462610904,3944,3944
1462698061,3937,3937
1462785171,3940,3940
1462872483,3950,3950
1462959629,3959,3959
1463046743,3958,3958
1463134158,3987,3987
1463221253,3999,3999
1463308359,3998,3998
1463395455,3998,3998
1463482586,3997,3997
1463569727,4008,4008
1463656845,4006,4006
1463743961,4034,4034
1463831055,4047,4047
1463918186,4048,4048
1464005306,4042,4042
1464092449,4039,4039
1464179576,4041,4041
1464353823,4042,4042
1464440909,4056,4056
1464528011,4050,4050
1464615153,4050,4050
1464702268,4044,4044
1464789384,4045,4045
1464876505,4043,4043
1464963878,4038,4038
1465050986,4039,4039
1465138113,4039,4039
1465225235,4038,4038
1465312396,4036,4036
1465399397,4039,4039
1465486531,4041,4041
1465573730,4040,4040
1465660826,4042,4042
1465748041,4040,4040
