DateTime,Entries,UniqueIPs
1460361978,2144,2144
1460363845,2153,2153
1460365797,2145,2145
1460367720,2159,2159
1460369596,2148,2148
1460371498,2129,2129
1460373506,2127,2127
1460375392,2108,2108
1460377323,2091,2091
1460379202,2066,2066
1460381340,2919,2919
1460383281,2916,2916
1460385213,2920,2920
1460387100,2923,2923
1460389178,2907,2907
1460391212,2870,2870
1460393094,2863,2863
1460395034,2862,2862
1460396967,2874,2874
1460398848,2876,2876
1460400768,2881,2881
1460402692,2900,2900
1460404644,2882,2882
1460406557,2870,2870
1460410587,2832,2832
1460412506,2832,2832
1460414427,2835,2835
1460416292,2814,2814
1460418296,2795,2795
1460427512,2020,2020
1460444701,2009,2009
1460455720,1950,1950
1460457642,1958,1958
1460459559,1956,1956
1460467783,2746,2746
1460471757,2929,2929
1460473734,2982,2982
1460477677,3029,3029
1460479734,3059,3059
1460481902,3104,3104
1460484768,3188,3188
1460488888,3168,3168
1460491710,3429,3429
1460502510,4334,4334
1460505375,4423,4423
1460507301,2618,2618
1460509258,2642,2642
1460513098,3858,3858
1460515013,3917,3917
1460522666,4160,4160
1460524587,4204,4204
1460526508,4230,4230
1460528440,4296,4296
1460533252,4496,4496
1460536397,4649,4649
1460538276,4854,4854
1460541162,4929,4929
1460544031,5014,5014
1460546221,5020,5020
1460548107,5065,5065
1460550309,5160,5160
1460557957,5831,5831
1460560863,5841,5841
1460575467,6023,6023
1460578364,6026,6026
1460580818,6029,6029
1460585567,6040,6040
1460608582,3868,3868
1460615588,3832,3832
1460617484,3779,3779
1460619431,3739,3739
1460625188,3840,3840
1460628097,3812,3812
1460630953,3681,3681
1460638635,3416,3416
1460642676,5131,5131
1460646120,5090,5090
1460652133,4968,4968
1460655149,4935,4935
1460657061,4863,4863
1460664984,4770,4770
1460667880,4709,4709
1460671784,4599,4599
1460677701,4398,4398
1460682761,2875,2875
1460684654,2882,2882
1460686578,2878,2878
1460688536,2871,2871
1460690680,2887,2887
1460693561,2946,2946
1460695452,3008,3008
1460698833,2912,2912
1460700772,2764,2764
1460702659,2885,2885
1460705567,3023,3023
1460713455,3178,3178
1460715415,3190,3190
1460717321,3149,3149
1460720177,3104,3104
1460722144,3092,3092
1460724041,3097,3097
1460725959,4259,4259
1460727863,4282,4282
1460731707,4415,4415
1460740359,4314,4314
1460742520,4249,4249
1460753572,4050,4050
1460757413,4006,4006
1460759335,3994,3994
1460761265,3964,3964
1460763183,3949,3949
1460769861,2935,2935
1460771791,2942,2942
1460773715,2952,2952
1460776836,2964,2964
1460778769,2942,2942
1460782587,3061,3061
1460786450,3033,3033
1460789777,3006,3006
1460791697,2958,2958
1460793628,2949,2949
1460795549,2931,2931
1460797472,2836,2836
1460799384,2812,2812
1460801819,2835,2835
1460803714,2849,2849
1460806620,2738,2738
1460808589,2710,2710
1460810469,2691,2691
1460814500,3860,3860
1460819555,3853,3853
1460823185,3824,3824
1460827234,3825,3825
1460829152,3771,3771
1460832984,3726,3726
1460834912,3712,3712
1460836842,3691,3691
1460838761,3704,3704
1460850508,3380,3380
1460857231,2196,2196
1460864906,2188,2188
1460871866,2131,2131
1460879548,1910,1910
1460887266,2024,2024
1460890182,2110,2110
1460895381,2118,2118
1460898518,2083,2083
1460900428,3140,3140
1460907161,3120,3120
1460911236,3130,3130
1460913158,3131,3131
1460915058,3101,3101
1460919851,2993,2993
1460921781,3050,3050
1460924681,3108,3108
1460927558,3108,3108
1460931407,3191,3191
1460935216,3223,3223
1460937137,3185,3185
1460949378,2344,2344
1460951303,2312,2312
1460954191,2310,2310
1460956106,2315,2315
1460960042,2343,2343
1461137294,2096,2096
1461171480,2992,2992
1461179064,2972,2972
1461180980,2964,2964
1461183847,2934,2934
1461185770,2928,2928
1461187690,2912,2912
1461190591,2883,2883
1461192496,2870,2870
1461197294,2813,2813
1461260511,3481,3481
1461265577,3454,3454
1461267437,3443,3443
1461269391,3414,3414
1461275108,3307,3307
1461278178,3287,3287
1461341869,3477,3477
1461344512,3473,3473
1461347312,3475,3475
1461349212,3442,3442
1461351139,3439,3439
1461353052,3448,3448
1461354986,3431,3431
1461356909,3428,3428
1461358853,3423,3423
1461360754,3429,3429
1461390747,2949,2949
1461393648,3076,3076
1461395566,3115,3115
1461397478,3173,3173
1461400346,3233,3233
1461408247,3352,3352
1461413060,3270,3270
1461415935,3219,3219
1461422671,4239,4239
1461452899,4218,4218
1461460584,2868,2868
1461462503,2833,2833
1461464417,2828,2828
1461466335,2807,2807
1461470177,2758,2758
1461472094,2757,2757
1461474018,2771,2771
1461475938,2759,2759
1461480031,2749,2749
1461481939,2769,2769
1461483852,2774,2774
1461485781,2764,2764
1461487711,2682,2682
1461489607,2626,2626
1461491548,2576,2576
1461493448,2571,2571
1461495397,2564,2564
1461503304,3696,3696
1461533060,3318,3318
1461538857,3213,3213
1461541704,3157,3157
1461581074,2325,2325
1461592869,3287,3287
1461595062,3211,3211
1461597849,3208,3208
1461599784,3199,3199
1461604850,3225,3225
1461612533,3229,3229
1461622148,3179,3179
1461624039,3158,3158
1461625964,3147,3147
1461646147,2300,2300
1461777863,2956,2956
1461784599,2870,2870
1461788423,2755,2755
1461790344,2701,2701
1461793215,2632,2632
1461795160,2600,2600
1461797051,2587,2587
1461810492,1506,1506
1461812431,1488,1488
1462071383,1486,1486
1462073302,1483,1483
1462077137,1491,1491
1462081331,1486,1486
1462083158,1494,1494
1462146025,2051,2051
1462168885,1245,1245
1462170798,1247,1247
1462172692,1236,1236
1462174628,1253,1253
1462176564,1237,1237
1462178466,1213,1213
1462180402,1230,1230
1462184483,1216,1216
1462186386,1251,1251
1462188302,1252,1252
1462195208,2057,2057
1462197136,2066,2066
1462199045,2065,2065
1462200981,2066,2066
1462202903,2077,2077
1462204823,2050,2050
1462206742,2051,2051
1462208650,2087,2087
1462220919,2127,2127
1462223149,2175,2175
1462226171,2159,2159
1462236733,986,986
1462250200,1794,1794
1462252133,1809,1809
1462254050,1808,1808
1462255982,1786,1786
1462257884,1803,1803
1462259808,1814,1814
1462371758,2339,2339
1462373768,2341,2341
1462375691,2342,2342
1462377634,2331,2331
1462407650,456,456
1462409552,435,435
1462423215,1258,1258
1462425148,1234,1234
1462475779,1778,1778
1462489447,1761,1761
1462521628,1778,1778
1462523544,1802,1802
1462540583,2344,2344
1462542514,2346,2346
1462544421,2362,2362
1462546337,2368,2368
1462596730,1782,1782
1462599612,1790,1790
1462603466,1797,1797
1462605394,1810,1810
1462607311,1812,1812
1462609220,1805,1805
1462611147,1810,1810
1462613064,1805,1805
1462630354,2726,2726
1462632262,2739,2739
1462634176,2754,2754
1462636101,2746,2746
1462638262,2725,2725
1462640184,2732,2732
1462642106,2763,2763
1462644980,2797,2797
1462647854,2799,2799
1462649775,2807,2807
1462651960,2805,2805
1462653855,2799,2799
1462655790,2791,2791
1462657705,2785,2785
1462659636,2788,2788
1462661547,2782,2782
1462663475,2776,2776
1462666345,968,968
1462668253,945,945
1462674016,2090,2090
1462675941,2099,2099
1462677849,2077,2077
1462679770,2064,2064
1462682676,2072,2072
1462684611,2074,2074
1462686517,2102,2102
1462818031,4508,4508
1462823800,4509,4509
1462826653,4506,4506
1462828577,4497,4497
1462830497,4497,4497
1462832420,4482,4482
1462834343,4468,4468
1462836254,4468,4468
1462838182,4461,4461
1462843008,2976,2976
1462845860,3003,3003
1462847782,3000,3000
1462850670,2950,2950
1462859799,2885,2885
1462864051,2827,2827
1462866011,2808,2808
1462870837,2826,2826
1462878534,3052,3052
1462880399,3049,3049
1462882369,3079,3079
1462899926,4724,4724
1462922648,4762,4762
1462924568,4729,4729
1462927448,2014,2014
1462944542,3947,3947
1462946464,3982,3982
1462986252,5327,5327
1463016265,3364,3364
1463019142,3444,3444
1463025863,3357,3357
1463033562,3572,3572
1463083953,5299,5299
1463101273,1686,1686
1463104095,3920,3920
1463110343,3956,3956
1463118014,3913,3913
1463121858,3937,3937
1463125000,3918,3918
1463129305,3944,3944
1463137452,3882,3882
1463139388,3890,3890
1463141314,3885,3885
1463273315,1224,1224
1463277164,3136,3136
1463279065,3134,3134
1463280996,3142,3142
1463282912,3133,3133
1463286254,3027,3027
1463288179,3059,3059
1463291085,3050,3050
1463293007,3026,3026
1463295934,2973,2973
1463297773,2929,2929
1463299698,2882,2882
1463303540,2854,2854
1463305452,2847,2847
1463307381,2803,2803
1463309308,2752,2752
1463311217,2686,2686
1463313088,2638,2638
1463316023,2610,2610
1463409879,4192,4192
1463586983,2647,2647
1463588908,2621,2621
1463606482,2083,2083
1463670041,1486,1486
1463671952,1487,1487
1463673854,1499,1499
1463677709,1499,1499
1463679626,1502,1502
1463681552,1510,1510
1463685383,1512,1512
1463687340,1486,1486
1463717334,972,972
1463725030,969,969
1463764106,1468,1468
1463767961,1487,1487
1463769852,1483,1483
1463771788,1483,1483
1463773696,1477,1477
1463775626,1474,1474
1463777548,1472,1472
1463779456,1473,1473
1463781381,1473,1473
1463783310,1470,1470
1463785224,1461,1461
1463787140,1456,1456
1463789085,418,418
1463827934,949,949
1463829853,948,948
1463831782,962,962
1463833696,949,949
1463835632,942,942
1463837549,1488,1488
1463839451,1470,1470
1463841636,1463,1463
1463843563,1469,1469
1463845464,1474,1474
1463847396,1490,1490
1463849317,1494,1494
1463927303,1471,1471
1463929241,1469,1469
1463931168,1456,1456
1463963332,436,436
1463965223,450,450
1464042749,1505,1505
1464044651,1501,1501
1464046573,1493,1493
1464201616,1473,1473
1464203541,1466,1466
1464205459,1460,1460
1464636509,1249,1249
1464645176,1249,1249
1464647196,1244,1244
1464652107,1242,1242
1464669162,941,941
1464671063,952,952
1464673000,954,954
1464674917,951,951
1464676837,955,955
1464678752,948,948
1464680658,962,962
1464682608,956,956
1464684510,956,956
1464686428,945,945
1464688346,959,959
1464690563,966,966
1464695335,972,972
1464697250,968,968
1464699164,974,974
1464716911,1463,1463
1464718817,1467,1467
1464720756,1459,1459
1464798254,1472,1472
1464800174,1476,1476
1464802100,1473,1473
1464804026,1476,1476
1464805978,1478,1478
1464807849,1493,1493
1464809776,1487,1487
1464811727,1496,1496
1464813619,1497,1497
1464815538,1497,1497
1464817451,1478,1478
1464819374,1470,1470
1464827056,469,469
1465116974,989,989
1465118904,1006,1006
1465121782,994,994
1465123702,991,991
1465125616,987,987
1465127541,982,982
1465129736,991,991
1465131654,993,993
1465263142,1209,1209
1465265129,1208,1208
1465268903,1223,1223
1465270810,1221,1221
1465272743,1222,1222
1465274648,1246,1246
1465276575,1251,1251
1465278506,1241,1241
1465280409,1222,1222
1465285245,1222,1222
1465287169,1232,1232
1465289084,1224,1224
1465293855,1242,1242
1465297693,1224,1224
1465301555,1231,1231
1465303449,1235,1235
1465317140,1757,1757
1465319054,1769,1769
1465320983,1777,1777
1465324818,1763,1763
1465418179,1508,1508
