DateTime,AddedIPs,RemovedIPs
1447082866,214,202
1447165664,397,106
1447249539,87,95
1447359231,182,155
1447443228,79,65
1447518923,122,114
1447603209,198,77
1447687901,92,64
1447773903,87,109
1447850667,138,142
1447886544,61,79
1448026253,110,116
1448084058,59,49
1448149184,93,76
1448297163,156,109
1448380469,54,73
1448459889,115,96
1448473066,102,123
1448554641,83,29
1448726288,76,118
1448738250,62,71
1448899399,114,131
1449062043,93,84
1449148422,100,94
1449164569,82,86
1449241251,57,61
1449277187,77,102
1449364577,73,48
1449520181,122,106
1449583349,59,87
1449728974,158,163
1449760873,74,93
1449845678,79,54
1450019241,110,126
1450189642,147,134
1450358874,176,157
1450437618,105,137
1450486486,136,126
1450717614,170,106
1450786069,92,97
1451159602,261,198
1451323488,134,116
1451492891,175,188
1451509533,105,94
1451918758,216,167
1452014871,168,134
1452188721,181,155
1452276074,143,147
1452295801,107,100
1452367665,70,47
1452712150,290,250
1452971022,193,196
1453205753,247,239
1453355631,205,186
1453401265,131,143
1453575096,197,172
1453730378,195,163
1453858666,226,184
1453935869,142,83
1454087507,219,165
1454359139,217,191
1454417305,140,92
1454459742,90,97
1454512417,140,101
1454600097,279,159
1454763497,144,116
1454958848,231,227
1455030613,90,98
1455196521,151,227
1455222513,102,128
1455292425,83,81
1455381968,131,134
1455467826,47,43
1455554311,130,102
1455602448,114,130
1455642266,108,106
1455844654,214,207
1456030424,166,152
1456155895,140,117
1456264694,168,196
1456420164,169,184
1456475541,97,118
1456693896,148,145
1456760847,94,89
1456841706,90,92
1457077550,167,204
1457197039,124,159
1457294399,121,126
1457453139,131,102
1457471671,108,115
1457718310,168,209
1457975288,205,186
1458065160,298,288
1458307396,157,178
1458611861,142,215
1458661388,81,75
1459004026,227,213
1459056118,99,104
1459108789,94,99
1459173993,159,147
1459345599,143,142
1459480517,140,145
1459520507,107,132
1459696032,188,180
1459952697,195,210
1460013478,148,148
1460098898,193,156
1460272022,142,171
1460294124,129,134
1460633900,264,228
1460713484,151,143
1460799379,161,126
1460848694,116,119
1460893137,117,91
1461059071,196,204
1461153514,236,191
1461164581,65,84
1461244852,78,51
1461330226,195,145
1461412991,163,161
1461420278,91,85
1461588602,135,144
1461666160,220,167
1461675976,188,279
1461760517,109,175
1461846177,288,156
1461916378,179,198
1461981608,175,183
1462019557,165,101
1462190960,178,143
1462275745,127,128
1462447096,292,240
1462533877,196,175
1462579649,147,133
1462716344,188,134
1462888385,156,191
1462973029,239,146
1463039674,161,138
1463204843,159,170
1463464811,232,187
1463506139,105,153
1463581048,152,109
1463659151,161,161
1463741554,187,149
1464051031,260,305
1464091807,177,110
1464180936,175,225
1464354630,199,163
1464441991,206,231
1464613870,251,116
1464696954,151,154
1464777940,158,160
1464940700,220,171
1465023167,131,143
1465136539,213,153
1465220313,177,138
1465299925,174,103
1465343324,90,121
1465428973,165,161
1465470420,196,154
1465567320,155,148
1465648146,83,59
1465734579,118,113
