DateTime,AddedIPs,RemovedIPs
1463962819,31,55
1463966420,36,69
1463970020,44,69
1463973620,26,68
1463977220,42,73
1463980820,41,48
1463984420,47,50
1463988021,65,54
1463991620,67,52
1463995220,70,72
1463998820,73,63
1464002421,93,47
1464006021,178,73
1464009621,270,50
1464013221,306,55
1464016821,304,50
1464020421,151,47
1464024021,86,61
1464027621,103,59
1464031221,166,53
1464034822,160,48
1464038422,113,23
1464042022,110,23
1464045622,144,30
1464049222,103,20
1464052822,88,24
1464056422,114,29
1464060022,121,27
1464063622,173,16
1464067222,70,27
1464070822,26,27
1464074423,53,18
1464078023,46,31
1464081623,36,23
1464085223,51,32
1464088823,305,37
1464092424,338,24
1464096024,253,19
1464099624,269,47
1464103223,181,41
1464106824,79,45
1464110424,72,42
1464114024,85,45
1464117624,91,42
1464121224,77,32
1464124824,73,31
1464128424,63,31
1464132025,66,39
1464135625,57,32
1464139225,34,33
1464142825,43,47
1464146425,50,28
1464150025,40,43
1464153624,45,39
1464157225,57,46
1464160826,66,65
1464164425,57,64
1464168025,62,69
1464171625,56,78
1464175226,119,83
1464178826,362,181
1464182427,357,266
1464186026,387,285
1464189626,352,309
1464193226,421,166
1464196826,383,97
1464200427,191,93
1464204027,218,175
1464207627,205,148
1464211227,161,121
1464214827,148,102
1464218427,150,147
1464222027,170,98
1464225627,157,93
1464229228,133,118
1464232828,113,115
1464236428,119,166
1464240027,200,88
1464243627,37,27
1464247227,38,53
1464250827,36,45
1464254427,52,37
1464258027,152,46
1464261627,158,284
1464265227,269,352
1464268827,353,218
1464272427,437,301
1464276026,365,189
1464279626,164,80
1464283226,173,75
1464286826,213,82
1464290426,213,91
1464294026,148,70
1464297626,164,80
1464301226,155,68
1464304826,136,61
1464308426,141,60
1464312026,160,35
1464315626,187,42
1464319226,175,52
1464322826,210,38
1464326426,215,46
1464330025,131,54
1464333626,44,60
1464337225,45,60
1464340825,59,69
1464344425,158,53
1464348025,210,103
1464351625,322,349
1464355225,402,360
1464358825,237,384
1464362425,247,353
