DateTime,Entries,UniqueIPs
1463912416,3913,3913
1463916016,3699,3699
1463919616,3400,3400
1463923217,3277,3277
1463926817,3170,3170
1463930418,3027,3027
1463934018,2775,2775
1463937618,2523,2523
1463941218,2291,2291
1463944819,2196,2196
1463948419,2121,2121
1463952019,2092,2092
1463955620,2070,2070
1463959220,2046,2046
1463962819,2022,2022
1463966420,1989,1989
1463970020,1964,1964
1463973620,1922,1922
1463977220,1891,1891
1463980820,1884,1884
1463984420,1881,1881
1463988021,1892,1892
1463991620,1907,1907
1463995220,1905,1905
1463998820,1915,1915
1464002421,1961,1961
1464006021,2066,2066
1464009621,2286,2286
1464013221,2537,2537
1464016821,2791,2791
1464020421,2895,2895
1464024021,2920,2920
1464027621,2964,2964
1464031221,3077,3077
1464034822,3189,3189
1464038422,3279,3279
1464042022,3366,3366
1464045622,3480,3480
1464049222,3563,3563
1464052822,3627,3627
1464056422,3712,3712
1464060022,3806,3806
1464063622,3963,3963
1464067222,4006,4006
1464070822,4005,4005
1464074423,4040,4040
1464078023,4055,4055
1464081623,4068,4068
1464085223,4087,4087
1464088823,4355,4355
1464092424,4669,4669
1464096024,4903,4903
1464099624,5125,5125
1464103223,5265,5265
1464106824,5299,5299
1464110424,5329,5329
1464114024,5369,5369
1464117624,5418,5418
1464121224,5463,5463
1464124824,5505,5505
1464128424,5537,5537
1464132025,5564,5564
1464135625,5589,5589
1464139225,5590,5590
1464142825,5586,5586
1464146425,5608,5608
1464150025,5605,5605
1464153624,5611,5611
1464157225,5622,5622
1464160826,5623,5623
1464164425,5616,5616
1464168025,5609,5609
1464171625,5587,5587
1464175226,5623,5623
1464178826,5804,5804
1464182427,5895,5895
1464186026,5997,5997
1464189626,6040,6040
1464193226,6295,6295
1464196826,6581,6581
1464200427,6679,6679
1464204027,6722,6722
1464207627,6779,6779
1464211227,6819,6819
1464214827,6865,6865
1464218427,6868,6868
1464222027,6940,6940
1464225627,7004,7004
1464229228,7019,7019
1464232828,7017,7017
1464236428,6970,6970
1464240027,7082,7082
1464243627,7092,7092
1464247227,7077,7077
1464250827,7068,7068
1464254427,7083,7083
1464258027,7189,7189
1464261627,7063,7063
1464265227,6980,6980
1464268827,7115,7115
1464272427,7251,7251
1464276026,7427,7427
1464279626,7511,7511
1464283226,7609,7609
1464286826,7740,7740
1464290426,7862,7862
1464294026,7940,7940
1464297626,8024,8024
1464301226,8111,8111
1464304826,8186,8186
1464308426,8267,8267
1464312026,8392,8392
1464315626,8537,8537
1464319226,8660,8660
1464322826,8832,8832
1464326426,9001,9001
1464330025,9078,9078
1464333626,9062,9062
1464337225,9047,9047
1464340825,9037,9037
1464344425,9142,9142
1464348025,9249,9249
1464351625,9222,9222
1464355225,9264,9264
1464358825,9117,9117
1464362425,9011,9011
1464366025,8794,8794
1464369625,8634,8634
1464373224,8669,8669
1464376824,8683,8683
1464380424,8709,8709
1464384024,8702,8702
1464387624,8699,8699
1464391224,8695,8695
1464394824,8664,8664
1464398424,8685,8685
1464402024,8728,8728
1464405624,8872,8872
1464409224,9009,9009
1464412823,8969,8969
1464416423,9090,9090
1464420024,9199,9199
1464423623,9219,9219
1464427223,9187,9187
1464430823,9070,9070
1464434423,8918,8918
1464438023,8689,8689
1464441623,8359,8359
1464445224,7930,7930
1464448824,7582,7582
1464452424,7452,7452
1464456024,7298,7298
1464459624,7107,7107
1464463224,6923,6923
1464466824,6825,6825
1464470424,6773,6773
1464474024,6693,6693
1464477624,6623,6623
1464481224,6547,6547
1464484824,6469,6469
1464488425,6370,6370
1464492024,6242,6242
1464495624,6094,6094
1464499224,5921,5921
1464502824,5845,5845
1464506424,5879,5879
1464510024,5909,5909
1464513624,5927,5927
1464517224,5871,5871
1464520824,5721,5721
1464524423,5497,5497
1464528023,5174,5174
1464531623,5038,5038
1464535223,4847,4847
1464538823,4763,4763
1464542423,4628,4628
1464546023,4488,4488
1464549623,4329,4329
1464553222,4162,4162
1464556822,4075,4075
1464560423,3995,3995
1464564023,3917,3917
1464567623,3839,3839
1464571223,3721,3721
1464574823,3595,3595
1464578423,3392,3392
1464582023,3185,3185
1464585623,3095,3095
1464589222,3005,3005
1464592822,2918,2918
1464596422,2925,2925
1464600022,3003,3003
1464603622,3064,3064
1464607222,3164,3164
1464610822,3235,3235
1464614422,3381,3381
1464618022,3472,3472
1464621622,3578,3578
1464625222,3679,3679
1464628822,3777,3777
1464632422,3873,3873
1464636022,3947,3947
1464639622,4012,4012
1464643222,3969,3969
1464646822,4244,4244
1464650421,4442,4442
1464654021,4609,4609
1464657621,4745,4745
1464661221,4886,4886
1464664821,5005,5005
1464668421,5177,5177
1464672021,5174,5174
1464675621,5167,5167
1464679221,5162,5162
1464682821,5147,5147
1464686421,5157,5157
1464690021,5232,5232
1464693621,5327,5327
1464697221,5559,5559
1464700821,5812,5812
1464704421,5981,5981
1464708021,6246,6246
1464711621,6411,6411
1464715220,6434,6434
1464718820,6533,6533
1464722421,6595,6595
1464726020,6597,6597
1464729620,6600,6600
1464733220,6574,6574
1464736820,6551,6551
1464740420,6531,6531
1464744019,6528,6528
1464747619,6523,6523
1464751219,6517,6517
1464754819,6502,6502
1464758419,6481,6481
1464762019,6443,6443
1464765619,6423,6423
1464769219,6412,6412
1464772819,6391,6391
1464776419,6368,6368
1464780019,6310,6310
1464783619,6269,6269
1464787219,6151,6151
1464790819,6111,6111
1464794419,6025,6025
1464798020,5946,5946
1464801620,5892,5892
1464805220,5827,5827
1464808819,5780,5780
1464812419,5749,5749
1464816019,5741,5741
1464819619,5477,5477
1464823219,5247,5247
1464826819,5085,5085
1464830419,4918,4918
1464834019,4769,4769
1464837618,4613,4613
1464841218,4443,4443
1464844818,4421,4421
1464848419,4400,4400
1464852019,4389,4389
1464855619,4380,4380
1464859219,4347,4347
1464862819,4244,4244
1464866419,4175,4175
1464870019,3919,3919
1464873619,3683,3683
1464877219,3407,3407
1464880819,3157,3157
1464884419,2932,2932
1464888019,2875,2875
