DateTime,AddedIPs,RemovedIPs
1444794687,0,1
1444809087,1,0
1444812688,1,0
1444816287,2,0
1444819887,0,1
1444827087,1,1
1444837887,0,1
1444899087,1,0
1444981888,0,1
1444985488,0,1
1444989088,0,2
1444999888,0,1
1445071889,0,1
1445243789,4,0
1445349090,1,0
1445411191,1,1
1445414791,1,1
1445418391,0,2
1445421991,2,0
1445429191,1,0
1445432791,1,0
1445501191,2,0
1445504791,1,0
1445537191,3,1
1445584896,0,1
1445588497,0,1
1445592095,0,1
1445595695,0,1
1445602898,0,1
1445606499,0,1
1445674904,0,2
1445678504,0,1
1445685706,0,1
1445689306,0,1
1445692906,0,1
1445854018,1,0
1445861217,2,0
1445872018,1,0
1445875617,1,0
1445926020,1,0
1445944021,1,0
1446027728,0,1
1446031328,1,0
1446035828,0,2
1446043028,1,0
1446046628,1,1
1446051128,0,1
1446089832,2,0
1446097032,0,1
1446104232,1,0
1446111432,2,0
1446115032,1,1
1446118632,1,0
1446125833,1,0
1446192437,1,0
1446199639,1,0
1446203238,0,1
1446210439,1,0
1446217639,1,2
1446264439,0,2
1446268039,1,0
1446275239,0,1
1446284240,0,2
1446287840,0,1
1446291440,0,1
1446298640,0,1
1446367041,0,1
1446370641,0,1
1446385041,0,1
1446392241,0,1
1446440842,0,1
1446458842,1,0
1446470543,1,0
1446529043,1,0
1446610044,1,0
1446631645,0,1
1446642445,0,1
1446703648,0,1
1446782849,0,1
1446818851,1,0
1446831451,1,0
1446993455,0,1
1447004255,0,1
1447044757,1,0
1447091557,1,0
1447214859,1,0
1447218460,0,1
1447222060,1,0
1447232860,1,0
1447236460,1,0
1447247261,1,0
1447254460,1,0
1447261660,0,1
1447268860,1,0
1447301259,1,0
1447315659,2,0
1447362460,1,0
1447387661,1,1
1447394860,0,1
1447405661,0,1
1447412861,0,1
1447423662,0,1
1447427261,0,1
1447441661,0,1
1447474009,0,1
1447488409,0,2
1447535210,0,1
1447560410,0,1
1447670211,1,0
1447762912,1,0
1447770112,1,0
1447845714,0,1
1447852914,1,0
1447935715,0,1
1447942915,0,1
1447989715,1,0
1448004115,1,0
1448011314,1,0
1448018514,1,0
1448025714,3,1
1448164309,1,1
1448176008,0,1
1448183208,0,1
1448190407,0,1
1448197607,0,3
1448282205,1,0
1448338003,0,1
1448345233,1,0
1448359602,1,0
1448370401,2,0
1448374001,1,0
1448377601,1,0
1448381201,1,0
1448402800,3,0
1448410000,1,0
1448417200,1,0
1448442399,2,0
1448453198,0,1
1448519796,0,1
1448534195,0,1
1448541395,0,2
1448544995,0,1
1448554895,0,2
1448558495,0,2
1448579194,0,1
1448582794,0,1
1448589994,0,1
1448615193,0,1
1448618793,0,1
1448780787,1,0
1448858185,1,0
1448886983,1,0
1448936482,1,0
1448954482,0,1
1449030079,0,1
1449040879,1,0
1449048079,1,0
1449058878,0,1
1449111076,0,1
1449114676,1,0
1449198372,1,0
1449212772,0,1
1449216372,1,0
1449223572,0,1
1449288371,0,1
1449335171,1,0
1449360370,1,0
1449371170,0,1
1449389170,0,1
1449483668,1,0
1449501667,0,1
1449534066,0,1
1449552966,1,0
1449556566,1,0
1449635764,1,0
1449639364,1,0
1449653764,0,1
1449664563,1,0
1449711366,1,0
1449719466,1,1
1449726667,1,0
1449730266,0,1
1449763567,1,0
1449804968,1,0
1449813067,0,2
1449836469,1,1
1449881470,1,0
1449885070,0,1
1449892270,0,1
1449896770,1,0
1449900370,0,1
1449932769,0,1
1449977768,0,1
1450006567,0,1
1450056067,0,1
1450070467,0,1
1450102867,1,0
1450173066,2,0
1450187466,1,0
1450227066,2,0
1450254966,1,0
1450265767,1,0
1450276567,0,1
1450337768,1,0
1450344968,1,1
1450348568,0,1
1450352168,1,0
1450359368,0,1
1450402567,0,2
1450427768,1,1
1450431367,1,0
1450438568,0,1
1450445768,1,0
1450511467,0,1
1450518666,0,1
1450522267,0,1
1450600565,0,1
1450604165,0,1
1450618565,0,1
1450695968,1,0
1450861567,1,0
1450868767,1,1
1451033464,0,1
1451044264,0,1
1451237757,1,0
1451387151,0,1
1451487949,1,1
1451658052,1,0
1451661651,0,1
1452523849,5,1
1452538248,2,0
1452545449,2,0
1452696651,0,4
1452700251,0,1
1452711051,0,2
1452761449,1,2
1453291553,1,1
1453475156,1,1
1453728055,3,1
1453731655,1,0
1453792855,1,0
1453800055,3,0
1453803655,2,0
1453807255,1,0
1453810855,2,0
1453828854,2,0
1453900855,0,3
1453904455,0,1
1453966553,0,1
1453973752,0,4
1453977353,0,2
1453984553,0,2
1453998952,0,1
1454323848,1,1
1454327448,1,0
1454496644,0,1
1454518243,1,1
1454536243,1,0
1454583041,3,0
1454586641,3,0
1454590241,3,0
1454593841,1,0
1454597440,1,0
1454601040,1,0
1454604640,1,0
1454608240,2,0
1454611840,1,0
1454615441,2,0
1454633441,1,0
1454637041,4,0
1454640641,7,0
1454644241,4,0
1454655041,3,0
1454658641,3,0
1454662240,1,0
1454691040,0,1
1454709041,0,1
1454755840,0,3
1454759440,0,3
1454763040,0,3
1454766640,0,1
1454770240,0,1
1454773840,0,1
1454777440,0,1
1454781039,0,1
1454784639,0,2
1454788240,0,2
1454806239,0,1
1454809839,0,3
1454813439,0,8
1454817039,0,4
1454827838,0,3
1454831438,0,2
1455011435,5,2
1455015035,3,0
1455018634,1,0
1455022235,1,0
1455025834,3,0
1455137434,1,0
1455184233,0,4
1455187832,0,4
1455191433,0,1
1455195032,0,1
1455198632,0,2
1455202232,0,1
1455375031,1,1
1455515427,1,0
1455547826,0,1
1455587427,1,0
1455609026,2,0
1455627026,1,0
1455688225,0,1
1455695426,1,0
1455742226,1,0
1455760227,0,1
1455781827,1,2
1455799826,0,1
1455803426,1,0
1455871823,0,1
1455905122,1,0
1455915921,0,1
1455955521,0,1
1455977121,0,1
1456034722,1,0
1456077923,0,1
1456088723,1,0
1456124724,1,0
1456131924,1,0
1456135524,1,0
1456149925,1,0
1456207525,0,1
1456214726,1,0
1456232725,1,0
1456239925,1,0
1456261524,0,1
1456275924,1,0
1456297523,0,1
1456301123,1,0
1456304722,0,1
1456308323,2,1
1456315522,1,0
1456322723,0,1
1456351521,3,0
1456387520,0,1
1456391120,1,0
1456401919,1,0
1456405519,0,1
1456416319,0,1
1456428919,1,0
1456450518,0,1
1456472118,0,1
1456482918,0,2
1456486518,0,1
1456522517,0,2
1456526118,0,1
1456565718,0,1
1456572918,0,1
1456620620,1,1
1456743018,3,0
1456746625,1,0
1456793415,0,1
1456807814,1,0
1456833015,1,0
1456894216,1,0
1456910418,1,0
1456917618,0,4
1456978818,1,0
1456982418,0,1
1456993218,1,0
1457004018,0,1
1457068817,0,1
1457079617,1,0
1457083217,1,1
1457086818,1,0
1457101216,1,0
1457130015,1,0
1457151615,0,1
1457166015,0,1
1457256013,0,2
1457259614,0,1
1457274014,0,1
1457338822,9,1
1457353215,6,0
1457356825,2,0
1457374816,1,0
1457410817,1,0
1457421617,1,0
1457436018,1,0
1457508921,0,2
1457512520,0,7
1457516120,4,0
1457523320,0,1
1457526920,2,6
1457530520,0,1
1457548520,0,1
1457584520,0,1
1457595320,0,1
1457609721,0,1
1457688921,0,4
1457929216,1,2
1457947216,1,0
1457950816,1,0
1457961616,1,0
1458038117,2,0
1458059718,1,0
1458099316,0,1
1458102917,1,0
1458117316,2,0
1458120916,1,1
1458124516,2,1
1458131715,0,1
1458208214,0,1
1458211814,0,1
1458229814,0,1
1458273014,0,1
1458287414,1,0
1458291014,0,2
1458294613,0,1
1458298213,0,2
1458877811,1,1
1460802925,2,1
1461189017,1,2
1461308714,1,0
1461361812,0,1
1461577813,1,1
1461820814,1,1
1462713603,1,1
1462857599,1,0
1462886399,0,1
1462965599,1,0
1463030401,0,1
1463073602,1,0
1463138403,0,1
1463210404,1,0
1463246405,0,1
1463343605,1,0
1463383204,0,1
1463480403,1,0
1463509203,1,0
1463516404,0,1
1463548805,1,0
1463631609,1,0
1463653209,0,1
1463682009,0,1
1463721609,0,1
1464142825,3,1
1464146425,3,0
1464150025,7,0
1464153625,3,0
1464157225,7,0
1464160826,12,0
1464164426,11,0
1464168026,13,0
1464171626,13,0
1464218428,4,0
1464222028,5,0
1464225627,8,0
1464229228,3,0
1464247228,1,0
1464319226,0,6
1464322826,0,7
1464326426,0,3
1464330025,0,6
1464333626,0,13
1464337225,0,10
1464340825,0,14
1464344426,0,13
1464355226,1,0
1464391224,0,4
1464394824,0,5
1464398424,0,7
1464402024,0,4
1464423623,0,1
1464632422,1,1
1464682821,2,0
1464780019,1,0
1464805220,0,1
1464855619,0,1
1464859219,0,1
1464909621,1,0
1464952822,0,1
1465154421,1,1
1465172422,1,0
1465183222,1,0
1465327226,0,1
1465345227,0,1
1465384827,1,1
1465395626,1,0
1465399226,4,0
1465402826,2,0
1465406426,1,0
1465446027,2,0
1465460426,1,0
1465464026,1,0
1465557623,0,1
1465568423,0,1
1465572023,0,4
1465575623,0,2
1465579222,0,1
1465618821,0,2
