DateTime,AddedIPs,RemovedIPs
1456825022,1,9
1456839421,10,8
1456853822,4,12
1456868222,5,8
1456882622,9,11
1456897021,20,8
1456911422,46,6
1456925823,8,11
1456940223,14,8
1456954621,7,12
1456969021,9,11
1456983423,8,8
1456997821,8,13
1457012221,8,6
1457026623,4,6
1457041022,4,13
1457055422,6,7
1457069824,10,5
1457084222,7,9
1457098922,8,10
1457113624,7,6
1457128322,10,5
1457142721,9,12
1457157124,11,7
1457171522,9,6
1457185922,9,5
1457200324,10,2
1457214722,9,7
1457229121,6,6
1457243524,7,7
1457257922,31,7
1457272321,19,2
1457286724,10,18
1457301121,11,12
1457315522,16,4
1457329923,7,5
1457344322,8,3
1457358722,6,11
1457373123,12,6
1457387521,11,7
1457401922,2,6
1457416323,2,8
1457430722,4,10
1457445121,7,9
1457459524,13,5
1457473922,14,11
1457488322,9,8
1457502723,3,8
1457517121,6,6
1457531521,11,4
1457545926,11,12
1457560322,29,17
1457574721,27,8
1457589123,39,9
1457603522,13,4
1457617922,11,7
1457632323,12,10
1457646722,7,10
1457661122,11,7
1457675524,12,7
1457689921,11,9
1457704322,12,5
1457718723,10,12
1457734922,19,3
1457749322,7,10
1457764024,9,16
1457778721,12,9
1457793123,30,11
1457807530,4,7
1457821922,7,4
1457836323,8,11
1457850726,11,2
1457865122,5,5
1457879522,5,7
1457893933,7,12
1457908322,4,16
1457922722,9,11
1458419222,266,261
1458433922,4,7
1458448322,8,7
1458462723,6,10
1458477122,10,2
1458491522,10,6
1458505922,3,4
1458520322,8,9
1458534722,5,7
1458549122,9,4
1458563522,10,3
1458577922,22,5
1458592322,40,9
1458606722,5,10
1458621122,13,6
1458635521,14,8
1458649922,9,8
1458664322,11,11
1458679022,22,13
1458693423,10,7
1458707822,4,9
1458722221,9,8
1458736675,11,8
1458751022,10,9
1458765422,7,8
1458779822,6,8
1458794222,11,6
1458808627,6,8
1458823022,3,13
1458837422,4,9
1458851822,14,11
1458866222,9,10
1458880622,2,7
1458895022,10,5
1458909422,8,7
1458923823,19,3
1458938222,15,6
1458952622,10,5
1458967022,16,6
1458981421,5,6
1458996122,8,6
1459010522,17,11
1459024922,8,9
1459039322,7,8
1459215422,128,103
1459229837,12,5
1459244223,9,3
1459258621,16,6
1459273039,10,6
1459287421,10,9
1459301822,9,6
1459316235,10,3
1459330922,13,6
1459345322,18,6
1459359726,10,7
1459374722,7,8
1459389122,9,6
1459403525,15,9
1459417922,12,5
1459432322,14,6
1459446734,7,7
1459461127,7,10
1459475522,5,6
1459489929,9,5
1459504322,13,3
1459518726,9,1
1459533126,8,11
1459547522,12,9
1459561922,9,3
1459576326,8,9
1459590722,8,14
1459605122,9,11
1459619529,8,17
1459633922,10,11
1459648322,4,9
1459663026,8,15
1459677422,10,14
1459691822,6,4
1459706226,6,8
1459720622,8,8
1459735022,7,5
1459749427,5,7
1459763826,4,11
1459778222,3,9
1459792625,6,17
1459807024,6,11
1459821427,13,8
1460317622,242,272
1460332322,8,8
1460346722,8,23
1460361122,5,12
1460375522,5,17
1460389922,2,14
1460404322,6,12
1460418722,7,9
1460433122,10,11
1460447822,6,11
1460462222,9,7
1460476622,4,5
1460491322,9,8
1460505731,8,7
1460520421,9,4
1460535122,4,5
1460549522,6,10
1460563922,9,15
1460578321,7,4
1460593021,12,9
1460607422,4,12
1460622124,11,4
1460636521,6,6
1460651821,6,6
1460666221,11,6
1460680621,7,6
1460695022,6,8
1460709421,4,9
1460723822,5,15
1460738222,12,8
1460752627,15,71
1460767022,5,21
1460781422,13,13
1460795821,9,10
1460810222,11,5
1460824622,8,5
1460839021,6,7
1460853721,13,4
1460927836,9,79
1460942221,30,10
1460956621,8,6
1460971022,2,10
1460985422,6,6
1460999821,6,5
1461015728,11,9
1461030421,8,3
1461045124,5,5
1461059522,7,7
1461073921,5,5
1461088322,9,6
1461103921,7,8
1461118322,6,7
1461132722,3,6
1461162122,7,14
1461176822,11,13
1461191522,14,9
1461205922,11,17
1461220322,4,7
1461234721,11,7
1461249121,6,11
1461263530,3,13
1461277922,8,1
1461292321,8,5
1461306722,7,5
1461321122,7,5
1461335821,5,8
1461350521,10,6
1461364921,11,6
1461379322,5,4
1461394021,5,8
1461408722,6,7
1461423121,4,5
1461437522,11,7
1461451921,7,6
1461466322,2,5
1461480722,9,11
1461495122,5,13
1461509521,7,8
1461523922,6,10
1461538322,5,7
1461552721,8,13
1461567122,9,4
1461581521,8,5
1461595922,5,11
1461610322,4,7
1461624722,5,6
1461639121,1,7
1461653521,4,12
1461667922,9,8
1461682321,9,4
1461696722,9,6
1461711121,7,11
1461725522,14,7
1461762422,28,17
1461777121,10,9
1461791521,15,8
1461805921,6,5
1461820321,8,9
1461834722,7,5
1461849121,6,5
1461863522,13,12
1461877922,9,4
1461892321,8,4
1461906721,12,8
1461921121,7,8
1461935521,6,13
1461949922,4,10
1461964322,5,7
1461978722,10,6
1461993122,5,10
1462007521,5,8
1462022222,5,7
1462036622,4,4
1462051021,11,6
1462065422,9,6
1462079821,2,8
1462094521,10,55
1462108921,2,8
1462123622,5,9
1462138322,12,12
1462152733,6,7
1462167122,7,7
1462181521,4,6
1462195921,8,8
1462210324,11,4
1462224721,14,7
1462239127,7,6
1462253522,5,10
1462267922,1,4
1462282321,2,8
1462296722,5,9
1462311121,8,8
1462325529,15,10
1462339924,8,6
1462354322,4,11
1462368721,4,8
1462383122,12,10
1462397522,14,12
1462411927,10,11
1462806722,221,316
1462821122,6,10
1462835522,6,15
1462849921,6,4
1462864322,8,11
1462878722,9,7
1462893122,15,9
1462907521,6,9
1462921921,6,8
1462936321,12,7
1462951022,7,6
1462965422,4,11
1462979822,6,14
1462994222,5,1
1463008621,8,7
1463023022,8,9
1463037422,9,4
1463051822,7,12
1463066222,10,8
1463080622,11,9
1463095022,2,11
1463109421,6,10
1463123822,10,14
1463138221,7,17
1463152622,3,11
1463167021,8,7
1463181422,4,8
1463195821,6,7
1463210221,7,7
1463224622,4,10
1463239022,4,6
1463253422,10,3
1463267821,8,47
1463282221,9,7
1463296622,6,7
1463311022,7,2
1463325422,7,7
1463339822,10,4
1463354222,6,8
1463368621,9,9
1463390521,5,11
1463404922,20,4
1463419322,5,9
1463433722,4,13
1463448122,4,10
1463462821,7,4
1463477521,7,4
1463491922,21,5
1463506322,4,5
1463520721,9,7
1463535122,5,5
1463549522,9,12
1463563921,3,4
1463578322,7,6
1463592722,5,8
1463607121,5,7
1463621522,6,10
1463635921,4,4
1463650321,8,4
1463664721,10,14
1463679122,6,8
1463693522,6,5
1463707921,12,5
1463722321,16,7
1463736722,4,13
1463751122,7,7
1463765821,9,25
1463780222,3,18
1463794621,4,3
1463809022,10,11
1463823421,9,6
1463837821,7,8
1463852221,7,16
1463866621,10,13
1463881021,6,8
1463895425,10,7
1463909821,5,15
1463924221,8,10
1463938621,8,8
1463953022,4,9
1463967421,2,8
1463981822,9,9
1463996222,7,7
1464010621,106,9
1464025022,9,6
1464039422,7,13
1464053821,6,2
1464068221,5,15
1464082621,6,10
1464097022,16,8
1464111421,14,18
1464125822,14,6
1464140221,10,13
1464154622,12,14
1464169321,5,8
1464183721,10,10
1464198122,8,5
1464212522,6,6
1464226921,8,10
1464241322,5,2
1464255721,16,11
1464270122,11,13
1464284822,7,15
1464299521,8,8
1464313922,9,7
1464328321,8,3
1464342722,3,7
1464357121,3,11
1464371521,4,17
1464385921,22,9
1464400321,8,9
1464635221,133,183
1464649921,12,5
1464664321,10,6
1464678722,8,10
1464693121,4,18
1464707522,36,11
1464721921,7,7
1464736322,5,7
1464750721,9,8
1464765122,13,9
1464779521,26,11
1464793922,17,4
1464808322,15,9
1464822721,15,8
1464837121,8,8
1464851521,17,7
1464865922,23,13
1464880322,14,5
1464894721,9,6
1464909121,8,10
1464923521,10,6
1464937922,20,5
1464952322,11,6
1464966722,6,6
1464981121,9,7
1464995522,4,12
1465009921,5,13
1465024321,9,9
1465038722,6,3
1465053122,12,5
1465067522,14,8
1465081921,6,5
1465096321,6,8
1465110722,11,8
1465125121,11,5
1465139522,8,18
1465153921,6,7
1465168321,5,10
1465182722,8,6
1465197121,4,6
1465211521,5,19
1465225922,10,14
1465240321,3,8
1465254721,6,5
1465269122,4,10
1465283521,7,5
1465297922,3,5
1465319822,1,11
1465334233,19,7
1465348637,8,6
1465363022,10,5
1465377422,3,7
1465391822,5,12
1465406222,9,6
1465420625,13,13
1465435022,8,11
1465449422,7,5
1465463822,5,9
1465478226,9,8
1465492929,12,12
1465522326,26,14
1465536722,8,6
1465551422,15,10
1465565822,11,7
1465580222,5,10
1465594621,12,8
1465609022,9,13
1465623421,8,4
1465638122,14,11
1465652523,7,5
1465667222,5,6
1465681922,7,14
1465696322,13,9
1465710722,3,6
1465725122,7,9
1465739522,4,9
1465753922,13,9
1465768322,9,5
1465782722,3,13
1465797122,6,9
1465811522,11,9
1465825922,8,10
1465840322,9,9
1465854722,2,8
1465869122,10,9
1465883521,7,5
