DateTime,Entries,UniqueIPs
1456620722,5057,5057
1456635121,5062,5062
1456649522,5059,5059
1456663921,5047,5047
1456678322,5051,5051
1456692722,5043,5043
1456707122,5030,5030
1456721522,5028,5028
1456735922,5020,5020
1456750322,5022,5022
1456764721,5023,5023
1456779121,5025,5025
1456793522,5026,5026
1456830422,5013,5013
1456845122,5007,5007
1456859522,5001,5001
1456873921,4998,4998
1456888321,5003,5003
1456902722,5040,5040
1456917121,5042,5042
1456931522,5043,5043
1456945921,5040,5040
1456960321,5034,5034
1456974722,5037,5037
1456989121,5036,5036
1457003822,5041,5041
1457018222,5035,5035
1457032621,5031,5031
1457047021,5026,5026
1457061422,5033,5033
1457075821,5034,5034
1457090221,5031,5031
1457104921,5030,5030
1457119322,5034,5034
1457133721,5032,5032
1457148122,5038,5038
1457162522,5038,5038
1457176922,5044,5044
1457191322,5040,5040
1457205722,5042,5042
1457220422,5045,5045
1457235121,5047,5047
1457249522,5065,5065
1457263921,5070,5070
1457278322,5075,5075
1457292721,5076,5076
1457307122,5083,5083
1457321521,5086,5086
1457335921,5080,5080
1457350322,5080,5080
1457364721,5082,5082
1457379122,5093,5093
1457393522,5091,5091
1457407922,5086,5086
1457422322,5079,5079
1457436722,5075,5075
1457451122,5068,5068
1457465521,5068,5068
1457479921,5060,5060
1457494322,5050,5050
1457508722,5044,5044
1457523122,5048,5048
1457537522,5044,5044
1457551925,5051,5051
1457566322,5077,5077
1457580722,5091,5091
1457595122,5107,5107
1457609522,5109,5109
1457623921,5109,5109
1457638322,5111,5111
1457652722,5116,5116
1457667121,5114,5114
1457681522,5122,5122
1457695921,5125,5125
1457710322,5129,5129
1457724721,5124,5124
1457739122,5125,5125
1457753522,5124,5124
1457767922,5124,5124
1457782322,5141,5141
1457796722,5152,5152
1457811123,5147,5147
1457825823,5146,5146
1457840222,5138,5138
1457854622,5144,5144
1457869023,5143,5143
1457883723,5141,5141
1457898423,5142,5142
1457912823,5142,5142
1458409333,5143,5143
1458431522,5136,5136
1458445923,5136,5136
1458460322,5137,5137
1458474722,5138,5138
1458489122,5143,5143
1458503522,5136,5136
1458517922,5139,5139
1458532323,5136,5136
1458546722,5136,5136
1458561422,5136,5136
1458575822,5141,5141
1458590222,5178,5178
1458604622,5179,5179
1458619022,5180,5180
1458633422,5179,5179
1458647822,5181,5181
1458662222,5186,5186
1458676622,5200,5200
1458691022,5205,5205
1458705422,5203,5203
1458719822,5204,5204
1458734222,5207,5207
1458749222,5207,5207
1458763622,5203,5203
1458778322,5201,5201
1458792722,5211,5211
1458807438,5206,5206
1458821823,5206,5206
1458836225,5201,5201
1458850923,5207,5207
