DateTime,Entries,UniqueIPs
1456610828,113574,113574
1456625228,113579,113579
1456639628,113588,113588
1456654028,113594,113594
1456668728,113598,113598
1456683428,113603,113603
1456697829,113608,113608
1456712229,113612,113612
1456726628,113622,113622
1456741028,113625,113625
1456755428,113638,113638
1456769828,113647,113647
1456784240,113656,113656
1456798629,113664,113664
1456828028,113676,113676
1456842427,113680,113680
1456856829,113684,113684
1456871228,113691,113691
1456885628,113701,113701
1456900028,113745,113745
1456914428,113762,113762
1456929497,113772,113772
1456944129,113783,113783
1456958828,113789,113789
1456973229,113799,113799
1456987630,113804,113804
1457002028,113814,113814
1457016728,113821,113821
1457031128,113823,113823
1457045528,113826,113826
1457059928,113838,113838
1457074329,113845,113845
1457088728,113849,113849
1457103128,113858,113858
1457118428,113866,113866
1457133135,113873,113873
1457147529,113882,113882
1457161929,113887,113887
1457176328,113896,113896
1457190728,113901,113901
1457205129,113911,113911
1457219530,113920,113920
1457233928,113926,113926
1457248328,113945,113945
1457262728,113965,113965
1457277128,113982,113982
1457291528,113989,113989
1457305928,114002,114002
1457320328,114009,114009
1457334729,114016,114016
1457349128,114023,114023
1457363528,114029,114029
1457377928,114042,114042
1457392328,114050,114050
1457406728,114051,114051
1457421128,114054,114054
1457435828,114058,114058
1457450228,114062,114062
1457464629,114078,114078
1457479028,114091,114091
1457493428,114096,114096
1457507829,114102,114102
1457522228,114108,114108
1457536628,114116,114116
1457551092,114134,114134
1457565728,114171,114171
1457580428,114196,114196
1457594829,114221,114221
1457609228,114232,114232
1457623629,114239,114239
1457638028,114246,114246
1457652728,114259,114259
1457667128,114262,114262
1457681529,114273,114273
1457695928,114283,114283
1457710328,114294,114294
1457724729,114303,114303
1457739128,114314,114314
1457753548,114321,114321
1457767929,114326,114326
1457782329,114348,114348
1457796729,114367,114367
1457811130,114370,114370
1457825829,114378,114378
1457840229,114385,114385
1457854630,114395,114395
1457869029,114398,114398
1457883729,114402,114402
1457898429,114410,114410
1457912829,114416,114416
1458409367,114656,114656
1458424029,114661,114661
1458438429,114666,114666
1458452872,114675,114675
1458467229,114679,114679
1458482228,114689,114689
1458496672,114696,114696
1458511030,114701,114701
1458525429,114706,114706
1458539869,114715,114715
1458554229,114722,114722
1458568628,114730,114730
1458583071,114767,114767
1458597428,114778,114778
1458611829,114785,114785
1458626269,114798,114798
1458640653,114806,114806
1458655332,114816,114816
1458669827,114831,114831
1458684429,114846,114846
1458699429,114851,114851
1458713871,114860,114860
1458728234,114869,114869
1458742630,114874,114874
1458757118,114882,114882
1458771732,114889,114889
1458786429,114898,114898
1458800911,114905,114905
1458815229,114909,114909
1458829634,114912,114912
1458844077,114921,114921
1458858432,114932,114932
1458872831,114937,114937
1458887275,114942,114942
1458901631,114950,114950
1458916029,114956,114956
1458930473,114977,114977
1458944829,114991,114991
1458959230,115001,115001
1458973690,115012,115012
1458988030,115017,115017
1459002429,115028,115028
1459016870,115040,115040
1459031229,115045,115045
1459045629,115052,115052
1459222028,115179,115179
1459236430,115186,115186
1459250829,115195,115195
1459265229,115212,115212
1459279629,115222,115222
1459294028,115227,115227
1459308429,115236,115236
1459322830,115247,115247
1459337230,115262,115262
1459351629,115275,115275
1459366029,115285,115285
1459380428,115291,115291
1459395129,115302,115302
1459409530,115315,115315
1459423929,115326,115326
1459438329,115336,115336
1459452793,115344,115344
1459467142,115351,115351
1459481542,115357,115357
1459495942,115366,115366
1459510335,115380,115380
1459525043,115387,115387
1459539447,115400,115400
1459553829,115405,115405
1459568228,115413,115413
1459582630,115420,115420
1459597028,115432,115432
1459611429,115438,115438
1459625834,115445,115445
1459640229,115452,115452
1459654629,115458,115458
1459669029,115467,115467
1459683431,115474,115474
1459697829,115478,115478
1459712230,115488,115488
1459726629,115496,115496
1459741028,115500,115500
1459755429,115503,115503
1459769829,115507,115507
1459784228,115510,115510
1459798630,115518,115518
1459813029,115528,115528
1459827429,115536,115536
1460324229,115760,115760
1460338928,115765,115765
1460353669,115771,115771
1460368029,115776,115776
1460382429,115780,115780
1460396871,115785,115785
1460411229,115790,115790
1460425629,115799,115799
1460440066,115804,115804
1460454429,115812,115812
1460468829,115818,115818
1460483270,115824,115824
1460497629,115831,115831
1460512028,115841,115841
1460526475,115847,115847
1460540830,115853,115853
1460555229,115857,115857
1460569682,115865,115865
1460584032,115870,115870
1460598428,115879,115879
1460612875,115885,115885
1460627231,115891,115891
1460641629,115898,115898
1460656073,115907,115907
1460670431,115913,115913
1460684829,115920,115920
1460699276,115925,115925
1460713631,115930,115930
