DateTime,AddedIPs,RemovedIPs
1454591113,3,3
1454605511,3,0
1454619914,5,0
1454634313,1,0
1454691911,1,58
1454706312,1,0
1454720713,1,0
1454792714,70,0
1454951113,1,73
1454965514,1,0
1454979913,1,0
1455023116,3,0
1455037513,4,0
1455051913,3,0
1455066311,1,0
1455138310,2,14
1455167111,28,0
1455210312,2,29
1455224713,2,0
1455267911,39,0
1455282314,2,0
1455296711,4,0
1455311113,1,0
1455354311,2,49
1455469511,36,0
1455527117,119,1
1455541513,2,0
1455555914,4,0
1455613512,2,30
1455627912,1,0
1455642311,7,0
1455656711,2,0
1455671111,5,0
1455685511,5,0
1455699913,0,28
1455714315,10,0
1455728732,3,0
1455743110,17,0
1455786312,0,31
1455800714,4,0
1455815111,2,0
1455829511,5,0
1455843911,8,0
1455872712,1,11
1455887130,5,0
1455901512,5,0
1455915912,2,0
1455930312,4,0
1455959111,0,15
1455973514,12,0
1456002314,1,0
1456045513,0,2
1456074312,1,0
1456117513,1,0
1456146312,2,0
1456160711,6,0
1456175111,3,0
1456189511,4,0
1456203911,1,0
1456218311,0,14
1456247121,11,0
1456261524,3,0
1456275917,2,0
1456304713,2,22
1456319114,18,0
1456333510,11,0
1456347911,13,0
1456362311,3,0
1456391113,1,12
1456405515,3,0
1456419913,4,0
1456434313,4,0
1456448713,2,0
1456477512,0,11
1456491914,5,0
1456506311,5,0
1456520711,8,0
1456535111,1,0
1456563912,0,11
1456578315,5,0
1456635912,1,0
1456650310,0,2
1456736713,0,2
1456751113,1,0
1456765511,1,0
1456779913,6,0
1456794313,3,0
1456808713,1,0
1456823113,4,5
1456837514,3,0
1456851911,11,0
1456866310,13,0
1456909511,1,18
1456923914,2,0
1456938311,4,0
1456952711,7,0
1456967111,1,0
1456995913,3,30
1457010319,12,0
1457024717,5,0
1457039115,11,0
1457082312,0,24
1457096716,3,0
1457111110,6,0
1457125510,4,0
1457168712,0,12
1457255113,0,7
1457283911,1,0
1457341514,0,1
1457370317,12,0
1457384716,1,0
1457413516,1,0
1457427911,0,16
1457442317,4,0
1457456710,3,0
1457471115,9,0
1457499910,5,0
1457514312,3,32
1457528716,5,0
1457543113,3,0
1457557513,2,0
1457571912,7,0
1457600711,0,17
1457615112,5,0
1457629511,3,0
1457643911,35,0
1457658311,13,0
1457672710,2,0
1457687113,5,14
1457701519,2,0
1457715916,9,0
1457730317,8,0
1457773511,0,23
1457787914,2,0
1457859915,0,2
1457917513,1,0
1457946311,0,1
1457960710,2,0
1457975111,8,0
1457989511,8,0
1458003910,8,0
1458032717,0,23
1458047116,11,0
1458061516,1,0
1458075919,6,0
1458104715,2,0
1458119110,0,37
1458133510,5,0
1458147911,16,0
1458162311,6,0
1458176710,1,0
1458191111,1,0
1458205513,0,27
1458219913,7,0
1458234312,3,0
1458248713,8,0
1458291911,2,24
1458306311,3,0
1458320710,4,0
1458335111,9,0
1458363910,1,0
1458378312,0,16
1458392711,1,0
1458421512,2,0
1458464711,1,5
1458507911,1,0
1458536710,1,0
1458551112,0,3
1458565512,3,0
1458579916,5,0
1458594313,15,0
1458608712,2,0
1458623112,1,0
1458637512,2,21
1458651910,3,0
1458666314,27,0
1458680714,15,0
1458695110,6,0
1458709510,2,0
1458723913,1,23
1458738313,20,0
1458752714,2,0
1458767113,12,0
1458781511,1,0
1458810311,5,19
1458824711,6,0
1458839112,32,0
1458853511,1,0
1458867915,1,0
1458896711,1,57
1458911112,8,0
1458925508,1,0
1458939909,1,0
1458954309,2,0
1458983111,0,33
1458997511,4,0
1459069512,0,2
1459155911,1,0
1459170311,3,0
1459184710,4,0
1459199110,7,0
1459213514,2,0
1459227907,0,31
1459242311,5,0
1459256710,2,0
1459271111,9,0
1459285510,1,0
1459314311,0,18
1459328711,1,0
1459343111,8,0
1459357511,7,0
1459371910,4,0
1459386311,19,0
1459400710,0,33
1459415111,3,0
1459429512,4,0
1459443912,8,0
1459458310,2,0
1459472711,4,0
1459487111,0,19
1459515912,4,0
1459530311,1,0
1459544711,1,0
1459573510,0,25
1459602310,3,0
1459659913,0,3
1459746314,0,7
1459760711,3,0
1459775110,1,0
1459789512,4,0
1459803911,8,0
1459818310,2,0
1459832711,1,28
1459847110,4,0
1459861510,14,0
1459875910,7,0
1459890310,8,0
1459919114,1,53
1459947911,15,0
1459962311,5,0
1459976711,8,0
1459991110,2,0
1460005521,0,24
1460034312,14,0
1460048711,6,0
1460063117,4,0
1460077516,1,0
1460091911,0,30
1460106312,2,0
1460120713,3,0
1460135109,16,0
1460149510,3,0
1460163909,1,0
1460178311,0,10
1460207110,1,0
1460235910,2,0
1460264711,0,4
1460279111,1,0
1460307911,1,0
1460351111,0,1
1460365510,3,0
1460379912,4,0
1460394311,4,0
1460408712,8,0
1460437511,0,33
1460451910,3,0
1460466312,10,0
1460480711,3,0
1460495112,2,0
1460509510,2,0
1460523911,0,22
1460538310,1,0
1460552711,9,0
1460567110,4,0
1460581510,3,0
1460595911,1,0
1460610311,8,25
1460624711,2,0
1460639111,1,0
1460653511,19,0
1460667909,4,0
1460682310,1,0
1460696710,7,16
1460711111,1,0
1460739910,5,0
1460783112,0,10
1460869513,0,3
1460970310,1,0
1460984712,1,0
1460999110,3,0
1461013510,6,0
1461042319,0,27
1461071111,1,0
1461085510,4,0
1461099910,18,0
1461114309,1,0
1461128710,0,31
1461143111,2,0
1461175513,10,0
1461189912,6,0
1461218711,3,30
1461247512,4,0
1461261911,8,0
1461276311,4,0
1461305111,0,17
1461319512,2,0
1461333910,11,0
1461348310,3,0
1461391512,0,24
1461477911,0,1
1461492314,1,0
1461564311,1,0
1461578711,1,0
1461593111,2,0
1461607511,10,0
1461621911,12,0
1461636311,3,0
1461650711,0,16
1461665111,4,0
1461679513,2,0
1461693911,10,0
1461708310,6,0
1461737111,1,10
1461751512,1,0
1461765909,18,0
1461780310,5,0
1461794709,2,0
1461837912,3,13
1461852311,13,0
1461866709,5,0
1461881114,12,0
1461909911,1,28
1461938712,11,0
1461953111,2,0
1461967522,4,0
1461996316,0,8
1462025111,4,0
1462039518,1,0
1462111513,1,0
1462154719,1,0
1462197947,1,0
1462226711,4,0
1462255511,0,23
1462269912,1,0
1462284315,2,0
1462298711,9,0
1462313116,18,0
1462327515,3,0
1462356311,3,29
1462370711,11,0
1462385115,3,0
1462399510,2,0
1462413911,1,0
1462428313,0,16
