DateTime,AddedIPs,RemovedIPs
1459023650,5,7
1459038052,3,4
1459052472,1,7
1459063508,1,12
1459077951,15,21
1459092072,37,14
1459106486,19,7
1459120877,10,5
1459135271,5,30
1459146305,3,6
1459160676,4,9
1459174960,1,5
1459185673,3,2
1459200090,16,4
1459214519,10,2
1459228912,21,11
1459243465,1,34
1459257701,34,22
1459272059,39,13
1459282964,6,7
1459297254,12,2
1459311660,18,3
1459322714,13,3
1459337111,25,2
1459351266,9,14
1459365685,12,12
1459380064,9,18
1459394450,8,4
1459405658,4,18
1459416304,3,24
1459424578,9,27
1459437690,8,7
1459452077,69,11
1459466479,11,15
1459480847,2,18
1459492130,4,18
1459502702,5,6
1459517164,28,13
1459531310,27,9
1459545711,8,5
1459560096,9,8
1459574431,19,7
1459589036,7,12
1459603238,11,54
1459617627,12,24
1459632063,3,4
1459646457,5,4
1459660848,18,10
1459671874,16,24
1459686279,20,29
1459700430,2,6
1459714851,5,11
1459727874,1,14
1459740051,3,9
1459754669,5,10
1459767050,7,9
1459779663,7,6
1459794172,8,3
1459808442,2,14
1459822873,3,18
1459833644,6,15
1459844691,9,7
1459859068,9,7
1459873261,20,7
1459887616,19,0
1459902034,5,5
1459916432,5,10
1459927486,1,6
1459941883,15,12
1459956039,24,5
1459970436,14,1
1459984941,2,6
1459999251,16,8
1460010238,14,8
1460021108,7,8
1460035238,7,21
1460049668,8,15
1460064069,10,5
1460078473,4,4
1460092891,8,7
1460103901,3,11
1460111040,2,16
1460125354,11,12
1460139669,7,2
1460154101,5,16
1460164935,4,13
1460179278,4,10
1460190408,1,9
1460204733,7,10
1460218846,22,9
1460230795,11,3
1460244051,17,9
1460258463,9,4
1460271514,2,4
1460287474,5,16
1460301655,6,2
1460316066,10,7
1460330460,13,8
1460344852,12,1
1460359496,9,6
1460373900,10,20
1460388081,13,12
1460402433,19,13
1460416859,7,7
1460431231,24,3
1460442207,32,4
1460456656,21,7
1460470842,25,10
1460485254,7,11
1460499676,17,12
1460514117,15,9
1460524911,1,5
1460535892,2,13
1460550301,4,13
1460564480,20,9
1460578857,20,10
1460593264,10,34
1460607862,4,31
1460622311,11,24
1460636753,15,11
1460650920,10,15
1460665252,4,20
1460679646,13,9
1460694056,12,8
1460708702,12,6
1460721913,7,27
1460733692,10,9
1460748054,11,10
1460762461,9,5
1460776860,8,11
1460787861,10,12
1460802355,20,14
1460816463,20,3
1460830859,70,10
1460845251,7,12
1460859664,11,10
1460874237,19,9
1460888690,11,12
1460902861,11,11
1460917285,0,8
1460931669,12,5
1460946234,6,14
1460960644,9,22
1460975081,9,14
1460989279,8,71
1461003670,9,8
1461018053,2,6
1461032485,7,19
1461043289,4,8
1461057948,9,12
1461072120,5,2
1461086459,10,12
1461100875,10,7
1461115298,7,6
1461129672,8,11
1461140738,20,6
1461162375,15,13
1461176455,19,2
1461190861,18,8
1461205345,7,11
1461219862,8,5
1461234263,18,9
1461245000,7,6
1461259255,21,13
1461273681,10,7
1461288072,7,16
1461302480,6,14
1461313517,0,7
1461327910,4,16
1461342091,21,20
1461356449,11,7
1461370847,20,10
1461385271,20,19
1461396319,12,10
1461410756,27,13
1461424880,13,18
1461439257,15,3
1461453667,11,7
1461468074,8,3
1461479101,7,2
1461493512,8,17
1461507648,12,7
1461522086,18,19
1461536450,8,24
1461547275,2,5
1461561679,11,32
1461572679,10,5
1461587114,19,16
1461601265,17,14
1461615676,9,13
1461630089,11,6
1461642793,2,7
1461655531,11,9
1461669952,2,17
1461684073,0,7
1461698460,6,10
1461712858,4,6
1461727287,12,13
1461738277,8,14
