DateTime,AddedIPs,RemovedIPs
1458522310,60,33
1458536710,52,40
1458551112,55,39
1458565512,72,44
1458579916,44,40
1458594313,50,44
1458608712,65,38
1458623112,60,39
1458637512,55,56
1458651910,62,42
1458666314,65,45
1458680714,81,59
1458695110,77,53
1458709510,62,50
1458723913,83,67
1458738313,74,44
1458752714,58,62
1458767113,55,73
1458781511,48,60
1458795913,40,58
1458810311,62,62
1458824711,53,57
1458839112,40,72
1458853511,54,68
1458867915,51,61
1458882314,52,80
1458896711,50,71
1458911112,37,61
1458925508,32,53
1458939909,46,42
1458954309,34,45
1458968710,35,76
1458983111,37,60
1458997511,37,47
1459011911,34,53
1459026310,29,53
1459040710,39,54
1459055110,29,50
1459069512,41,42
1459083916,30,34
1459098317,38,150
1459112712,141,34
1459127122,22,32
1459141511,29,33
1459155911,44,40
1459170311,40,30
1459184710,27,32
1459199110,38,37
1459213514,34,31
1459224310,31,33
1459238710,29,38
1459253114,37,45
1459267515,46,33
1459281914,42,18
1459296314,30,23
1459310715,70,48
1459325112,42,35
1459339512,50,29
1459353911,45,24
1459368311,33,42
1459382710,29,37
1459397111,31,31
1459411511,44,43
1459425914,56,49
1459440314,34,40
1459454711,37,37
1459469111,42,68
1459483512,45,42
1459497911,43,48
1459512313,34,42
1459526712,47,38
1459541110,30,30
1459555511,33,30
1459569910,38,41
1459584309,32,61
1459598715,41,37
1459613114,39,39
1459627515,31,39
1459641912,42,44
1459656310,39,41
1459670711,28,38
1459685111,29,47
1459699510,34,25
1459713911,39,34
1459728312,35,46
1459742710,26,31
1459757111,44,38
1459771511,51,42
1459785911,39,30
1459800310,47,41
1459814711,30,38
1459829110,33,26
1459843511,28,27
1459857914,47,37
1459872314,39,34
1459886714,36,32
1459901115,34,28
1459915511,42,47
1459929910,36,47
1459944314,37,36
1459958711,91,37
1459973116,30,30
1459987510,50,28
1460001916,33,36
1460016311,33,47
1460030715,42,41
1460045111,26,36
1460059511,40,36
1460073915,38,48
1460088313,39,41
1460102712,36,36
1460117121,45,93
1460131513,41,38
1460145910,47,41
1460160311,27,34
1460174710,40,36
1460189111,37,41
1460203514,37,31
1460217910,35,37
1460232311,26,39
1460246710,55,38
1460261110,43,36
1460275510,41,38
1460289911,48,46
1460304311,54,36
1460318711,53,31
1460333111,47,33
1460347510,39,37
1460361911,60,39
1460376312,57,34
1460390711,52,29
1460405111,39,58
1460419510,46,35
1460433911,52,41
1460448310,30,50
1460462712,70,57
1460477110,52,55
1460491511,54,46
1460505911,43,39
1460520311,42,58
1460534711,66,56
1460549111,38,53
1460563510,28,35
1460577910,48,47
1460592312,47,50
1460606711,45,35
1460621112,45,74
1460635511,34,47
1460649911,67,53
1460664310,45,39
1460678710,36,41
1460693110,26,58
1460707510,47,37
1460721914,42,31
1460736310,33,49
1460750711,36,53
1460765111,38,47
1460779510,44,50
1460793911,39,38
1460808313,69,65
1460822711,52,45
1460837112,36,37
1460851511,62,27
1460865932,50,41
1460880311,34,41
1460894714,38,30
1460909111,45,42
1460923511,39,42
1460937910,37,42
1460952312,42,39
1460966713,50,72
1460981111,62,50
1460995512,53,41
1461009910,39,60
1461024309,32,52
1461038710,36,32
1461053111,36,33
1461067514,39,47
1461081911,40,38
1461096310,53,43
1461110712,57,44
1461125110,42,52
1461139510,51,61
1461161110,71,66
1461175514,52,36
1461189912,50,31
1461204310,29,41
1461218711,50,41
1461233115,51,40
1461247512,54,39
1461261911,44,59
1461276311,48,42
1461290710,37,55
1461305111,48,48
1461319512,40,48
1461333910,63,46
1461348310,32,50
1461362711,56,30
1461377115,47,47
1461391512,36,50
1461405912,34,53
1461420311,48,53
1461434711,40,49
1461449110,54,41
1461463511,51,48
1461477911,50,35
1461492314,42,61
1461506710,73,30
1461521111,37,55
1461535510,31,44
1461549910,42,44
1461564311,47,38
1461578711,43,48
1461593111,38,38
1461607511,51,51
1461621911,45,44
1461636311,30,43
1461650711,34,50
1461665111,50,62
1461679513,78,46
1461693911,54,34
1461708310,58,41
1461722710,54,49
1461737111,46,42
1461751512,57,40
1461765910,70,48
1461780310,49,43
1461794709,45,30
1461809111,43,39
1461823511,58,47
1461837912,75,77
1461852311,65,53
1461866709,54,68
1461881114,49,50
1461895513,65,43
1461909911,49,53
1461924312,44,69
1461938712,47,49
1461953111,45,45
1461967522,42,52
