DateTime,Entries,UniqueIPs
1462205491,3100,3291
1462213891,3130,3322
1462221092,3183,3376
1462227690,3086,3274
1462235493,3129,3320
1462242087,3092,3282
1462249292,3133,3322
1462256487,3194,3385
1462263682,3109,3295
1462270890,3064,3249
1462279282,3057,3240
1462285278,2967,3149
1462293081,3027,3210
1462300285,3178,3370
1462306884,3079,3269
1462314088,3106,3303
1462321889,2926,3122
1462328490,2988,3185
1462335686,2929,3118
1462343488,2907,3098
1462350683,2971,3164
1462357887,2886,3075
1462365084,2923,3116
1462372277,2922,3116
1462380084,2818,3010
1462386081,2936,3129
1462393283,3022,3216
1462400487,3108,3295
1462408285,3108,3294
1462415488,2966,3150
1462422676,2938,3122
1462429283,2996,3180
1462437079,2863,3041
1462443685,2945,3122
1462451484,2997,3175
1462459288,3018,3194
1462466486,3055,3232
1462474888,3044,3215
1462482088,3001,3171
1462489290,2990,3161
1462495888,3123,3299
1462503083,3070,3245
1462510883,3164,3341
1462517481,3128,3302
1462525283,3102,3276
1462532485,3032,3210
1462540289,3050,3229
1462547488,3108,3290
1462555894,3145,3327
1462563691,3212,3398
1462572690,3111,3293
1462579886,3225,3411
1462588893,3127,3313
1462596092,3165,3352
1462605093,3172,3359
1462612889,3242,3427
1462620695,3243,3430
1462628490,3139,3326
1462635088,3115,3299
1462642888,3032,3217
1462648888,3064,3249
1462656087,3119,3308
1462663884,3085,3274
1462670487,3212,3402
1462678284,3180,3367
1462685488,3088,3273
1462693290,3017,3204
1462702288,2990,3176
1462710684,3033,3221
1462717283,3125,3314
1462723881,3108,3304
1462729885,3201,3401
1462737696,3080,3277
1462744894,3062,3262
1462752092,3208,3413
1462759885,3115,3313
1462767085,3216,3415
1462776684,3193,3390
1462784487,3174,3368
1462791690,3054,3244
1462798887,3114,3308
1462805478,3000,3189
1462812683,2993,3184
1462819884,3118,3311
1462827682,3089,3271
1462834280,3136,3321
1462842078,3139,3325
1462849279,3190,3376
1462857078,2912,3091
1462864874,2878,3057
1462872678,2971,3152
1462879880,2924,3103
1462887678,2954,3132
1462896082,2976,3155
1462903281,2895,3072
1462909882,2920,3096
1462916482,2998,3176
1462924283,2882,3061
1462931480,3012,3195
1462939876,2960,3141
1462948280,2965,3145
1462955481,2894,3072
1462962682,2878,3055
1462969883,2804,2978
1462977082,2851,3026
1462984278,2867,3043
1462990878,2829,3006
1462998675,2896,3073
1463004679,2869,3044
1463012474,2809,2981
1463019075,2776,2946
1463026880,2750,2919
1463034676,2778,2947
1463034678,2747,2916
1463041276,2727,2901
1463048482,2852,3028
1463055675,2882,3057
1463063480,2719,2890
1463070677,2791,2964
1463077274,2826,3000
1463084477,2748,2918
1463091084,2832,3005
1463098881,2916,3090
1463106682,2941,3111
1463113880,2893,3063
1463121680,2787,2953
1463128274,2736,2901
1463134873,2724,2889
1463142074,2752,2917
1463149274,2830,2998
1463157077,2797,2965
1463163072,2824,2995
1463170274,2842,3013
1463177476,2807,2975
1463185875,2835,3005
1463191875,2704,2873
1463199074,2810,2983
1463206877,2794,2967
1463214081,2842,3016
1463221880,2743,2913
1463228481,2635,2802
1463235679,2697,2865
1463242879,2612,2779
1463250082,2597,2761
1463257885,2652,2817
1463264482,2677,2845
1463271682,2777,2947
1463278879,2761,2931
1463286082,2668,2837
1463293277,2731,2901
1463301077,2654,2826
1463308281,2753,2927
1463314878,2822,2999
1463322681,2801,2976
1463329880,2797,2973
1463337080,2758,2933
1463343677,2893,3074
1463350884,2851,3029
1463358084,2842,3021
1463365281,2941,3121
1463373678,2949,3128
1463382083,2981,3158
1463389284,3006,3184
1463396485,2933,3108
1463404290,2878,3052
1463411478,2907,3082
1463418679,2912,3089
1463427678,2953,3131
1463433678,2939,3119
1463440275,2932,3113
1463447476,2872,3051
1463452876,2754,2930
1463460673,2748,2925
1463467872,2822,3000
1463475070,2853,3032
1463481680,2852,3034
1463489479,2839,3021
1463496673,2787,2967
1463503271,2706,2884
1463511067,2621,2796
1463517074,2587,2762
1463522476,2664,2850
1463528475,2674,2862
1463535676,2774,2963
1463544075,2804,2995
1463551871,2665,2852
1463557868,2709,2897
1463565077,2693,2879
1463572271,2655,2839
1463578871,2736,2924
1463586677,2706,2895
1463593272,2771,2975
1463600471,2808,3013
1463605873,2742,2945
1463611272,2766,2970
1463619078,2804,3009
1463626278,2762,2968
1463633477,2817,3021
1463640681,2885,3094
1463647891,2841,3046
1463655681,2714,2919
1463662277,2766,2972
1463668882,2714,2917
1463676685,2633,2835
1463683285,2735,2940
1463690484,2795,2999
1463698281,2809,3014
1463705480,2939,3148
1463712681,2914,3124
1463719880,2878,3083
