DateTime,AddedIPs,RemovedIPs
1462161088,4,17
1462168892,34,5
1462176085,4,6
1462183293,2,10
1462190486,3,7
1462197691,14,4
1462205491,71,21
1462213891,42,14
1462221092,2,0
1462227690,5,11
1462235493,26,8
1462242087,9,4
1462249292,9,0
1462256487,19,13
1462263682,1,5
1462270890,3,7
1462279282,11,10
1462285278,5,6
1462293081,4,5
1462300285,92,1
1462306884,1,12
1462321889,1,16
1462328490,25,6
1462335686,12,0
1462343488,3,14
1462350683,26,10
1462357887,13,28
1462372277,3,8
1462380084,29,26
1462386081,71,16
1462393283,7,0
1462400487,29,31
1462408285,13,11
1462415488,25,7
1462422676,1,15
1462429283,6,25
1462437079,16,22
1462443685,20,0
1462451484,6,28
1462459288,20,0
1462466486,13,21
1462474888,78,13
1462482088,9,18
1462489290,2,40
1462495888,14,17
1462503083,24,3
1462510883,10,23
1462517481,3,16
1462525283,17,13
1462532485,9,7
1462540289,6,13
1462547488,5,12
1462555894,33,30
1462563691,15,8
1462572690,2,18
1462579886,71,3
1462588893,6,11
1462596092,4,0
1462605093,21,6
1462612889,5,31
1462620695,8,14
1462628490,3,15
1462635088,13,0
1462642888,19,35
1462648888,3,5
1462656087,5,12
1462663884,65,14
1462670487,8,0
1462678284,2,18
1462685488,10,0
1462693290,23,12
1462702288,1,6
1462710684,4,5
1462717283,20,6
1462723881,23,11
1462729885,35,6
1462737696,3,21
1462744894,3,24
1462752092,101,8
1462759885,2,24
1462767085,4,0
1462776684,17,16
1462784487,9,6
1462791690,2,7
1462798887,6,5
1462805478,14,5
1462812683,9,3
1462819884,53,11
1462827682,12,19
1462834280,28,0
1462842078,23,10
1462849279,13,0
1462857078,10,9
1462864874,11,33
1462872678,2,0
1462879880,14,0
1462887678,8,2
1462896082,10,7
1462903281,1,0
1462909882,26,9
1462916482,19,4
1462924283,4,11
1462931480,33,18
1462939876,7,12
1462948280,11,14
1462955481,4,8
1462962682,1,8
1462969883,10,18
1462977082,3,16
1462984278,29,7
1462990878,10,13
1462998675,13,5
1463004679,4,8
1463012474,2,11
1463019075,12,15
1463026880,11,20
1463034676,3,0
1463034678,0,11
1463041276,6,0
1463048482,7,12
1463055675,10,9
1463063480,3,19
1463070677,11,0
1463077274,55,5
1463084477,4,14
1463091084,13,9
1463098881,51,6
1463098883,0,13
1463106682,9,5
1463113880,4,0
1463121680,7,12
1463128274,7,7
1463134873,4,8
1463142074,2,7
1463149274,9,5
1463157077,10,6
1463163072,31,28
1463170274,2,11
1463177476,4,4
1463185875,42,7
1463191875,1,17
1463199074,9,0
1463206877,5,10
1463214081,16,8
1463221880,2,31
1463228481,0,11
1463235679,5,8
1463242879,11,5
1463250082,13,4
1463257885,13,9
1463264482,30,4
1463271682,24,12
1463278879,7,12
1463286082,5,8
1463293277,11,26
1463301077,6,13
1463308281,9,16
1463314878,3,8
1463322681,22,26
1463329880,2,0
1463337080,1,8
1463343677,74,80
1463350884,4,0
1463358084,25,16
1463365281,10,21
1463373678,18,28
1463382083,9,21
1463389284,10,0
1463396485,13,15
1463404290,14,24
1463411478,6,9
1463418679,19,4
1463427678,10,7
1463433678,4,12
1463440275,5,12
1463447476,17,22
1463452876,18,0
1463460673,4,12
1463467872,5,0
1463475070,10,19
1463481680,12,7
1463489479,6,25
1463496673,2,5
1463503271,5,0
1463511067,15,23
1463517074,3,14
1463522476,28,11
1463528475,21,0
1463535676,67,9
1463544075,6,19
1463551871,11,34
1463557868,5,14
1463565077,11,0
1463572271,3,11
1463578871,9,15
1463586677,8,39
1463593272,62,0
1463600471,7,18
1463605873,2,23
1463611272,8,24
1463619078,30,34
1463626278,8,0
1463633477,9,6
1463640681,14,22
1463647891,7,0
1463655681,4,27
1463662277,6,15
1463668882,12,15
1463676685,7,40
1463683285,3,7
1463690484,12,0
1463698281,33,30
1463705480,52,14
1463712681,3,9
1463719880,2,0
1463727077,20,30
1463734877,0,48
1463741477,2,0
1463748677,5,0
1463755879,17,6
1463762476,2,12
1463769079,2,17
1463775081,13,5
1463781079,4,9
1463788279,73,9
1463795476,14,17
1463803876,6,12
1463812280,12,20
1463820073,7,6
1463828474,2,12
1463835071,4,10
1463842269,12,7
1463849475,67,0
1463856677,7,9
1463864484,5,20
1463871084,6,0
1463878278,10,9
1463885482,22,0
1463893278,4,55
1463899881,9,50
1463907083,7,15
1463914284,4,10
1463922078,2,31
1463929284,3,17
1463935278,8,0
1463943078,8,22
1463950279,5,15
1463956874,23,24
1463964678,16,11
1463971872,7,8
1463979074,5,11
1463986277,3,0
1463995277,8,23
1464002475,6,15
1464009676,5,7
1464016268,4,11
1464023470,34,11
1464031278,6,14
1464038475,1,8
1464045068,32,11
1464052872,5,28
1464061278,8,0
1464067274,6,13
1464074469,6,0
1464081077,1,25
1464088275,7,14
1464095476,3,12
1464102674,5,9
1464108674,3,16
1464115277,11,6
1464123077,3,9
1464129675,7,8
1464136874,4,29
1464144067,9,8
1464151267,4,0
1464158466,5,38
1464165066,1,0
1464171070,6,15
1464176470,2,16
1464181267,3,14
1464187266,9,15
1464195069,35,12
1464201666,69,8
1464209465,1,7
1464216674,6,9
1464225067,0,32
1464231676,18,0
1464237668,9,20
1464244873,11,0
1464252068,4,12
1464259268,6,51
1464266470,8,13
1464273668,5,0
1464280271,51,20
1464286272,40,62
1464293471,2,0
1464300073,5,32
1464305467,7,12
1464310865,10,0
1464316266,3,20
1464322264,9,0
1464329468,6,0
1464337269,0,37
1464343865,4,13
1464351070,8,12
1464355871,6,18
1464362468,3,0
1464369070,24,3
1464374475,44,4
1464379874,9,10
1464385272,1,5
1464393073,2,25
1464399667,9,0
1464406866,7,22
1464412267,5,10
1464419471,2,30
1464424268,13,0
1464430873,7,13
1464437474,3,21
1464442870,0,12
1464450071,8,23
1464457874,65,7
1464463870,5,11
1464469872,3,13
1464477671,11,10
1464484275,22,7
1464492074,2,14
1464499275,1,9
1464506472,5,13
1464513074,17,12
1464519072,1,0
1464525669,6,57
1464531074,11,14
1464538272,11,0
1464546069,1,6
1464553277,73,11
1464560479,4,16
1464567668,3,18
1464574876,3,12
1464582073,10,16
1464589276,9,23
1464596475,4,0
1464604278,2,23
1464610869,8,0
1464617465,11,18
1464625268,26,17
1464632469,87,0
1464639675,5,20
1464646275,6,8
1464654076,6,35
1464660678,14,15
1464668476,7,7
1464675679,6,19
1464682279,18,0
1464690077,19,10
1464697276,5,11
1464705076,1,37
1464712873,4,4
1464719474,73,12
1464726077,3,0
1464733050,11,31
1464740478,9,10
1464747676,16,19
1464755476,2,14
1464762075,1,0
1464768678,12,20
1464776483,9,7
1464784280,2,17
1464791480,9,24
1464798682,52,0
1464805285,36,9
1464812486,1,7
1464819687,0,3
1464827487,13,47
1464834683,2,0
1464841283,5,33
1464847877,8,16
1464855081,19,0
1464862882,7,36
1464870078,3,0
1464876674,4,14
1464884483,11,28
1464891678,116,10
1464898884,5,4
1464906080,3,28
1464913884,11,0
1464921078,27,26
1464928278,2,25
1464941477,36,51
1464946881,10,0
1464954677,4,36
1464961871,3,0
1464969073,12,25
1464977477,16,22
1464984678,67,0
1464991907,6,16
1464999686,13,8
1465006879,9,18
1465014077,7,12
1465020680,9,11
1465027877,4,19
