DateTime,AddedIPs,RemovedIPs
1462153886,229,167
1462161088,210,203
1462168892,173,139
1462176085,133,186
1462183293,95,102
1462190486,159,183
1462197691,206,239
1462205491,267,330
1462213891,138,125
1462221092,139,140
1462227690,113,91
1462235493,280,289
1462242087,148,145
1462249292,250,249
1462256487,129,121
1462263682,141,160
1462270890,104,106
1462279282,238,255
1462285278,114,124
1462293081,198,278
1462300285,213,93
1462306884,36,62
1462314088,114,115
1462321889,104,98
1462328490,146,170
1462335686,239,215
1462343488,141,184
1462350683,248,259
1462357887,121,143
1462365084,102,147
1462372277,117,167
1462380084,134,131
1462386081,277,208
1462393283,181,141
1462400487,311,223
1462408285,98,104
1462415488,124,125
1462422676,123,151
1462429283,107,99
1462437079,116,148
1462443685,278,168
1462451484,249,225
1462459288,168,152
1462466486,100,107
1462474888,232,197
1462482088,146,143
1462489290,89,94
1462495888,227,225
1462503083,157,165
1462510883,272,205
1462517481,74,95
1462525283,131,146
1462532485,129,131
1462540289,164,155
1462547488,220,248
1462555894,243,175
1462563691,275,267
1462572690,116,103
1462579886,194,156
1462588893,173,188
1462596092,102,130
1462605093,239,272
1462612889,256,315
1462620695,170,166
1462628490,77,101
1462635088,121,158
1462642888,145,184
1462648888,88,103
1462656087,230,200
1462663884,251,199
1462670487,270,215
1462678284,71,76
1462685488,105,123
1462693290,206,229
1462702288,88,160
1462710684,212,268
1462717283,177,187
1462723881,265,172
1462729885,174,114
1462737696,84,65
1462744894,197,214
1462752092,206,140
1462759885,77,94
1462767085,236,247
1462776684,259,397
1462784487,147,197
1462791690,54,89
1462798887,142,186
1462805478,118,173
1462812683,106,98
1462819884,261,204
1462827682,195,176
1462834280,278,230
1462842078,96,69
1462849279,93,93
1462857078,168,195
1462864874,140,166
1462872678,192,167
1462879880,176,191
1462887678,232,285
1462896082,137,170
1462903281,55,103
1462909882,200,178
1462916482,183,134
1462924283,110,104
1462931480,219,201
1462939876,189,221
1462948280,191,199
1462955481,65,56
1462962682,172,201
1462969883,168,145
1462977082,104,128
1462984278,204,210
1462990878,158,165
1462998675,257,257
1463004679,72,56
1463012474,73,85
1463019075,171,159
1463026880,160,176
1463034676,78,104
1463041276,195,222
1463048482,231,230
1463055675,155,157
1463063480,48,60
1463070677,147,169
1463077274,200,130
1463084477,113,127
1463091084,203,167
1463098881,229,169
1463106682,227,263
1463113880,81,88
1463121680,79,123
1463128274,169,172
1463134873,135,130
1463142074,87,98
1463149274,222,247
1463157077,243,286
1463163072,152,137
1463170274,49,55
1463177476,113,93
1463185875,208,201
1463191875,98,93
1463199074,215,182
1463206877,137,146
1463214081,243,220
1463221880,67,106
1463228481,63,89
1463235679,132,176
1463242879,135,121
1463250082,126,78
1463257885,224,183
1463264482,232,204
1463271682,177,143
1463278879,90,64
1463286082,141,128
1463293277,123,127
1463301077,117,129
1463308281,205,219
1463314878,162,156
1463322681,250,242
1463329880,83,80
1463337080,91,114
1463343677,215,158
1463350884,160,148
1463358084,111,74
1463365281,272,221
