DateTime,Entries,UniqueIPs
1459825276,2502,2597
1459839074,2395,2486
1459852874,2435,2527
1459864878,2313,2401
1459878678,2481,2574
1459892477,2384,2473
1459906272,2370,2457
1459917670,2301,2380
1459931469,2255,2335
1459942266,2216,2297
1459953069,2200,2279
1459964466,2243,2321
1459977074,2353,2435
1459991474,2370,2453
1460005874,2446,2530
1460020278,2317,2402
1460033474,2372,2462
1460047873,2416,2506
1460061671,2454,2543
1460072474,2442,2528
1460080277,2397,2483
1460094672,2363,2448
1460109071,2331,2414
1460121070,2251,2333
1460131872,2288,2372
1460142670,2421,2507
1460156471,2424,2507
1460169675,2476,2561
1460184069,2255,2336
1460197878,2266,2347
1460208072,2236,2314
1460219475,2260,2340
1460230275,2193,2270
1460243474,2200,2278
1460256073,2198,2274
1460268667,2181,2253
1460293272,2270,2344
1460304072,2214,2292
1460314274,2216,2292
1460325686,2227,2306
1460337674,2212,2292
1460352077,2186,2263
1460365877,2171,2247
1460376073,2287,2368
1460389269,2344,2429
1460403673,2498,2584
1460414477,2430,2516
1460422277,2347,2430
1460436673,2527,2615
1460451080,2499,2588
1460464871,2545,2634
1460479274,2442,2527
1460489473,2420,2502
1460500877,2555,2640
1460513471,2610,2699
1460521274,2338,2421
1460535670,2450,2543
1460548269,2426,2522
1460562674,2396,2495
1460577078,2620,2725
1460591479,2548,2653
1460598079,2547,2653
1460606470,2664,2774
1460620277,2631,2740
1460634678,2580,2678
1460646680,2445,2542
1460661081,2594,2694
1460675475,2596,2701
1460682673,2613,2719
1460697672,2615,2720
1460712071,2429,2525
1460726472,2432,2527
1460739673,2511,2612
1460751077,2613,2712
1460760080,2672,2786
1460773874,2806,2926
1460788273,2695,2804
1460796080,2622,2726
1460804478,2667,2773
1460817668,2716,2817
1460830870,2803,2912
1460845272,2747,2865
1460852470,2720,2837
1460860873,2615,2723
1460869876,2669,2784
1460883678,2652,2766
1460897475,2557,2663
1460911274,2532,2644
1460923875,2573,2684
1460937073,2614,2745
1460944275,2539,2673
1460952074,2599,2733
1460966473,2583,2719
1460980278,2592,2719
1460994675,2666,2792
1461009077,2744,2870
1461022872,2739,2858
1461030072,2792,2913
1461037872,2731,2849
1461045069,2597,2713
1461052874,2511,2621
1461066070,2636,2753
1461080476,2468,2581
1461092469,2594,2710
1461105667,2533,2646
1461118869,2550,2664
1461126675,2474,2580
1461140473,2532,2642
1461160277,2389,2512
1461174075,2399,2524
1461184867,2362,2487
1461197469,2450,2573
1461210667,2484,2606
1461225069,2429,2550
1461232270,2349,2454
1461240667,2402,2512
1461255072,2408,2521
1461269473,2466,2579
1461283871,2595,2720
1461291673,2507,2634
1461299472,2446,2568
1461313271,2512,2643
1461320471,2530,2660
1461335467,2535,2666
1461348671,2572,2703
1461363076,2564,2693
1461376270,2640,2768
1461383470,2579,2702
1461391268,2439,2558
1461405075,2449,2565
1461419475,2508,2627
1461433269,2476,2596
1461447671,2538,2644
1461455474,2517,2616
1461462672,2552,2650
1461471677,2536,2622
1461479479,2465,2554
1461493277,2382,2467
1461507681,2462,2549
1461522073,2599,2688
1461536478,2599,2688
1461550871,2702,2795
1461565273,2619,2713
1461579674,2561,2656
1461594072,2473,2558
1461607870,2464,2542
1461621071,2585,2676
1461635471,2587,2679
1461642073,2608,2696
1461650470,2492,2576
1461664876,2621,2714
1461679271,2582,2676
1461693069,2692,2786
1461707473,2696,2796
1461721875,2645,2741
1461750674,2646,2746
1461765075,2575,2673
1461777677,2582,2677
1461789074,2590,2681
1461802273,2630,2715
1461810675,2432,2510
1461818469,2536,2617
1461825678,2573,2656
1461834676,2488,2567
1461848474,2616,2702
1461862264,2669,2755
1461876670,2669,2760
1461890475,2573,2667
1461904265,2573,2671
1461917468,2598,2698
1461925273,2346,2436
1461939670,2446,2567
1461946874,2545,2718
1461954668,2575,2749
1461968475,2552,2735
1461982870,2594,2781
1461997272,2652,2842
1462005072,2655,2849
1462018868,2576,2771
1462033271,2649,2854
1462041069,2518,2712
1462054874,2638,2839
1462069272,2475,2671
1462083670,2624,2823
1462090869,2591,2793
1462105270,2561,2764
1462118469,2595,2793
1462132874,2743,2941
1462146670,2633,2817
1462161077,2684,2866
1462168879,2702,2883
1462183284,2796,2979
1462197681,2677,2854
1462205481,2740,2917
1462213881,2687,2860
1462227679,2802,2977
1462242077,2783,2960
1462256475,2863,3041
1462270880,2658,2829
1462285269,2652,2821
1462293072,2701,2871
1462306875,2758,2935
1462314078,2583,2763
1462328477,2707,2892
1462335674,2540,2711
1462343477,2609,2785
1462357878,2599,2774
1462372267,2555,2735
1462386072,2698,2879
1462400477,2855,3030
1462408275,2761,2930
1462422666,2762,2933
1462437070,2607,2773
1462451474,2738,2905
1462459278,2660,2818
1462466477,2541,2695
1462474878,2709,2866
1462489280,2759,2918
1462503071,2811,2973
1462517469,2858,3018
1462525273,2722,2882
1462532476,2723,2887
1462540278,2809,2974
1462547479,2856,3024
1462555883,2900,3068
1462563679,2924,3094
1462572678,2803,2972
1462579875,2919,3092
1462588881,2857,3027
1462596081,2895,3066
1462605083,2936,3111
1462612879,3007,3180
1462620683,2996,3171
1462635077,2938,3113
1462648878,2831,3004
1462656076,2881,3058
1462670475,3040,3222
1462678272,2933,3107
1462685476,2849,3021
1462693280,2777,2951
1462702278,2755,2929
1462710674,2705,2880
1462723871,2805,2988
1462737680,2828,3013
1462752080,2866,3050
1462759874,2863,3048
1462767074,2916,3098
1462776673,2946,3130
1462784478,2925,3106
1462798877,2866,3048
1462812670,2737,2914
1462819872,2691,2862
1462834269,2898,3072
1462842066,2901,3076
1462849267,2830,3000
1462857064,2668,2837
1462864865,2643,2812
1462872668,2582,2750
1462879871,2542,2707
1462887669,2666,2833
1462896072,2645,2812
1462909871,2763,2930
1462924272,2660,2828
1462931469,2740,2911
1462939866,2727,2897
1462948270,2725,2894
1462962673,2735,2903
1462977073,2630,2794
1462990868,2584,2750
1463004669,2611,2775
1463019063,2625,2788
1463026870,2500,2658
1463041269,2467,2630
1463055666,2506,2668
1463063472,2345,2504
1463077265,2542,2704
1463091074,2561,2722
1463098873,2463,2619
1463106671,2579,2736
1463113869,2488,2643
1463128265,2442,2595
1463142065,2507,2661
1463149265,2461,2612
1463163063,2627,2787
1463177466,2559,2716
1463191864,2632,2791
1463199063,2565,2727
1463206866,2453,2613
1463214071,2463,2621
1463228472,2507,2667
1463242869,2327,2480
1463250072,2309,2460
1463264472,2384,2540
1463278865,2426,2584
1463293266,2492,2651
1463301068,2383,2544
1463314867,2393,2554
1463322670,2524,2686
1463337069,2569,2733
1463350874,2513,2676
1463365269,2564,2729
1463373667,2691,2858
1463382075,2709,2874
1463396476,2695,2859
1463404280,2652,2815
1463418667,2669,2835
1463427668,2634,2801
1463440265,2583,2749
1463452865,2518,2683
1463460663,2514,2680
1463475063,2455,2620
1463489469,2517,2684
1463503262,2394,2557
1463517063,2349,2509
1463528465,2276,2443
1463535665,2376,2547
1463544063,2470,2645
1463557860,2419,2594
1463572263,2409,2581
1463586666,2445,2622
1463600462,2483,2674
1463611262,2529,2722
1463619067,2563,2757
1463633467,2636,2833
1463647870,2507,2700
1463662268,2399,2589
1463676664,2372,2562
1463690474,2457,2648
1463698269,2525,2718
1463712670,2541,2732
1463727065,2505,2691
1463741467,2518,2706
1463755867,2549,2739
1463769070,2477,2665
1463781069,2521,2712
1463795465,2613,2806
1463803865,2590,2778
1463812265,2506,2693
1463820065,2545,2732
1463828465,2460,2644
1463842260,2447,2633
1463856665,2581,2779
1463871072,2530,2725
1463885471,2495,2691
1463899870,2565,2766
1463914275,2574,2769
1463922068,2492,2684
1463935269,2396,2586
1463943068,2330,2519
1463956863,2346,2538
1463964663,2441,2637
1463979064,2351,2547
1463986264,2244,2441
1463995268,2319,2520
1464009666,2429,2630
1464023461,2390,2592
1464031267,2289,2489
1464045058,2316,2514
1464052862,2263,2460
1464067264,2324,2523
1464081066,2370,2567
1464095467,2294,2483
1464108665,2294,2482
1464123068,2384,2576
1464136865,2319,2493
1464151258,2319,2417
1464165059,2302,2401
1464176462,2252,2353
1464187259,2224,2323
1464201658,2320,2422
1464209456,2249,2351
1464216661,2312,2417
1464237659,2201,2308
1464252059,2325,2436
1464266462,2220,2317
1464280263,2275,2388
1464293463,2320,2435
1464305457,2360,2474
1464316257,2252,2361
1464329457,2188,2292
1464343858,2125,2227
1464355861,2030,2127
1464369062,2084,2182
1464379866,2107,2215
1464393063,2181,2289
1464406857,2024,2128
1464419462,2082,2187
1464430864,2152,2264
1464442863,2081,2186
1464450062,2069,2170
1464463861,2232,2341
1464477661,2334,2443
1464492064,2305,2416
1464506465,2308,2418
1464519064,2301,2406
1464531064,2368,2471
1464538264,2360,2460
1464546060,2224,2320
1464560467,2382,2484
1464574865,2375,2482
1464589264,2437,2543
1464596467,2321,2425
1464610860,2299,2399
1464625259,2414,2518
1464639664,2463,2579
1464654065,2444,2560
1464668462,2390,2504
1464682271,2544,2664
1464690068,2548,2665
1464697267,2473,2585
1464705065,2493,2605
1464719465,2530,2637
1464732665,2586,2695
1464740467,2544,2649
1464747666,2467,2577
1464762065,2555,2667
1464776475,2586,2700
1464784271,2638,2752
1464798673,2628,2747
1464812475,2603,2720
1464819675,2589,2706
1464827476,2552,2666
1464841271,2571,2682
1464855072,2589,2699
1464862871,2487,2596
1464876665,2390,2490
1464884470,2370,2466
1464898871,2611,2720
1464906070,2604,2713
1464913872,2421,2531
1464928268,2421,2527
1464941470,2474,2579
1464954668,2505,2610
1464969065,2538,2656
1464977467,2428,2543
1464991897,2543,2655
1464999676,2585,2698
1465014066,2593,2706
1465027869,2581,2687
1465035669,2543,2646
1465050072,2544,2644
1465057870,2663,2762
1465066263,2754,2859
1465074072,2663,2765
1465088471,2766,2870
1465101664,2588,2686
1465116066,2670,2769
1465123867,2633,2732
1465137660,2527,2623
1465145465,2471,2569
1465159863,2557,2657
1465174264,2625,2729
1465188660,2562,2660
1465202465,2451,2537
1465210266,2510,2598
1465224664,2639,2734
1465231865,2371,2466
1465246264,2478,2577
1465260661,2414,2503
1465275056,2290,2375
1465287064,2294,2380
1465301466,2409,2500
1465308668,2156,2229
1465316466,2194,2268
1465330267,2232,2308
1465342866,2200,2275
1465350067,2130,2201
1465363866,2132,2202
1465374671,2177,2246
1465388469,2320,2391
1465396268,2308,2374
1465410072,2264,2329
1465422068,2245,2306
1465432271,2337,2397
1465446667,2366,2431
1465460463,2332,2390
1465474865,2307,2363
1465488060,2208,2268
1465498867,2292,2363
1465512663,2182,2251
1465527061,2233,2304
1465536669,2212,2285
1465543267,2145,2212
1465551673,2242,2313
1465560068,2147,2215
1465566668,2169,2238
1465576858,2157,2224
1465591260,2217,2282
1465603865,2200,2263
1465608663,2182,2248
1465619466,2211,2280
1465632669,2236,2305
1465645271,2163,2220
1465651868,2164,2220
1465661464,2133,2191
1465674062,2061,2118
1465684866,2039,2097
1465693866,2059,2120
1465707661,2140,2202
1465718465,1959,2025
